Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,566","2,031","1,776","1,351","1,023","1,271","1,493","1,109",860,"1,054","1,302"
Market Cap Growth,24.50%,14.32%,31.46%,32.09%,-19.50%,-14.86%,34.53%,29.08%,-18.48%,-19.01%,-12.93%
Enterprise Value,"3,204","2,499","2,167","1,737","1,344","1,526","1,818","1,416","1,226","1,371","1,708"
Last Close Price,160.53,124.26,102.80,72.60,49.90,58.95,68.72,51.31,40.45,50.65,59.40
PE Ratio,26.84,17.41,28.43,17.89,16.24,-,35.76,81.30,-,28.03,22.05
Forward PE,19.62,18.82,19.75,18.89,17.17,29.59,26.06,21.16,15.63,15.98,15.28
PS Ratio,1.74,1.37,1.30,1.19,1.13,1.51,1.70,1.40,1.17,1.45,1.86
PB Ratio,5.13,3.62,3.33,2.45,1.79,2.30,2.55,2.05,1.71,1.63,2.00
P/FCF Ratio,13.12,10.54,14.12,18.55,143.77,9.88,12.54,11.97,11.40,9.15,8.72
P/OCF Ratio,12.46,10.09,13.13,15.82,56.88,9.29,11.29,10.91,8.61,8.16,7.76
PEG Ratio,-,2.67,2.67,2.67,2.67,2.67,1.93,1.57,1.16,1.18,1.13
EV/Sales Ratio,1.98,1.68,1.59,1.53,1.49,1.81,2.07,1.78,1.67,1.89,2.44
EV/EBITDA Ratio,15.59,13.56,13.57,13.04,15.31,19.53,18.50,15.47,11.79,10.75,12.24
EV/EBIT Ratio,17.53,15.00,15.34,15.55,20.06,29.01,27.11,26.41,22.41,16.76,17.34
EV/FCF Ratio,16.34,12.97,17.23,23.84,188.93,11.87,15.28,15.28,16.26,11.89,11.44
Debt / Equity Ratio,1.31,0.71,0.70,0.63,0.52,0.51,0.49,0.55,0.68,0.45,0.47
Debt / EBITDA Ratio,3.02,2.04,2.19,2.39,2.99,3.14,2.57,3.24,3.30,2.29,2.20
Debt / FCF Ratio,3.34,2.07,2.97,4.75,42.02,2.17,2.40,3.20,4.55,2.53,2.06
Asset Turnover,1.13,1.14,1.11,0.98,0.84,0.78,0.81,0.76,0.67,0.63,0.60
Quick Ratio,1.33,1.13,1.25,1.26,1.18,1.15,1.03,0.52,1.29,1.23,1.53
Current Ratio,1.44,1.21,1.32,1.34,1.26,1.23,1.10,0.56,1.37,1.33,1.74
Return on Equity (ROE),21.20%,21.32%,11.52%,13.44%,11.21%,-4.17%,7.46%,2.67%,-29.62%,6.07%,9.88%
Return on Assets (ROA),7.95%,7.99%,7.17%,6.02%,3.86%,3.05%,3.89%,3.21%,3.12%,4.42%,5.32%
Return on Capital (ROIC),10.54%,11.15%,9.78%,7.89%,4.92%,3.86%,4.90%,3.98%,3.83%,5.38%,6.42%
Return on Capital Employed (ROCE),15.10%,16.60%,14.70%,11.70%,7.30%,6.10%,7.50%,8.50%,6.10%,8.00%,9.60%
Earnings Yield,4.21%,5.74%,3.52%,5.59%,6.16%,-1.88%,2.80%,1.23%,-19.79%,3.57%,4.54%
FCF Yield,7.62%,9.49%,7.08%,5.39%,0.70%,10.12%,7.97%,8.36%,8.77%,10.94%,11.47%
Buyback Yield / Dilution,4.20%,5.04%,5.52%,4.87%,0.33%,2.78%,-2.04%,-2.89%,-0.07%,5.20%,1.42%
