Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"1,186",684,47,69,69,76,181,172,142,82,196
Market Cap Growth,146.50%,1353.16%,-31.61%,0.11%,-8.95%,-58.16%,4.77%,21.41%,73.97%,-58.42%,-64.57%
Enterprise Value,"1,301",806,205,275,235,199,290,305,275,215,337
Last Close Price,52.24,29.75,2.05,3.00,3.00,3.30,7.90,9.25,7.50,7.50,18.25
PE Ratio,9.78,9.88,1.79,6.11,-,-,21.89,-,-,-,-
Forward PE,14.18,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,16.03,30.54
PS Ratio,1.78,1.44,0.10,0.14,0.15,0.18,0.33,0.35,0.34,0.24,0.54
PB Ratio,7.41,10.49,-12.02,-2.27,-1.64,12.39,6.34,-9.28,4.41,2.01,2.31
P/TBV Ratio,9.11,20.76,-,-,-,-,-,-,-,-,8.42
P/FCF Ratio,23.04,11.83,0.72,-,-,-,12.47,-,-,2.87,-
P/OCF Ratio,19.45,10.97,0.67,-,-,-,9.95,-,-,2.53,-
PEG Ratio,-,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,0.58,1.22
EV/Sales Ratio,1.93,1.69,0.45,0.57,0.52,0.48,0.53,0.62,0.66,0.63,0.93
EV/EBITDA Ratio,11.70,9.81,4.10,8.67,-,-,10.36,-,-,-,73.78
EV/EBIT Ratio,12.28,10.47,4.61,10.99,-,-,15.11,-,-,-,-
EV/FCF Ratio,25.11,13.94,3.13,-,-,-,20.04,-,-,7.55,-
Debt / Equity Ratio,0.96,2.27,-44.47,-7.40,-4.64,24.45,4.10,-5.91,2.84,3.05,1.78
Debt / EBITDA Ratio,1.29,1.64,3.01,6.03,-,-,3.28,-,-,-,33.11
Debt / FCF Ratio,3.02,2.57,2.66,-,-,-,8.07,-,-,4.36,-
Asset Turnover,1.69,1.55,1.52,1.55,1.56,1.40,1.81,1.85,1.63,1.10,1.17
Inventory Turnover,3.81,3.75,3.44,2.99,3.32,3.31,4.16,4.55,3.91,2.36,2.32
Quick Ratio,1.12,0.64,0.43,0.37,0.28,0.36,0.59,0.41,0.65,0.79,0.80
Current Ratio,2.28,1.12,0.83,0.80,0.81,0.85,1.23,0.98,1.39,1.85,2.35
Return on Equity (ROE),118.49%,225.91%,-,-,-,-132.87%,166.31%,-805.15%,-130.75%,-75.63%,-3.37%
Return on Assets (ROA),16.60%,15.71%,9.20%,5.05%,-8.55%,-4.47%,3.98%,-8.03%,-4.41%,-4.85%,-0.93%
Return on Capital (ROIC),25.32%,25.05%,15.24%,9.01%,-16.21%,-8.90%,10.14%,-20.05%,-7.83%,-7.49%,-1.43%
Return on Capital Employed (ROCE),33.20%,76.50%,123.50%,3879.90%,-232.00%,-48.10%,14.50%,-49.80%,-14.50%,-14.60%,-1.90%
Earnings Yield,10.15%,10.13%,55.87%,16.37%,-70.48%,-30.42%,4.57%,-31.75%,-33.54%,-58.18%,-1.47%
FCF Yield,4.34%,8.45%,139.06%,-14.81%,-92.25%,-13.23%,8.02%,-9.52%,-9.20%,34.82%,-15.91%
Buyback Yield / Dilution,-0.28%,-0.20%,-0.11%,-0.18%,-0.16%,-6.23%,-15.85%,-34.80%,-26.13%,0.55%,1.26%
