Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,521.63,157.78,107.57,111.12,126.7,232.3,31.75,22.88,27.7,20.41,27.73
Short-Term Investments,566.39,428.79,336.11,262.38,283.47,191.57,154.53,152.95,121.39,70.55,69.3
Cash & Short-Term Investments,"1,088",586.57,443.68,373.5,410.16,423.87,186.28,175.83,149.09,90.95,97.03
Cash Growth,81.00%,32.20%,18.79%,-8.94%,-3.23%,127.54%,5.95%,17.94%,63.92%,-6.26%,-21.07%
Accounts Receivable,144.89,139.32,111.26,109.32,68.45,63.31,51.6,53.53,40.95,42.63,19.05
Other Receivables,-,0.78,0.66,1.42,1.01,-,-,-,-,-,-
Receivables,144.89,140.1,111.92,110.74,69.45,63.31,51.6,53.53,40.95,42.63,19.05
Inventory,183.1,156.6,138.2,116.6,78.67,61.73,48.36,41.79,34.92,29.26,27.68
Prepaid Expenses,-,10.73,11,9.11,4.41,3.33,1.83,3.12,-,-,-
Other Current Assets,29.49,7.95,5.42,3,3.82,6.45,14.85,7.31,6.95,4.84,2.68
Total Current Assets,"1,445",901.95,710.22,612.95,566.52,558.7,302.93,281.58,231.91,167.68,149.98
"Property, Plant & Equipment",150.04,132.94,108.73,100.77,65.09,63.28,58.82,13.76,13.89,10.02,11.06
Long-Term Investments,522.07,233.67,197.61,155.55,141.09,2.55,2.81,-,-,-,-
Goodwill,90.79,48.32,50.08,49.01,20.11,20.11,20.11,20.11,20.11,20.11,20.11
Other Intangible Assets,48.13,31.46,39.18,43.59,2.6,5.06,7.56,10.19,12.8,15.36,17.91
Long-Term Deferred Tax Assets,38.1,31.64,23.58,20.1,6.16,2.87,4.55,3.87,1.96,3.02,5.74
Other Long-Term Assets,12.87,10.46,4.41,2.15,3.59,3.22,3.65,3.92,2.62,2.41,2.48
Total Assets,"2,307","1,390","1,134",984.11,805.15,655.79,400.44,333.43,283.29,218.59,207.27
Accounts Payable,55,59.58,35.16,42.73,36.22,24.1,20.71,19.02,15.75,16.5,14.38
Accrued Expenses,-,55.31,31.95,43.85,39.55,23.53,15.21,18.7,20.74,13.56,11.39
Current Portion of Long-Term Debt,90.84,180.56,197.68,-,183.04,-,-,-,-,-,-
Current Portion of Leases,7.27,7.17,6.7,5.97,4.45,3.7,2.78,-,-,-,-
Current Unearned Revenue,72.01,72.89,41.98,30.54,15.34,4.72,2.26,3.98,10.33,4.07,5.83
Other Current Liabilities,90.41,12.73,9.34,10.97,9.33,4.89,5.29,6.38,5.3,4.9,4.6
Total Current Liabilities,315.54,388.23,322.81,134.07,287.93,60.93,46.23,48.08,52.13,39.03,37.16
Long-Term Debt,730.66,-,-,196.39,-,178.81,-,-,-,-,-
Long-Term Leases,54.92,48.36,39.76,43.7,33.45,31.91,30.54,-,-,-,-
Long-Term Deferred Tax Liabilities,13.28,8.5,10.57,12.19,-,-,-,-,-,1.09,5.76
Other Long-Term Liabilities,22.35,17.54,9.91,10.79,10.02,12.6,9.14,4.61,4.42,3.75,3.29
Total Liabilities,"1,137",462.63,383.06,397.14,331.4,284.25,85.9,52.69,56.55,43.88,46.21
Common Stock,"1,171",-,-,-,-,0.07,0.07,0.07,0.07,0.07,0.07
Additional Paid-In Capital,-,134.95,139.69,121.4,139.85,129.27,120.74,122.31,122.43,128.99,123.98
Retained Earnings,-,798.15,614.38,478.07,334.72,241.62,193.71,158.54,104.12,57.67,48.15
Treasury Stock,-,-,-,-,-,-,-,-,-,-11.97,-11.03
Comprehensive Income & Other,-,-5.3,-3.33,-12.51,-0.81,0.57,0.02,-0.19,0.11,-0.05,-0.11
Shareholders' Equity,"1,171",927.8,750.75,586.96,473.75,371.54,314.54,280.74,226.74,174.72,161.06
Total Liabilities & Equity,"2,307","1,390","1,134",984.11,805.15,655.79,400.44,333.43,283.29,218.59,207.27
Total Debt,883.7,236.1,244.14,246.06,220.94,214.42,33.31,-,-,-,-
Net Cash (Debt),714.29,576.29,390.89,280.9,326.64,209.46,152.97,175.83,149.09,90.95,97.03
Net Cash Growth,27.35%,47.43%,39.16%,-14.00%,55.95%,36.93%,-13.00%,17.94%,63.92%,-6.26%,-21.07%
Net Cash Per Share,22.37,17.93,12.18,8.81,10.96,7.24,5.35,6.11,5.23,3.31,3.53
Filing Date Shares Outstanding,29.94,29.28,29.02,28.68,28.59,28.2,28.05,27.93,27.9,27.49,27.1
Total Common Shares Outstanding,29.94,29.28,29.01,28.68,28.58,28.18,28.01,27.92,27.9,27.35,27.09
Working Capital,"1,130",513.72,387.41,478.88,278.59,497.77,256.7,233.5,179.78,128.64,112.82
Book Value Per Share,39.11,31.69,25.88,20.47,16.58,13.19,11.23,10.06,8.13,6.39,5.94
Tangible Book Value,"1,032",848.02,661.49,494.37,451.04,346.37,286.86,250.44,193.82,139.24,123.04
Tangible Book Value Per Share,34.47,28.96,22.80,17.24,15.78,12.29,10.24,8.97,6.95,5.09,4.54
Land,-,26.68,11.67,5.18,-,-,-,-,-,-,-
Machinery,-,72.41,78.44,69.65,53.46,48.5,42.79,34.72,31.77,27.97,26.37
Leasehold Improvements,-,41.14,39.88,34.96,24.36,27.85,25.33,11.34,10.95,7.27,6.3
