Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,802","5,721","3,940","2,345","4,140","1,982","1,058",636,716,358,267
Market Cap Growth,60.28%,45.19%,68.02%,-43.36%,108.89%,87.34%,66.28%,-11.13%,100.12%,33.84%,-6.73%
Enterprise Value,"8,088","5,160","3,574","2,093","3,826","1,783",908,467,572,265,181
Last Close Price,296.85,196.95,137.39,81.68,146.50,70.60,37.83,22.78,25.91,13.16,9.80
PE Ratio,38.50,31.13,28.91,16.73,44.47,41.37,30.08,11.70,15.41,37.10,17.00
Forward PE,32.96,26.23,27.08,18.66,34.12,31.14,20.84,12.31,14.06,11.61,14.52
PS Ratio,10.27,8.51,7.61,4.11,9.95,7.36,4.70,2.53,3.23,2.18,1.80
PB Ratio,7.59,6.17,5.25,4.00,8.74,5.33,3.36,2.27,3.16,2.05,1.66
P/TBV Ratio,8.53,6.75,5.96,4.74,9.18,5.72,3.69,2.54,3.69,2.57,2.17
P/FCF Ratio,38.28,26.24,37.05,23.88,32.49,36.83,54.47,19.02,12.90,-,12.48
P/OCF Ratio,34.65,24.32,31.90,19.62,31.30,32.89,26.00,17.14,11.58,-,10.37
EV/Sales Ratio,9.49,7.67,6.90,3.67,9.20,6.62,4.04,1.86,2.58,1.61,1.22
EV/EBITDA Ratio,30.12,25.18,24.07,12.72,31.54,27.88,20.43,6.85,8.94,8.39,7.57
EV/EBIT Ratio,32.59,27.51,27.02,13.96,34.05,32.08,24.93,7.72,9.89,10.61,12.68
EV/FCF Ratio,35.17,23.66,33.61,21.31,30.02,33.13,46.73,13.95,10.31,-,8.45
Debt / Equity Ratio,0.76,0.25,0.33,0.42,0.47,0.58,0.11,-,-,-,-
Debt / EBITDA Ratio,3.20,1.11,1.57,1.44,1.76,3.13,0.67,-,-,-,-
Debt / FCF Ratio,3.84,1.08,2.30,2.51,1.73,3.99,1.72,-,-,-,-
Asset Turnover,0.47,0.53,0.49,0.64,0.57,0.51,0.61,0.81,0.89,0.77,0.78
Inventory Turnover,2.12,1.94,1.76,2.60,2.57,2.15,2.29,2.76,2.83,2.59,3.26
Quick Ratio,3.91,1.87,1.72,3.61,1.67,8.00,5.15,4.77,3.65,3.42,3.12
Current Ratio,4.58,2.32,2.20,4.57,1.97,9.17,6.55,5.86,4.45,4.30,4.04
Return on Equity (ROE),23.58%,21.89%,20.38%,26.44%,22.03%,13.96%,11.82%,21.43%,23.14%,5.74%,10.32%
Return on Assets (ROA),8.52%,9.29%,7.81%,10.47%,9.62%,6.58%,6.20%,12.25%,14.40%,7.32%,4.69%
Return on Capital (ROIC),9.69%,10.86%,9.04%,12.27%,10.97%,7.44%,7.24%,14.89%,18.00%,9.29%,5.86%
Return on Capital Employed (ROCE),12.50%,18.70%,16.30%,17.60%,21.70%,9.30%,10.30%,21.20%,25.00%,13.90%,8.40%
Earnings Yield,2.78%,3.21%,3.46%,5.98%,2.25%,2.42%,3.33%,8.55%,6.49%,2.70%,5.88%
FCF Yield,2.61%,3.81%,2.70%,4.19%,3.08%,2.71%,1.84%,5.26%,7.75%,-2.04%,8.01%
Buyback Yield / Dilution,1.11%,-0.15%,-0.69%,-6.89%,-2.99%,-1.31%,0.66%,-0.84%,-3.71%,0.02%,1.07%
