Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,091","2,253","1,973","1,861","1,670","1,400","1,776","1,510","1,602","1,808","1,207"
Market Cap Growth,1.11%,14.16%,6.05%,11.44%,19.24%,-21.16%,17.59%,-5.73%,-11.36%,49.77%,5.07%
Last Close Price,39.61,46.65,39.65,39.69,34.20,27.67,33.83,28.05,29.08,32.29,20.88
PE Ratio,13.23,16.02,16.61,12.24,10.78,13.42,14.68,13.42,19.50,23.05,15.79
PS Ratio,3.11,4.04,4.02,3.72,3.43,3.41,4.13,3.76,4.29,5.10,3.42
PB Ratio,1.12,1.48,1.38,1.59,1.34,1.18,1.59,1.48,1.67,1.98,1.37
P/FCF Ratio,10.35,12.74,13.32,10.56,11.03,10.21,12.10,10.76,12.30,16.85,10.38
P/OCF Ratio,9.59,11.95,12.53,10.16,10.49,9.64,11.57,10.22,11.70,16.35,9.69
Debt / Equity Ratio,0.21,0.36,0.53,0.79,0.32,0.46,0.80,1.05,0.95,0.97,0.77
Debt / FCF Ratio,1.93,3.11,5.14,5.28,2.64,4.00,6.13,7.58,6.98,8.27,5.85
Return on Equity (ROE),8.87%,9.53%,9.14%,12.54%,12.71%,9.05%,11.32%,11.39%,8.78%,8.73%,8.75%
Return on Assets (ROA),1.00%,1.04%,0.95%,1.28%,1.35%,1.01%,1.26%,1.20%,0.91%,0.92%,0.95%
Earnings Yield,7.15%,6.24%,6.02%,8.17%,9.28%,7.45%,6.81%,7.45%,5.13%,4.34%,6.33%
FCF Yield,9.66%,7.85%,7.51%,9.47%,9.07%,9.79%,8.27%,9.29%,8.13%,5.93%,9.64%
Dividend Yield,3.70%,2.83%,3.13%,2.92%,3.22%,3.90%,3.10%,3.53%,3.16%,2.79%,4.17%
Payout Ratio,47.02%,44.27%,47.05%,32.74%,30.82%,45.22%,38.02%,38.44%,48.82%,49.59%,49.92%
Buyback Yield / Dilution,-4.67%,-5.95%,-3.68%,1.23%,0.61%,0.31%,-0.24%,-0.26%,-0.65%,1.73%,0.01%
Total Shareholder Return,-0.97%,-3.12%,-0.55%,4.15%,3.83%,4.21%,2.87%,3.27%,2.51%,4.52%,4.18%
