Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,754","4,212","4,606","3,077","3,392","1,908","2,288","2,055","1,355","1,019",739
Market Cap Growth,-28.96%,-8.54%,49.70%,-9.31%,77.82%,-16.61%,11.35%,51.62%,33.02%,37.93%,-13.05%
Enterprise Value,"2,721","4,477","4,815","3,205","3,418","1,912","2,291","2,035","1,324","1,009",744
Last Close Price,83.82,128.95,137.85,90.69,97.94,54.71,65.31,57.93,37.79,27.96,19.93
PE Ratio,16.76,25.63,30.17,25.44,38.81,49.92,37.97,38.19,32.58,30.56,24.27
Forward PE,16.47,24.22,28.55,26.35,51.39,50.43,36.71,39.18,32.03,26.73,22.32
PS Ratio,1.84,2.90,3.50,2.83,3.86,3.54,3.21,3.04,2.29,1.96,1.58
PB Ratio,3.09,4.47,5.16,3.90,4.60,2.72,3.76,3.51,2.38,2.11,1.55
P/TBV Ratio,4.94,9.11,11.43,9.44,9.48,5.93,8.60,8.45,5.82,5.46,4.50
P/FCF Ratio,14.75,23.03,46.38,78.34,-,35.34,32.21,34.77,41.23,20.46,16.08
P/OCF Ratio,12.99,22.45,43.54,42.13,28.37,29.35,29.93,32.59,37.76,18.67,14.75
PEG Ratio,-,2.94,2.94,2.94,2.94,2.94,2.94,3.27,2.67,1.53,1.12
EV/Sales Ratio,1.86,3.08,3.65,2.95,3.89,3.55,3.21,3.01,2.24,1.94,1.59
EV/EBITDA Ratio,8.84,14.77,17.92,14.78,21.26,24.16,20.20,19.24,14.62,13.04,10.58
EV/EBIT Ratio,9.62,16.06,19.15,15.86,22.72,27.28,21.88,21.48,16.39,14.90,12.15
EV/FCF Ratio,14.98,24.48,48.49,81.61,-,35.42,32.26,34.44,40.27,20.26,16.20
Debt / Equity Ratio,0.21,0.20,0.22,0.27,0.25,0.07,0.09,0.08,0.11,0.15,0.21
Debt / EBITDA Ratio,0.73,0.62,0.70,0.94,1.09,0.60,0.44,0.44,0.67,0.96,1.40
Debt / FCF Ratio,1.27,1.05,1.94,5.34,-,0.95,0.75,0.78,1.84,1.50,2.15
Asset Turnover,0.96,1.05,0.98,0.89,0.86,0.63,0.88,0.86,0.81,0.76,0.73
Inventory Turnover,1.60,1.73,1.76,1.96,2.19,1.53,1.95,1.99,2.17,2.38,2.12
Quick Ratio,1.86,1.56,1.36,1.42,2.00,2.72,2.11,2.10,2.42,2.59,2.73
Current Ratio,3.27,2.75,2.58,2.29,2.90,3.85,3.11,3.02,3.29,3.32,3.58
Return on Equity (ROE),19.77%,22.18%,22.35%,19.79%,15.27%,7.62%,12.73%,12.06%,10.48%,9.01%,7.99%
Return on Assets (ROA),11.61%,12.53%,11.73%,10.29%,9.24%,5.10%,8.05%,7.51%,6.91%,6.17%,5.92%
Return on Capital (ROIC),13.94%,15.70%,15.09%,13.15%,11.22%,6.19%,10.12%,9.38%,8.49%,7.47%,7.12%
Return on Capital Employed (ROCE),22.40%,25.80%,24.10%,21.00%,16.70%,9.50%,16.30%,15.60%,13.20%,12.50%,11.00%
Earnings Yield,6.14%,3.90%,3.31%,3.93%,2.58%,2.00%,2.63%,2.62%,3.07%,3.27%,4.12%
FCF Yield,6.78%,4.34%,2.16%,1.28%,-0.64%,2.83%,3.10%,2.88%,2.43%,4.89%,6.22%
Dividend Yield,3.72%,2.33%,1.81%,2.21%,1.02%,0.60%,1.78%,1.56%,1.91%,2.22%,2.61%
Payout Ratio,62.44%,58.43%,52.44%,52.71%,36.25%,54.44%,57.39%,48.87%,50.95%,54.05%,51.93%
Buyback Yield / Dilution,0.40%,0.05%,-0.47%,-0.48%,-0.57%,0.11%,-0.53%,-0.69%,-0.41%,-0.24%,-0.13%
Total Shareholder Return,4.21%,2.37%,1.34%,1.72%,0.45%,0.71%,1.25%,0.87%,1.49%,1.98%,2.48%
