Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,464","1,452","1,318","1,087",879.52,539.01,713.51,675.57,591.25,521.07,468.54
Revenue Growth (YoY),3.12%,10.22%,21.26%,23.55%,63.17%,-24.46%,5.62%,14.26%,13.47%,11.21%,-6.15%
Cost of Revenue,641.02,642.78,582.4,479.23,391.51,249.38,320.58,296.91,254.57,232.4,212.87
Gross Profit,822.82,809.54,735.28,607.42,488,289.63,392.94,378.66,336.69,288.67,255.67
"Selling, General & Admin",540.01,530.74,483.9,405.37,337.56,219.55,288.21,283.93,255.94,220.99,194.47
Operating Expenses,540.01,530.74,483.9,405.37,337.56,219.55,288.21,283.93,255.94,220.99,194.47
Operating Income,282.81,278.8,251.38,202.05,150.44,70.08,104.73,94.73,80.75,67.68,61.2
Interest Expense,-7.74,-7.83,-11.25,-3.6,-2.83,-1.97,-2.15,-2.58,-1.99,-2.34,-2.83
Interest & Investment Income,1.73,2.22,10.73,5.49,3.4,2.87,3.69,3.96,2.98,3.33,3
Earnings From Equity Investments,0.46,0.46,0.32,-0.05,0.05,0.55,-,-,-,-,-
Currency Exchange Gain (Loss),-2.58,-1.09,-1.58,-1.92,2.34,-2.18,-1.13,-0.25,-1.55,-0.6,-0.88
Other Non Operating Income (Expenses),1.09,-0.17,-,-0,-,-,-,-,-,-,-
EBT Excluding Unusual Items,275.78,272.4,249.59,201.97,153.41,69.35,105.15,95.86,80.19,68.08,60.5
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-2.12,-5.66,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,4.65,-
Asset Writedown,-4.01,-4.01,-,-7.75,-2.39,-,-,-,-,-,-
Pretax Income,271.78,268.39,249.59,194.22,151.02,69.35,105.15,95.86,78.07,67.07,60.5
Income Tax Expense,65.2,64.96,61.82,43.18,40.99,19.38,29.08,26.14,22.81,23.83,21.53
Earnings From Continuing Operations,206.58,203.43,187.78,151.04,110.03,49.97,76.07,69.72,55.25,43.25,38.97
Minority Interest in Earnings,-42.06,-39.08,-35.12,-30.1,-22.62,-11.75,-15.82,-15.92,-13.66,-9.92,-8.53
Net Income,164.52,164.36,152.65,120.94,87.41,38.22,60.25,53.79,41.59,33.33,30.44
Net Income to Common,164.52,164.36,152.65,120.94,87.41,38.22,60.25,53.79,41.59,33.33,30.44
Net Income Growth,9.28%,7.67%,26.22%,38.36%,128.71%,-36.56%,12.00%,29.33%,24.79%,9.51%,3.40%
Shares Outstanding (Basic),32,32,32,32,32,32,31,31,31,31,31
Shares Outstanding (Diluted),32,32,32,32,32,32,32,32,31,31,31
Shares Change (YoY),-0.40%,-0.05%,0.47%,0.48%,0.57%,-0.11%,0.53%,0.69%,0.41%,0.24%,0.13%
EPS (Basic),5.13,5.13,4.77,3.80,2.76,1.21,1.92,1.72,1.33,1.07,0.98
EPS (Diluted),5.13,5.12,4.75,3.78,2.75,1.21,1.90,1.71,1.33,1.07,0.98
EPS Growth,9.68%,7.79%,25.66%,37.45%,127.27%,-36.32%,11.11%,28.57%,24.30%,9.18%,3.16%
Free Cash Flow,181.62,182.9,99.31,39.28,-21.69,53.98,71.03,59.09,32.87,49.79,45.93
Free Cash Flow Per Share,5.66,5.69,3.09,1.23,-0.68,1.71,2.24,1.87,1.05,1.60,1.48
Dividend Per Share,3.150,3.000,2.500,2.000,1.000,0.330,1.160,0.905,0.720,0.620,0.520
Dividend Growth,9.56%,20.00%,25.00%,100.00%,203.03%,-71.55%,28.18%,25.69%,16.13%,19.23%,8.33%
Gross Margin,56.21%,55.74%,55.80%,55.90%,55.48%,53.73%,55.07%,56.05%,56.95%,55.40%,54.57%
Operating Margin,19.32%,19.20%,19.08%,18.59%,17.11%,13.00%,14.68%,14.02%,13.66%,12.99%,13.06%
Profit Margin,11.24%,11.32%,11.58%,11.13%,9.94%,7.09%,8.44%,7.96%,7.03%,6.40%,6.50%
Free Cash Flow Margin,12.41%,12.59%,7.54%,3.61%,-2.47%,10.02%,9.95%,8.75%,5.56%,9.55%,9.80%
EBITDA,307.8,303.15,268.71,216.84,160.75,79.15,113.46,105.76,90.54,77.37,70.28
EBITDA Margin,21.03%,20.87%,20.39%,19.96%,18.28%,14.68%,15.90%,15.65%,15.31%,14.85%,15.00%
D&A For EBITDA,24.99,24.35,17.33,14.79,10.31,9.07,8.73,11.03,9.79,9.68,9.08
EBIT,282.81,278.8,251.38,202.05,150.44,70.08,104.73,94.73,80.75,67.68,61.2
EBIT Margin,19.32%,19.20%,19.08%,18.59%,17.11%,13.00%,14.68%,14.02%,13.66%,12.99%,13.06%
Effective Tax Rate,23.99%,24.20%,24.77%,22.23%,27.14%,27.95%,27.65%,27.27%,29.22%,35.52%,35.58%
Advertising Expenses,-,280.5,261.3,212.4,171.1,91.7,144.6,139.7,123.7,99,83.8
