Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018"
"Selling, General & Admin",83.49,77.24,57.28,48.02,54.23,39.51,15.85,2.69,1.48
Research & Development,403.62,360.92,212.93,160.26,101.81,68.6,47.93,25.73,135.26
Operating Expenses,487.11,438.15,270.21,208.28,156.03,108.12,63.78,28.43,136.74
Operating Income,-487.11,-438.15,-270.21,-208.28,-156.03,-108.12,-63.78,-28.43,-136.74
Interest Expense,-,-,-,-,-,-,-0.63,-,-
Interest & Investment Income,23.42,24.73,24.95,7.58,-,-,-,-,-
Other Non Operating Income (Expenses),1.25,0.47,-1.01,-0.25,-0.78,0.33,0.41,-0.16,-
EBT Excluding Unusual Items,-462.44,-412.95,-246.27,-200.95,-156.81,-107.79,-63.99,-28.58,-136.74
Merger & Restructuring Charges,-,-,-,-,-,-,-2.3,-,-
Pretax Income,-462.44,-412.95,-258.77,-210.95,-156.81,-107.79,-66.29,-28.58,-136.74
Income Tax Expense,2.24,0.89,0.57,0.01,-0.08,-0.36,0.1,0.02,-
Net Income,-464.69,-413.84,-259.34,-210.96,-156.73,-107.43,-66.39,-28.6,-136.74
Net Income to Common,-464.69,-413.84,-259.34,-210.96,-156.73,-107.43,-66.39,-28.6,-136.74
Shares Outstanding (Basic),165,152,138,123,110,88,43,22,10
Shares Outstanding (Diluted),165,152,138,123,110,88,43,22,10
Shares Change (YoY),12.85%,9.76%,12.21%,12.21%,24.98%,103.14%,94.85%,121.71%,-
EPS (Basic),-2.82,-2.73,-1.88,-1.71,-1.43,-1.22,-1.54,-1.29,-13.67
EPS (Diluted),-2.82,-2.73,-1.88,-1.71,-1.43,-1.22,-1.54,-1.29,-13.67
Free Cash Flow,-431.34,-376.63,-214.59,-188.39,-106.37,-83.54,-53.39,-28.6,-128.3
Free Cash Flow Per Share,-2.62,-2.48,-1.55,-1.53,-0.97,-0.95,-1.24,-1.29,-12.83
EBITDA,-486.69,-437.78,-269.98,-208.08,-155.91,-108.05,-63.76,-28.42,-
D&A For EBITDA,0.42,0.38,0.23,0.19,0.13,0.07,0.02,0.01,-
EBIT,-487.11,-438.15,-270.21,-208.28,-156.03,-108.12,-63.78,-28.43,-136.74
