Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018"
Cash & Equivalents,521.87,713.97,635.37,376.53,493.82,400.15,100.57,6.99,-
Cash & Short-Term Investments,521.87,713.97,635.37,376.53,493.82,400.15,100.57,6.99,-
Cash Growth,10.35%,12.37%,68.74%,-23.75%,23.41%,297.87%,1339.81%,-,-
Accounts Receivable,-,2.08,5.34,0.7,12.23,0.6,-,-,-
Other Receivables,1.97,0.43,0.17,0.19,0.63,0.55,3.05,2.96,-
Receivables,1.97,2.51,5.5,0.89,12.86,1.14,3.05,2.96,-
Prepaid Expenses,49.71,51.18,24.9,26.92,6.25,7.72,5.46,2.63,0.11
Total Current Assets,573.55,767.66,665.77,404.33,512.93,409.01,109.08,12.58,0.11
"Property, Plant & Equipment",0.63,0.94,0.6,1.51,2.63,3.48,0.07,0.05,-
Long-Term Deferred Charges,-,-,-,-,-,-,0.25,1.2,-
Other Long-Term Assets,8.78,7.62,-,-,-,-,-,-,-
Total Assets,582.96,776.22,666.37,405.84,515.56,412.49,109.39,13.83,0.11
Accounts Payable,6.92,17.66,7.16,1.35,18.63,2.43,1.19,0.21,1.14
Accrued Expenses,55.67,50.75,41.3,40.42,24.58,15.16,10.94,6.28,0.47
Short-Term Debt,-,-,-,-,-,-,3.19,-,-
Current Portion of Leases,-,0.1,0.14,1.17,1.15,1.18,-,-,-
Other Current Liabilities,0.67,0.27,0.02,0.35,0.17,-,-,-,-
Total Current Liabilities,63.25,68.78,48.61,43.3,44.52,18.77,15.32,6.49,1.61
Long-Term Leases,-,-,-,0.05,1.22,2.24,-,-,-
Total Liabilities,63.25,68.78,48.61,43.34,45.74,21.01,15.32,6.49,1.61
Common Stock,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,-
Additional Paid-In Capital,"2,005","1,945","1,442",927.98,824.8,590.43,185.31,31.83,-
Retained Earnings,"-1,487","-1,240",-825.68,-566.35,-355.39,-198.66,-91.23,-24.84,-
Comprehensive Income & Other,1.45,1.46,1.91,0.85,0.4,-0.3,-0.02,0.34,-1.5
Shareholders' Equity,519.71,707.45,617.76,362.49,469.83,391.48,94.07,7.34,-1.5
Total Liabilities & Equity,582.96,776.22,666.37,405.84,515.56,412.49,109.39,13.83,0.11
Total Debt,-,0.1,0.14,1.22,2.36,3.42,3.19,-,-
Net Cash (Debt),521.87,713.87,635.23,375.31,491.45,396.73,97.38,6.99,-
Net Cash Growth,10.36%,12.38%,69.25%,-23.63%,23.88%,307.40%,1294.14%,-,-
Net Cash Per Share,3.17,4.71,4.60,3.05,4.48,4.52,2.25,0.32,-
Filing Date Shares Outstanding,175.28,170.92,146.05,130.41,116.51,97.98,80.91,78.91,10
Total Common Shares Outstanding,174.53,170.11,145.58,130.33,116.48,97.97,54.66,78.91,10
Working Capital,510.29,698.89,617.16,361.04,468.41,390.24,93.76,6.09,-1.5
Book Value Per Share,2.98,4.16,4.24,2.78,4.03,4.00,1.72,0.09,-0.15
Tangible Book Value,519.71,707.45,617.76,362.49,469.83,391.48,94.07,7.34,-1.5
Tangible Book Value Per Share,2.98,4.16,4.24,2.78,4.03,4.00,1.72,0.09,-0.15
