Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,381","2,300","1,323",537,"1,632",867,192,163,426,368,-
Market Cap Growth,99.29%,73.94%,146.40%,-67.12%,88.22%,352.15%,17.84%,-61.79%,15.90%,-,-
Enterprise Value,"4,631","1,728","1,002",274,"1,286",674,62,24,332,269,-
Last Close Price,84.77,38.60,22.93,10.91,34.20,20.16,7.05,6.73,20.80,21.99,-
PE Ratio,119.63,8.36,-,-,-,-,-,-,-,-,-
PS Ratio,25.59,5.30,22.04,20.19,59.67,30.29,830.33,5.26,21.23,-,-
PB Ratio,8.20,3.41,3.93,2.49,5.44,3.10,2.40,1.45,3.53,4.20,-
P/TBV Ratio,8.21,3.41,3.93,2.49,5.44,3.10,2.40,1.45,3.53,4.20,-
P/FCF Ratio,83.18,12.59,-,-,-,-,-,-,132.87,-,-
P/OCF Ratio,80.95,12.49,-,-,-,-,-,-,110.02,-,-
EV/Sales Ratio,22.14,3.98,16.69,10.29,47.01,23.53,266.73,0.78,16.57,-,-
EV/EBITDA Ratio,231.22,6.81,-,-,-,-,-,-,-,-,-
EV/EBIT Ratio,243.65,6.84,-,-,-,-,-,-,-,-,-
EV/FCF Ratio,72.69,9.45,-,-,-,-,-,-,103.68,-,-
Debt / Equity Ratio,0.02,0.02,0.00,0.02,0.02,0.02,0.21,-,-,-,-
Debt / EBITDA Ratio,0.47,0.04,-,-,-,-,-,-,-,-,-
Debt / FCF Ratio,0.17,0.06,-,-,-,-,-,-,-,-,-
Asset Turnover,0.32,0.79,0.20,0.09,0.08,0.12,0.00,0.20,0.16,-,-
Quick Ratio,12.94,12.39,16.54,7.61,7.55,7.69,3.97,5.18,3.46,12.41,4.04
Current Ratio,13.05,12.48,16.71,7.80,7.74,7.84,4.10,5.26,3.55,12.94,4.54
Return on Equity (ROE),7.80%,54.39%,-28.59%,-49.41%,-43.32%,-36.79%,-80.20%,-33.39%,-35.50%,-74.90%,-143.58%
Return on Assets (ROA),1.82%,28.66%,-19.32%,-27.57%,-23.40%,-16.82%,-34.19%,-17.43%,-18.38%,-37.52%,-73.46%
Return on Capital (ROIC),1.98%,30.86%,-21.01%,-31.27%,-26.60%,-21.08%,-48.05%,-22.66%,-22.75%,-41.13%,-89.35%
Return on Capital Employed (ROCE),2.90%,36.30%,-27.80%,-60.60%,-41.40%,-22.70%,-67.40%,-37.30%,-31.30%,-37.30%,-126.20%
Earnings Yield,0.87%,11.96%,-5.97%,-23.73%,-7.69%,-7.63%,-40.24%,-23.91%,-8.68%,-10.12%,-
FCF Yield,1.20%,7.95%,-5.36%,-20.29%,-6.68%,-8.41%,-22.16%,-30.98%,0.75%,-8.25%,-
Buyback Yield / Dilution,-0.97%,-14.65%,-15.74%,-5.87%,-34.67%,-32.84%,-15.78%,-26.39%,-172.15%,-2482.98%,-10.79%
