Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"6,768","5,170","3,284","2,960","5,198",-,-
Market Cap Growth,80.52%,57.42%,10.94%,-43.05%,-,-,-
Enterprise Value,"6,419","4,817","3,013","2,696","4,809",-,-
Last Close Price,22.99,17.34,11.05,9.96,17.57,-,-
PE Ratio,65.17,146.23,85.74,254.33,363.61,-,-
Forward PE,49.37,78.67,40.54,46.09,120.79,-,-
PS Ratio,4.80,4.51,3.39,3.79,8.14,-,-
PB Ratio,5.97,5.37,3.40,3.66,6.21,-,-
P/FCF Ratio,14.87,14.37,12.18,17.34,36.17,-,-
P/OCF Ratio,14.54,14.15,11.49,16.48,34.57,-,-
PEG Ratio,0.68,1.62,0.38,0.20,1.53,-,-
EV/Sales Ratio,4.45,4.21,3.11,3.46,7.54,-,-
EV/EBITDA Ratio,13.04,12.23,10.96,12.10,23.37,-,-
EV/EBIT Ratio,40.21,36.11,37.84,106.54,81.94,-,-
EV/FCF Ratio,14.10,13.38,11.18,15.79,33.47,-,-
Debt / Equity Ratio,0.06,0.05,0.06,0.03,0.59,2.67,1.04
Debt / EBITDA Ratio,0.15,0.12,0.20,0.11,2.41,2.84,1.02
Debt / FCF Ratio,0.16,0.13,0.21,0.14,3.45,2.94,1.15
Asset Turnover,0.52,0.49,0.48,0.46,0.41,0.49,-
Inventory Turnover,-,141.60,113.51,-,-,-,-
Quick Ratio,1.29,1.42,1.18,1.17,3.24,2.18,0.50
Current Ratio,1.36,1.53,1.26,1.30,3.36,2.25,0.58
Return on Equity (ROE),9.95%,3.73%,4.25%,1.41%,2.84%,9.31%,-
Return on Assets (ROA),3.62%,3.55%,2.48%,0.94%,2.37%,3.62%,-
Return on Capital (ROIC),8.46%,8.48%,5.29%,1.52%,3.64%,6.57%,-
Return on Capital Employed (ROCE),6.80%,6.70%,3.80%,2.20%,3.40%,6.40%,8.40%
Earnings Yield,1.64%,0.68%,1.17%,0.39%,0.27%,-,-
FCF Yield,6.73%,6.96%,8.21%,5.77%,2.77%,-,-
Buyback Yield / Dilution,0.52%,-0.26%,-1.43%,-12.00%,-57.09%,-3.16%,-
