Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Dec '21Dec 25, 2021","Dec '20Dec 26, 2020","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Dec '15Dec 26, 2015"
Market Capitalization,"3,800","3,557","3,247","1,712","3,481","3,295","1,971","1,038","1,142",792,530
Market Cap Growth,12.08%,9.54%,89.62%,-50.81%,5.64%,67.16%,89.87%,-9.11%,44.15%,49.55%,8.58%
Enterprise Value,"3,702","3,244","3,050","1,514","3,284","3,123","1,854",968,"1,122",832,346
Last Close Price,49.05,45.92,41.71,22.23,44.51,42.58,26.04,14.01,15.65,11.20,9.11
PE Ratio,92.86,51.09,39.41,33.75,41.48,41.97,50.10,9.98,27.92,-,-
Forward PE,34.38,31.22,42.67,46.32,26.40,28.69,24.03,12.80,11.88,13.37,22.09
PS Ratio,4.99,4.66,4.90,2.29,4.52,4.75,3.34,1.96,2.08,2.06,1.88
PB Ratio,3.77,3.75,3.57,2.12,4.27,4.43,3.08,1.79,2.49,1.98,1.80
P/TBV Ratio,4.92,4.82,4.67,3.00,6.14,6.98,5.13,3.21,6.67,9.17,2.22
P/FCF Ratio,738.51,44.96,378.63,25.74,47.77,29.06,19.67,21.26,16.66,134.26,19.28
P/OCF Ratio,37.35,30.26,50.26,12.99,24.98,19.47,16.29,15.11,13.23,45.48,14.67
PEG Ratio,-,1.56,1.83,2.32,1.32,1.44,1.20,0.83,0.78,0.84,1.05
EV/Sales Ratio,4.88,4.25,4.60,2.02,4.27,4.50,3.15,1.83,2.05,2.17,1.23
EV/EBITDA Ratio,47.23,42.07,63.87,16.20,22.28,23.43,19.52,12.14,12.27,23.70,17.10
EV/EBIT Ratio,89.35,73.39,296.01,27.33,31.92,36.90,36.99,26.82,23.93,-,-
EV/FCF Ratio,694.81,41.01,355.70,22.75,45.06,27.54,18.50,19.83,16.36,140.96,12.59
Debt / Equity Ratio,0.03,0.04,0.05,0.06,0.08,0.09,0.15,0.11,0.23,0.35,-
Debt / EBITDA Ratio,0.36,0.44,0.81,0.48,0.40,0.49,0.91,0.81,1.16,3.94,-
Debt / FCF Ratio,6.23,0.50,5.62,0.76,0.87,0.61,0.94,1.33,1.54,23.41,-
Asset Turnover,0.64,0.68,0.63,0.74,0.78,0.77,0.75,0.77,0.87,0.80,0.82
Inventory Turnover,4.38,4.27,3.44,3.85,4.20,4.44,4.37,4.39,5.21,6.23,7.45
Quick Ratio,3.11,3.59,3.32,2.19,2.64,2.37,2.34,2.39,2.45,2.18,5.15
Current Ratio,4.30,4.61,4.38,3.17,3.52,3.15,3.07,3.30,3.32,3.08,5.92
Return on Equity (ROE),4.16%,7.50%,9.60%,6.25%,10.76%,11.34%,6.44%,20.03%,9.52%,-1.88%,-0.52%
Return on Assets (ROA),2.20%,2.45%,0.61%,3.41%,6.48%,5.87%,4.00%,3.28%,4.63%,-1.52%,-0.64%
Return on Capital (ROIC),2.54%,2.84%,0.71%,3.98%,7.60%,6.83%,4.54%,3.73%,5.31%,-1.75%,-0.76%
Return on Capital Employed (ROCE),3.90%,4.40%,1.10%,6.50%,11.80%,10.50%,7.10%,5.80%,8.50%,-,-
Earnings Yield,1.04%,1.96%,2.54%,2.96%,2.41%,2.38%,2.00%,10.02%,3.58%,-0.83%,-0.29%
FCF Yield,0.14%,2.22%,0.26%,3.89%,2.09%,3.44%,5.08%,4.70%,6.00%,0.74%,5.19%
Buyback Yield / Dilution,1.03%,-0.36%,0.05%,1.18%,-0.17%,-2.22%,-2.80%,-1.27%,-14.32%,-12.26%,-3.47%
