Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,971.71,914.52,837.55,"1,006","1,037",811.02,725.63,806.34,766.08,529.52,450.56
Revenue Growth (YoY),10.23%,9.19%,-16.75%,-2.99%,27.88%,11.77%,-10.01%,5.25%,44.68%,17.52%,5.65%
Cost of Revenue,314.36,288.72,236.31,284.19,277.27,206.42,189.75,206.05,187.29,131.07,102.57
Gross Profit,657.35,625.79,601.24,721.91,759.83,604.6,535.87,600.29,578.79,398.45,347.99
"Selling, General & Admin",363.77,370.91,339.14,312.11,309.35,267.59,273.84,262.7,220.73,166.11,151.65
Research & Development,135.45,139.82,139.4,141.13,135.37,130.98,119.43,116.45,99.21,78.27,69.79
Operating Expenses,499.22,510.73,478.54,453.24,444.73,398.58,393.27,379.14,319.93,244.38,221.44
Operating Income,158.13,115.07,122.7,268.67,315.1,206.02,142.6,221.14,258.86,154.07,126.54
Interest & Investment Income,16.4,13.97,14.09,6.72,6.66,12.99,19.69,14.72,9.54,7.04,3.67
Currency Exchange Gain (Loss),-2.67,1.53,-10.04,-1.84,-2.27,3.7,-0.51,-1.06,-1.6,0.1,1.12
Other Non Operating Income (Expenses),2.66,0.92,0.59,-0.41,-0.59,-0.42,-0.19,-0.22,-0.37,0.41,-0.15
EBT Excluding Unusual Items,174.52,131.49,127.35,273.13,318.9,222.29,161.59,234.57,266.44,161.61,131.2
Merger & Restructuring Charges,-,-,-,-1.66,-,-15.92,-,-,-,-,-
Asset Writedown,-,-,-,-,-,-19.57,-,-,-,-,-
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-5.02
Other Unusual Items,-,-,-,-20.78,-,0.11,1.4,0,0.03,0.46,0.79
Pretax Income,174.52,131.49,135.35,250.7,318.9,186.91,162.99,234.57,266.46,162.08,126.96
Income Tax Expense,64.4,25.32,22.11,35.17,39.02,10.73,-40.87,15.31,89.75,18.13,19.3
Earnings From Continuing Operations,110.12,106.17,113.23,215.53,279.88,176.19,203.87,219.27,176.71,143.95,107.66
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-0.26,79.41
Net Income,110.12,106.17,113.23,215.53,279.88,176.19,203.87,219.27,176.71,143.69,187.07
Net Income to Common,110.12,106.17,113.23,215.53,279.88,176.19,203.87,219.27,176.71,143.69,187.07
Net Income Growth,23.66%,-6.24%,-47.46%,-22.99%,58.86%,-13.58%,-7.02%,24.08%,22.98%,-23.19%,53.99%
Shares Outstanding (Basic),169,171,172,173,176,173,171,172,173,171,173
Shares Outstanding (Diluted),170,173,173,175,180,177,175,177,180,174,176
Shares Change (YoY),-1.46%,-0.45%,-0.84%,-2.80%,1.88%,0.76%,-1.21%,-1.20%,3.10%,-1.04%,-1.21%
EPS (Basic),0.65,0.62,0.66,1.24,1.59,1.02,1.19,1.27,1.02,0.84,1.08
EPS (Diluted),0.65,0.62,0.65,1.23,1.56,1.00,1.16,1.24,0.98,0.83,1.06
EPS Growth,27.63%,-4.72%,-47.15%,-21.15%,56.00%,-13.79%,-6.45%,26.53%,18.28%,-21.93%,56.12%
Free Cash Flow,213.8,134.04,89.84,223.74,298.61,229.1,231.57,186.36,195.57,169.27,110.1
Free Cash Flow Per Share,1.26,0.78,0.52,1.28,1.66,1.30,1.32,1.05,1.09,0.97,0.63
Dividend Per Share,0.320,0.305,0.285,0.265,0.245,0.225,0.205,0.185,0.168,0.147,0.110
Dividend Growth,6.67%,7.02%,7.55%,8.16%,8.89%,9.76%,10.81%,10.45%,13.56%,34.09%,-
Gross Margin,67.65%,68.43%,71.79%,71.75%,73.27%,74.55%,73.85%,74.45%,75.55%,75.25%,77.23%
Operating Margin,16.27%,12.58%,14.65%,26.70%,30.38%,25.40%,19.65%,27.43%,33.79%,29.10%,28.09%
Profit Margin,11.33%,11.61%,13.52%,21.42%,26.99%,21.72%,28.09%,27.19%,23.07%,27.14%,41.52%
Free Cash Flow Margin,22.00%,14.66%,10.73%,22.24%,28.79%,28.25%,31.91%,23.11%,25.53%,31.97%,24.44%
EBITDA,189.46,147.75,144.58,288.29,335.38,232.53,167.5,242.69,275.85,169.14,140.66
EBITDA Margin,19.50%,16.16%,17.26%,28.65%,32.34%,28.67%,23.08%,30.10%,36.01%,31.94%,31.22%
D&A For EBITDA,31.33,32.69,21.88,19.62,20.28,26.5,24.9,21.55,16.99,15.07,14.12
EBIT,158.13,115.07,122.7,268.67,315.1,206.02,142.6,221.14,258.86,154.07,126.54
EBIT Margin,16.27%,12.58%,14.65%,26.70%,30.38%,25.40%,19.65%,27.43%,33.79%,29.10%,28.09%
Effective Tax Rate,36.90%,19.25%,16.34%,14.03%,12.23%,5.74%,-,6.53%,33.68%,11.19%,15.20%
Advertising Expenses,-,1.29,1.19,1.26,1.97,1.44,1.39,1.66,1.68,1.67,2.01
