Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,208","6,151","7,185","8,147","13,748","14,020","9,577","6,659","10,591","5,450","2,865"
Market Cap Growth,-7.71%,-14.40%,-11.80%,-40.74%,-1.94%,46.39%,43.83%,-37.13%,94.32%,90.22%,-20.36%
Enterprise Value,"5,986","5,940","6,741","7,706","13,382","13,655","9,179","6,131","10,207","5,061","2,513"
Last Close Price,38.18,35.62,41.15,46.16,75.80,78.03,52.83,36.30,57.19,29.65,15.64
PE Ratio,56.99,57.93,63.46,37.80,49.12,79.58,46.98,30.37,59.94,37.93,15.32
Forward PE,35.79,42.45,53.25,34.81,50.91,67.09,56.54,31.38,46.75,37.69,28.99
PS Ratio,6.64,6.73,8.58,8.10,13.26,17.29,13.20,8.26,13.83,10.29,6.36
PB Ratio,4.29,4.05,4.78,5.66,9.61,11.11,7.06,5.87,9.67,5.66,3.47
P/TBV Ratio,6.14,5.90,7.20,6.88,11.69,13.98,8.93,6.58,10.93,6.35,3.88
P/FCF Ratio,29.04,45.89,79.98,36.41,46.04,61.20,41.36,35.73,54.16,32.20,26.02
P/OCF Ratio,27.96,41.26,63.63,33.47,43.77,57.84,37.81,29.80,47.21,29.93,22.33
PEG Ratio,-,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
EV/Sales Ratio,6.16,6.50,8.05,7.66,12.90,16.84,12.65,7.60,13.32,9.56,5.58
EV/EBITDA Ratio,31.60,40.20,46.62,26.73,39.90,58.72,54.80,25.26,37.00,29.92,17.87
EV/EBIT Ratio,37.86,51.62,54.94,28.68,42.47,66.28,64.37,27.73,39.43,32.85,19.86
EV/FCF Ratio,28.00,44.32,75.03,34.44,44.82,59.60,39.64,32.90,52.19,29.90,22.83
Debt / Equity Ratio,0.05,0.05,0.05,0.03,0.02,0.02,0.01,-,-,-,-
Debt / EBITDA Ratio,0.39,0.43,0.50,0.13,0.07,0.11,0.10,-,-,-,-
Debt / FCF Ratio,0.37,0.52,0.88,0.18,0.09,0.11,0.08,-,-,-,-
Asset Turnover,0.48,0.46,0.42,0.51,0.55,0.44,0.46,0.63,0.66,0.55,0.53
Inventory Turnover,2.10,1.81,1.66,2.41,3.19,3.41,2.64,2.73,3.95,4.08,3.08
Quick Ratio,2.81,2.34,2.98,2.83,2.44,3.82,4.34,7.26,4.72,7.28,7.29
Current Ratio,3.96,3.62,4.47,3.82,3.39,4.55,5.04,8.54,5.59,8.00,8.28
Return on Equity (ROE),7.21%,7.03%,7.70%,15.03%,20.79%,13.46%,16.37%,19.66%,17.17%,16.10%,13.78%
Return on Assets (ROA),4.86%,3.59%,3.86%,8.48%,10.35%,6.98%,5.61%,10.72%,13.91%,10.00%,9.25%
Return on Capital (ROIC),6.15%,4.54%,5.01%,11.45%,14.35%,9.67%,7.11%,12.39%,15.72%,10.77%,10.13%
Return on Capital Employed (ROCE),8.60%,6.30%,6.60%,15.20%,17.40%,12.30%,8.10%,18.50%,22.00%,15.80%,15.20%
Earnings Yield,1.77%,1.73%,1.58%,2.65%,2.04%,1.26%,2.13%,3.29%,1.67%,2.64%,6.53%
FCF Yield,3.44%,2.18%,1.25%,2.75%,2.17%,1.63%,2.42%,2.80%,1.85%,3.11%,3.84%
Dividend Yield,0.92%,0.86%,0.69%,0.57%,0.32%,0.29%,0.39%,0.51%,0.29%,0.50%,0.70%
Payout Ratio,49.99%,49.29%,43.34%,21.31%,15.46%,22.18%,17.23%,14.53%,16.43%,17.55%,9.65%
Buyback Yield / Dilution,1.46%,0.45%,0.84%,2.80%,-1.88%,-0.76%,1.21%,1.20%,-3.10%,1.04%,1.21%
Total Shareholder Return,2.37%,1.31%,1.53%,3.38%,-1.56%,-0.47%,1.59%,1.70%,-2.81%,1.54%,1.92%
