Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,318","1,412","2,195","3,235","3,748","4,403","2,370","1,454","1,058","1,068",417
Market Cap Growth,238.58%,-35.68%,-32.13%,-13.70%,-14.86%,85.79%,62.97%,37.45%,-0.91%,155.95%,2.60%
Enterprise Value,"5,052","2,187","3,060","3,354","3,794","4,668","2,123","1,250",776,834,322
Last Close Price,21.27,6.96,10.76,15.36,17.07,19.16,18.35,11.52,8.37,8.50,4.93
PE Ratio,19.64,-,-,16.66,10.18,29.05,23.06,227.95,15.26,16.43,-
PS Ratio,3.02,1.42,1.54,2.82,2.54,5.16,3.91,3.46,2.36,2.17,1.11
PB Ratio,1.04,0.36,0.51,0.78,0.93,1.14,2.09,1.45,1.03,1.18,0.93
P/TBV Ratio,1.30,0.45,0.65,0.92,1.08,1.34,2.19,1.57,1.11,1.25,0.93
P/FCF Ratio,22.52,-,11.07,138.35,8.44,26.19,315.32,-,15.59,12.62,35.93
P/OCF Ratio,10.94,35.19,5.21,20.11,6.16,14.34,20.06,24.33,7.31,6.26,5.63
EV/Sales Ratio,3.53,2.20,2.14,2.92,2.57,5.47,3.50,2.97,1.73,1.70,0.86
EV/EBITDA Ratio,10.43,9.69,6.02,9.04,4.89,12.49,10.40,9.85,4.43,4.27,5.52
EV/EBIT Ratio,14.00,22.90,10.18,17.70,6.91,17.65,17.93,52.83,10.66,6.99,-
EV/FCF Ratio,26.36,-,15.43,143.46,8.54,27.77,282.45,-,11.43,9.86,27.71
Debt / Equity Ratio,0.09,0.09,0.08,0.10,0.12,0.15,0.25,0.25,0.23,0.24,0.48
Debt / EBITDA Ratio,0.76,1.60,0.68,1.13,0.63,1.49,1.41,1.95,1.33,1.13,3.64
Debt / FCF Ratio,1.92,-,1.76,18.11,1.11,3.33,38.30,-,3.44,2.60,18.29
Asset Turnover,0.26,0.19,0.27,0.22,0.28,0.25,0.37,0.28,0.30,0.43,0.40
Inventory Turnover,1.42,1.30,1.56,1.46,1.44,1.24,1.49,1.18,2.01,2.27,2.57
Quick Ratio,1.13,2.48,3.84,2.91,4.15,3.89,2.74,5.77,8.47,3.68,2.43
Current Ratio,2.41,4.70,7.01,4.93,5.64,5.71,3.84,8.81,11.19,4.88,3.51
Return on Equity (ROE),4.67%,-8.55%,-2.85%,5.15%,10.78%,6.31%,9.46%,-0.00%,7.42%,9.63%,-24.22%
Return on Assets (ROA),4.08%,1.13%,3.53%,2.26%,6.60%,4.77%,4.52%,0.97%,3.06%,6.46%,-1.46%
Return on Capital (ROIC),5.12%,1.33%,4.08%,2.60%,7.66%,5.67%,5.53%,1.18%,3.82%,8.38%,-1.88%
Return on Capital Employed (ROCE),6.70%,1.90%,5.80%,3.80%,11.10%,5.40%,7.80%,1.60%,5.00%,9.20%,-
Earnings Yield,5.09%,-18.50%,-4.46%,6.00%,9.82%,3.44%,4.34%,0.44%,6.55%,6.08%,-29.80%
FCF Yield,4.44%,-7.32%,9.03%,0.72%,11.85%,3.82%,0.32%,-6.76%,6.42%,7.93%,2.78%
Dividend Yield,-,-,2.60%,1.82%,1.17%,-,-,-,-,-,-
Payout Ratio,-,-,-,30.29%,11.75%,-,-,-,-,-,-
Buyback Yield / Dilution,-5.34%,1.20%,7.99%,2.52%,-39.43%,-20.86%,-11.61%,-0.56%,-15.39%,-29.48%,-0.02%
Total Shareholder Return,-5.34%,1.20%,10.59%,4.35%,-38.26%,-20.86%,-11.61%,-0.56%,-15.39%,-29.48%,-0.02%
