Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Cash & Equivalents,409.33,387.88,492.39,655.45,"1,018",860.63,Upgrade
Short-Term Investments,36.09,29.47,20.94,40.28,40.43,26.75,Upgrade
Cash & Short-Term Investments,445.42,417.35,513.34,695.73,"1,058",887.38,Upgrade
Cash Growth,21.78%,-18.70%,-26.22%,-34.24%,19.23%,55.65%,Upgrade
Accounts Receivable,78.23,84.24,91.34,62.56,86.12,38.46,Upgrade
Other Receivables,43.42,40.2,50.84,55.11,35.23,44.76,Upgrade
Receivables,121.65,124.44,142.18,117.68,121.36,83.22,Upgrade
Inventory,586.16,464.07,515.14,501.61,389.42,437.03,Upgrade
Prepaid Expenses,52.84,23.18,25.82,27.77,31.55,16.16,Upgrade
Restricted Cash,-,-,-,33.65,-,-,Upgrade
Total Current Assets,"1,206","1,029","1,196","1,376","1,600","1,424",Upgrade
"Property, Plant & Equipment","4,116","3,801","3,894","3,567","3,257","3,479",Upgrade
Long-Term Investments,-,5.2,7.53,4.96,4.92,7.78,Upgrade
Goodwill,-,-,-,49.79,49.79,49.79,Upgrade
Long-Term Deferred Tax Assets,11.3,7.6,22.31,1.92,8.5,15.07,Upgrade
Other Long-Term Assets,574.37,345.86,265.53,254.17,290.63,201.81,Upgrade
Total Assets,"5,908","5,189","5,386","5,255","5,211","5,177",Upgrade
Accounts Payable,41.2,30.54,37.1,78.93,34.84,42.92,Upgrade
Accrued Expenses,140.45,95.26,104.08,94.76,106.58,110.57,Upgrade
Current Portion of Long-Term Debt,240.37,11,0.92,71.8,71.49,71.03,Upgrade
Current Portion of Leases,7.49,6.45,6.1,5.85,14.68,5.52,Upgrade
Current Income Taxes Payable,43.03,41.08,16.39,16.37,52.21,9.19,Upgrade
Other Current Liabilities,28.47,34.55,5.99,11.55,4.09,10.06,Upgrade
Total Current Liabilities,501.01,218.88,170.57,279.25,283.88,249.3,Upgrade
Long-Term Debt,42.09,246.36,234.06,226.51,295.49,366.61,Upgrade
Long-Term Leases,77.62,100.72,107.15,119.4,111.49,117.07,Upgrade
Long-Term Deferred Tax Liabilities,320.31,327.28,363.85,342.4,338.79,473.03,Upgrade
Other Long-Term Liabilities,822.29,348.92,205.94,160.89,129.27,124.16,Upgrade
Total Liabilities,"1,763","1,242","1,082","1,128","1,159","1,330",Upgrade
Common Stock,"2,999","2,994","3,005","3,058","3,140","3,243",Upgrade
Retained Earnings,327.66,113.37,368.07,521.82,397.67,92.08,Upgrade
Total Common Equity,"3,327","3,107","3,373","3,580","3,538","3,335",Upgrade
Minority Interest,817.42,839.82,931.12,546.46,514.66,512.28,Upgrade
Shareholders' Equity,"4,144","3,947","4,304","4,126","4,053","3,847",Upgrade
Total Liabilities & Equity,"5,908","5,189","5,386","5,255","5,211","5,177",Upgrade
Total Debt,367.57,364.53,348.23,423.56,493.15,560.23,Upgrade
Net Cash (Debt),77.85,57.98,172.51,276.74,564.84,327.15,Upgrade
Net Cash Growth,229.58%,-66.39%,-37.66%,-51.01%,72.66%,15.90%,Upgrade
Net Cash Per Share,0.36,0.29,0.84,1.24,2.47,2.00,Upgrade
Filing Date Shares Outstanding,203,202.39,202.46,206.76,212.38,219.83,Upgrade
Total Common Shares Outstanding,202.79,202.37,202.95,206.65,211.88,219.61,Upgrade
Working Capital,705.07,810.16,"1,026","1,097","1,316","1,174",Upgrade
Book Value Per Share,16.41,15.35,16.62,17.32,16.70,15.19,Upgrade
Tangible Book Value,"3,327","3,107","3,373","3,530","3,488","3,285",Upgrade
Tangible Book Value Per Share,16.41,15.35,16.62,17.08,16.46,14.96,Upgrade
Machinery,"2,001","1,804","1,805","1,692","1,763","1,641",Upgrade
Construction In Progress,211,135.59,86.3,58.7,36.84,40.29,Upgrade
