Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"4,474","1,942","1,301","2,563",738,896,634,-,-
Market Cap Growth,109.01%,49.28%,-49.24%,247.29%,-17.63%,41.33%,-,-,-
Enterprise Value,"3,484","1,191",714,"2,199",524,606,486,-,-
Last Close Price,54.35,27.82,23.35,54.80,21.15,25.80,22.20,-,-
PB Ratio,4.55,2.59,2.43,7.85,4.36,3.46,4.92,-,-
P/TBV Ratio,4.67,2.59,2.43,7.85,4.36,3.46,4.92,-,-
Debt / Equity Ratio,0.00,0.05,0.05,0.03,0.01,0.01,0.00,-,-
Quick Ratio,15.48,18.69,28.75,18.42,7.49,20.47,14.56,32.44,2.69
Current Ratio,15.84,19.38,29.27,18.61,7.70,20.70,14.74,32.93,2.87
Return on Equity (ROE),-34.53%,-39.22%,-35.22%,-45.20%,-47.11%,-40.89%,-42.99%,-217.19%,-
Return on Assets (ROA),-22.63%,-25.37%,-23.06%,-26.07%,-26.90%,-24.35%,-26.51%,-22.13%,-
Return on Capital (ROIC),-23.81%,-26.47%,-24.03%,-28.33%,-29.25%,-25.73%,-28.02%,-22.89%,-
Return on Capital Employed (ROCE),-34.50%,-36.30%,-30.80%,-34.10%,-59.20%,-30.80%,-35.50%,-18.40%,-1142.00%
Earnings Yield,-6.55%,-12.98%,-11.67%,-4.37%,-13.66%,-8.84%,-6.90%,-,-
FCF Yield,-5.59%,-11.90%,-11.18%,-3.61%,-10.80%,-7.92%,-5.62%,-,-
Buyback Yield / Dilution,-23.38%,-27.71%,-34.84%,-11.94%,-10.69%,-108.77%,-14474.75%,-,-
