Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
"Selling, General & Admin",43.02,37.93,31.07,29.87,19.13,15.27,8.61,1.9,1.18
Research & Development,287,247.5,141.8,85.28,81.76,64.88,37.05,11.88,3.8
Operating Expenses,330.02,285.42,172.87,115.16,100.89,80.15,45.65,13.78,4.98
Operating Income,-330.02,-285.42,-172.87,-115.16,-100.89,-80.15,-45.65,-13.78,-4.98
Interest Expense,-4.62,-4.67,-3.1,-0.74,-,-,-,-,-
Interest & Investment Income,45.73,38.03,24.21,3.86,0.11,0.95,1.9,-,-
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-5.79,-
EBT Excluding Unusual Items,-288.91,-252.06,-151.76,-112.03,-100.78,-79.21,-43.76,-19.56,-4.98
Other Unusual Items,-1.56,-,-,-,-,-,-,-62.15,-
Pretax Income,-292.82,-252.06,-151.76,-112.03,-100.78,-79.21,-43.76,-81.71,-4.98
Net Income,-292.82,-252.06,-151.76,-112.03,-100.78,-79.21,-43.76,-81.71,-4.98
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,0.52,0.23
Net Income to Common,-292.82,-252.06,-151.76,-112.03,-100.78,-79.21,-43.76,-82.23,-5.21
Shares Outstanding (Basic),78,67,53,39,35,31,15,0,-
Shares Outstanding (Diluted),78,67,53,39,35,31,15,0,-
Shares Change (YoY),23.38%,27.71%,34.84%,11.94%,10.69%,108.77%,14474.75%,-,-
EPS (Basic),-3.74,-3.75,-2.89,-2.87,-2.89,-2.52,-2.90,-795.28,-
EPS (Diluted),-3.74,-3.75,-2.89,-2.87,-2.89,-2.52,-2.90,-795.28,-
Free Cash Flow,-250.17,-231.11,-145.37,-92.52,-79.68,-70.95,-35.63,-4.63,-4.78
Free Cash Flow Per Share,-3.20,-3.44,-2.77,-2.37,-2.29,-2.25,-2.36,-44.73,-
EBITDA,-329.99,-285.41,-172.84,-115.11,-100.85,-80.14,-,-,-
D&A For EBITDA,0.03,0.02,0.03,0.04,0.04,0.02,-,-,-
EBIT,-330.02,-285.42,-172.87,-115.16,-100.89,-80.15,-45.65,-13.78,-4.98
