Period Ending,"Sep '25Sep 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016"
Revenue,"4,533","5,005","4,888","4,577","4,289","4,169","4,087","3,975","3,867","3,718"
Revenue Growth (YoY),-9.43%,2.40%,6.79%,6.72%,2.87%,2.02%,2.81%,2.79%,4.00%,2.05%
Cost of Revenue,"2,811","3,250","3,160","2,958","2,811","2,756","2,653","2,595","2,508","2,408"
Gross Profit,"1,722","1,755","1,728","1,619","1,478","1,413","1,433","1,380","1,359","1,310"
"Selling, General & Admin",506.11,572.85,570.71,528.57,487.26,458.54,492.46,481.09,472.78,464.88
Research & Development,340.85,360.8,374.86,354.71,312.94,282.04,273.94,276.62,259.1,252.29
Amortization of Goodwill & Intangibles,62.42,62.05,57.16,71.08,78.78,78.14,97.36,108.49,110.29,109.87
Operating Expenses,909.38,995.7,"1,003",954.35,878.98,818.72,863.75,866.2,842.17,827.05
Operating Income,812.2,759.7,724.89,664.8,598.69,594.76,569.75,513.36,517.33,483.14
Interest Expense,-38.42,-34.89,-23.09,-16.91,-21.28,-10.43,-3.91,-2.76,-1.6,-1.67
Interest & Investment Income,-,17.45,21.25,7.82,4.82,4.23,6.23,6.6,7.97,6.82
Currency Exchange Gain (Loss),-,-13.21,-12.06,-16.72,-1.11,-3.38,-7.86,-6.17,-8.25,-2
Other Non Operating Income (Expenses),-,-6.89,-3.73,-0.58,6.77,-1.86,3.69,-3.11,-2.54,-1.59
EBT Excluding Unusual Items,773.78,722.16,707.26,638.41,587.9,583.32,567.89,507.92,512.92,484.7
Merger & Restructuring Charges,-80.54,-131.09,-70.9,-,-,-,-,-30.06,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-1.32,-0.01,-
Gain (Loss) on Sale of Assets,-,-,-,10,226.41,-,-,-,-,-
Legal Settlements,-,-,-,-,-,-,-,-55,-,-
Pretax Income,693.24,591.07,636.36,648.41,814.31,583.32,567.89,421.54,512.91,484.7
Income Tax Expense,125.47,94.75,93.4,98.91,125.93,85.48,88.44,67.15,76.09,75.37
Earnings From Continuing Operations,567.77,496.32,542.96,549.5,688.37,497.84,479.45,354.4,436.83,409.33
Minority Interest in Earnings,-3.07,-3.12,-2.25,-,-,-,-,-,-,-
Net Income,564.7,493.2,540.71,549.5,688.37,497.84,479.45,354.4,436.83,409.33
Net Income to Common,564.7,493.2,540.71,549.5,688.37,497.84,479.45,354.4,436.83,409.33
Net Income Growth,14.50%,-8.79%,-1.60%,-20.17%,38.27%,3.84%,35.28%,-18.87%,6.72%,-8.25%
Shares Outstanding (Basic),111,115,120,123,128,134,137,142,146,149
Shares Outstanding (Diluted),112,116,121,124,129,134,138,144,147,151
Shares Change (YoY),-3.79%,-3.63%,-2.53%,-4.36%,-3.69%,-2.81%,-3.89%,-2.53%,-2.48%,-3.59%
EPS (Basic),5.08,4.27,4.52,4.47,5.36,3.73,3.49,2.49,2.99,2.74
EPS (Diluted),5.05,4.25,4.49,4.44,5.32,3.71,3.47,2.47,2.96,2.71
EPS Growth,18.92%,-5.35%,0.96%,-16.54%,43.57%,6.83%,40.76%,-16.68%,9.22%,-4.91%
Free Cash Flow,645.14,618.93,698.27,529.5,715.04,452.43,518.46,325.64,502.66,490.15
Free Cash Flow Per Share,5.77,5.33,5.79,4.28,5.53,3.37,3.75,2.27,3.41,3.24
Dividend Per Share,-,1.872,1.700,1.545,1.407,1.268,1.105,0.970,0.855,0.755
Dividend Growth,-,10.12%,10.03%,9.77%,11.04%,14.71%,13.92%,13.45%,13.25%,13.53%
Gross Margin,37.98%,35.07%,35.35%,35.38%,34.46%,33.90%,35.08%,34.71%,35.15%,35.24%
Operating Margin,17.92%,15.18%,14.83%,14.53%,13.96%,14.27%,13.94%,12.91%,13.38%,12.99%
Profit Margin,12.46%,9.85%,11.06%,12.01%,16.05%,11.94%,11.73%,8.92%,11.30%,11.01%
Free Cash Flow Margin,14.23%,12.37%,14.29%,11.57%,16.67%,10.85%,12.69%,8.19%,13.00%,13.18%
EBITDA,"1,008",952.76,920.59,889.33,807.52,793.17,775.52,724.59,732.22,694.93
EBITDA Margin,22.23%,19.04%,18.83%,19.43%,18.83%,19.02%,18.98%,18.23%,18.93%,18.69%
D&A For EBITDA,195.44,193.07,195.7,224.54,208.83,198.41,205.77,211.22,214.89,211.79
EBIT,812.2,759.7,724.89,664.8,598.69,594.76,569.75,513.36,517.33,483.14
EBIT Margin,17.92%,15.18%,14.83%,14.53%,13.96%,14.27%,13.94%,12.91%,13.38%,12.99%
Effective Tax Rate,18.10%,16.03%,14.68%,15.25%,15.47%,14.65%,15.57%,15.93%,14.83%,15.55%
