Period Ending,"Sep '25Sep 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016"
Cash & Equivalents,325,346.09,520.08,573.38,709.06,983.19,471.63,418.78,649.61,768.66
Short-Term Investments,-,168.24,222.45,244.6,256.53,0.75,-,100.43,330,327.06
Cash & Short-Term Investments,325,514.33,742.53,817.98,965.59,983.94,471.63,519.22,979.61,"1,096"
Cash Growth,-36.81%,-30.73%,-9.22%,-15.29%,-1.86%,108.63%,-9.16%,-47.00%,-10.60%,-19.08%
Accounts Receivable,935.75,"1,028",944.48,946.78,866.82,861.03,987.86,971.5,865.07,818.53
Other Receivables,-,37.25,44.53,56.96,53.93,58.34,53.14,55.2,38.45,-
Receivables,935.75,"1,066",989.01,"1,004",920.74,919.37,"1,041","1,027",903.51,818.53
Prepaid Expenses,331.39,185.31,168.54,169.4,169.97,147.05,148.51,171.82,132.38,169.84
Other Current Assets,-,5.94,11.55,12.03,11.19,24.22,14.43,2.98,32.98,16.3
Total Current Assets,"1,592","1,771","1,912","2,003","2,067","2,075","1,676","1,721","2,048","2,100"
"Property, Plant & Equipment",950.65,904.86,951.86,971.17,931.93,723.61,353.98,344.22,228.61,331.73
Goodwill,-,"2,845","2,749","2,663","2,623","2,579","2,463","2,445","2,221","2,212"
Other Intangible Assets,"3,047",160.73,181.54,178.31,259.03,476.17,376.49,417.62,304.41,281.53
Long-Term Accounts Receivable,-,75.05,45.18,27.42,38.25,42.09,16.99,15.69,-,-
Other Long-Term Assets,660.09,629.42,586.41,547.52,592.42,446.53,406.95,404.68,476.67,406.07
Total Assets,"6,250","6,386","6,426","6,390","6,512","6,342","5,293","5,348","5,279","5,331"
Accounts Payable,"1,201",305.93,293.34,134.4,121.2,110.14,176.51,194.74,126.41,136.68
Accrued Expenses,-,676.07,491.73,416.83,481.18,443.64,525.24,517.18,508.27,244.3
Short-Term Debt,-,-,-,-,-,100,-,-,-,200
Current Portion of Leases,38.73,39.98,39.96,43.34,58.71,59.1,-,-,-,-
Current Income Taxes Payable,-,47.7,47.47,34.2,34.72,25.74,28.34,27.84,34.14,38.43
Current Unearned Revenue,118.86,115.25,170.63,253.69,237.37,126.84,118.18,132.41,113.09,173.33
Other Current Liabilities,-,285.99,310.24,370.22,370.68,350.74,359.66,422.78,391.03,573.28
Total Current Liabilities,"1,359","1,471","1,353","1,253","1,304","1,216","1,208","1,295","1,173","1,366"
Long-Term Debt,646.9,646.29,645.7,645.12,644.55,644.02,-,-,-,-
Long-Term Leases,140.78,103.46,121.65,138.38,177.91,230.08,-,-,-,-
Long-Term Unearned Revenue,-,0.84,0.81,69.91,108.68,16.53,23.79,-,-,-
Long-Term Deferred Tax Liabilities,-,197.92,252.61,312.24,304.54,258.49,207.51,224.57,219.42,227.1
Other Long-Term Liabilities,632.68,467.54,484.58,411.8,337.05,311.15,311.14,336.24,312.95,284.69
Total Liabilities,"2,779","2,887","2,859","2,830","2,877","2,676","1,750","1,856","1,705","1,878"
Common Stock,"3,429",4.6,4.57,4.55,4.52,4.48,4.45,4.44,4.41,4.38
Additional Paid-In Capital,-,"4,414","4,244","4,106","3,951","3,808","3,668","3,588","3,459","3,323"
Retained Earnings,-,"6,828","6,550","6,212","5,851","5,342","5,013","4,674","4,457","4,145"
Treasury Stock,-,"-7,784","-7,221","-6,732","-6,223","-5,543","-5,182","-4,784","-4,365","-4,025"
Comprehensive Income & Other,-,-4.41,-53.27,-72.48,9.34,11.66,-2.55,-32.73,18.79,6.1
Total Common Equity,"3,429","3,457","3,524","3,518","3,593","3,623","3,500","3,449","3,574","3,454"
Minority Interest,41.23,42.2,43.17,42.51,42.51,42.51,42.51,43.16,-,-
Shareholders' Equity,"3,471","3,499","3,567","3,560","3,635","3,665","3,542","3,492","3,574","3,454"
Total Liabilities & Equity,"6,250","6,386","6,426","6,390","6,512","6,342","5,293","5,348","5,279","5,331"
Total Debt,826.4,789.74,807.31,826.83,881.17,"1,033",-,-,-,200
Net Cash (Debt),-501.4,-275.41,-64.78,-8.85,84.42,-49.26,471.63,519.22,979.61,895.72
Net Cash Growth,-,-,-,-,-,-,-9.16%,-47.00%,9.37%,-21.01%
Net Cash Per Share,-4.49,-2.37,-0.54,-0.07,0.65,-0.37,3.41,3.61,6.64,5.93
Filing Date Shares Outstanding,111.15,112.82,116.91,120.82,124.87,131.11,134.74,139.58,143.91,146.79
Total Common Shares Outstanding,111.15,112.89,117.35,120.84,124.87,131.54,134.77,140.18,144.39,147.13
Working Capital,233.35,300.27,558.26,750.47,763.63,858.38,467.64,425.76,875.54,734.38
Book Value Per Share,30.86,30.62,30.03,29.11,28.77,27.54,25.97,24.60,24.75,23.47
Tangible Book Value,382.49,451.34,593.18,676.63,711,567.83,660.63,586.37,"1,048",960.4
Tangible Book Value Per Share,3.44,4.00,5.05,5.60,5.69,4.32,4.90,4.18,7.26,6.53
Buildings,-,413.74,410.64,392.11,291.26,177.26,109.45,97.78,-,-
Machinery,-,"1,382","1,359","1,331","1,251","1,036",985.95,918.98,907.28,"1,069"
Leasehold Improvements,-,214.32,204.05,199.97,244.86,234.78,230.82,222.81,213.17,206.2
