Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"2,994","2,398",816,604,606,954,-,-
Market Cap Growth,3.31%,193.72%,35.12%,-0.32%,-36.50%,-,-,-
Enterprise Value,"2,344","1,699",687,387,233,585,-,-
Last Close Price,20.24,23.56,13.30,11.59,11.89,21.00,-,-
PB Ratio,4.17,3.81,8.94,2.39,1.65,2.79,-,-
P/TBV Ratio,4.36,3.81,8.94,2.39,1.65,2.79,-,-
Debt / Equity Ratio,0.17,0.04,0.30,0.12,0.09,-,-,0.81
Quick Ratio,13.23,15.20,2.41,9.12,13.11,31.49,6.21,11.43
Current Ratio,13.47,15.60,2.53,9.46,13.31,31.83,6.26,11.47
Return on Equity (ROE),-60.66%,-88.03%,-137.31%,-54.18%,-42.02%,-33.35%,-163.12%,-
Return on Assets (ROA),-34.32%,-50.20%,-64.21%,-29.20%,-24.07%,-19.82%,-69.96%,-
Return on Capital (ROIC),-36.39%,-55.64%,-75.38%,-31.26%,-25.23%,-20.57%,-80.04%,-
Return on Capital Employed (ROCE),-55.60%,-53.00%,-212.40%,-61.40%,-37.80%,-17.10%,-98.20%,-63.50%
Earnings Yield,-14.06%,-13.24%,-28.90%,-27.82%,-24.63%,-6.23%,-,-
FCF Yield,-13.17%,-12.29%,-23.14%,-25.94%,-20.33%,-5.00%,-,-
Buyback Yield / Dilution,-39.30%,-57.74%,-14.83%,-2.13%,-253.54%,-489.30%,-415.39%,-
