Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,573.61,435.45,121.63,172.15,200.83,300.85,14.63,8.12
Short-Term Investments,218.28,206.82,1.47,83.87,175.75,44.46,-,-
Cash & Short-Term Investments,791.89,642.27,123.1,256.01,376.57,345.31,14.63,8.12
Cash Growth,9.43%,421.75%,-51.92%,-32.02%,9.05%,2259.99%,80.11%,-
Prepaid Expenses,14.38,17.01,6.28,9.58,5.44,3.77,0.13,0.03
Restricted Cash,-,-,-,-,0.38,-,-,-
Total Current Assets,806.26,659.28,129.38,265.59,382.39,349.09,14.76,8.16
"Property, Plant & Equipment",45.79,30.01,33.39,38.41,40.96,1.95,1.49,0.11
Other Long-Term Assets,15.01,1.94,2.32,2.32,2.31,2.3,0.19,-
Total Assets,867.06,691.23,165.08,306.33,425.66,353.33,16.44,8.27
Accounts Payable,12.06,6.56,22.94,5.26,4.03,3.44,1.26,0.52
Accrued Expenses,42.75,30.85,23.44,18.22,20.74,7.48,1.08,0.19
Current Portion of Leases,5.04,4.85,4.72,4.61,3.89,-,-,-
Other Current Liabilities,-,-,-,0,0.06,0.05,0.02,0
Total Current Liabilities,59.85,42.26,51.1,28.09,28.72,10.97,2.36,0.71
Long-Term Debt,99.15,-,-,-,-,-,-,3.38
Long-Term Leases,16.28,19.14,22.7,25.87,28.74,-,-,-
Other Long-Term Liabilities,-,-,-,-,-,-,0.04,-
Total Liabilities,175.28,61.4,73.79,53.96,57.47,10.97,2.4,4.09
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0,0
Additional Paid-In Capital,"1,975","1,580",723.8,649.5,596.93,421.57,6.35,0.01
Retained Earnings,"-1,284",-949.93,-632.51,-396.57,-228.47,-79.18,-19.75,-4.89
Comprehensive Income & Other,0.5,0.01,-,-0.57,-0.27,-0.03,-,-
Total Common Equity,691.78,629.84,91.29,252.36,368.2,342.37,-13.39,-4.88
Shareholders' Equity,691.78,629.84,91.29,252.36,368.2,342.37,14.04,4.18
Total Liabilities & Equity,867.06,691.23,165.08,306.33,425.66,353.33,16.44,8.27
Total Debt,120.47,23.99,27.42,30.48,32.64,-,-,3.38
Net Cash (Debt),671.42,618.28,95.69,225.53,343.94,345.31,14.63,4.75
Net Cash Growth,-3.92%,546.16%,-57.57%,-34.43%,-0.40%,2259.99%,208.11%,-
Net Cash Per Share,5.74,6.57,1.60,4.34,6.76,23.99,5.99,10.02
Filing Date Shares Outstanding,142.82,113.12,81.96,56.34,51.6,51.46,2.59,0.47
Total Common Shares Outstanding,142.61,102.32,61.47,55.63,51.53,45.45,2.59,0.47
Working Capital,746.41,617.02,78.28,237.51,353.67,338.12,12.4,7.45
Book Value Per Share,4.85,6.16,1.49,4.54,7.15,7.53,-5.18,-10.29
Tangible Book Value,691.78,629.84,91.29,252.36,368.2,342.37,-13.39,-4.88
Tangible Book Value Per Share,4.85,6.16,1.49,4.54,7.15,7.53,-5.18,-10.29
Machinery,13.38,11.55,9.64,8.67,5.2,2.82,1.77,0.13
Construction In Progress,18.79,0.62,0.43,0.91,1.46,0.11,-,-
Leasehold Improvements,-,-,-,-,-,0.01,0.01,-
