Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
"Selling, General & Admin",64.46,62.48,31.4,28.2,28.72,13.45,2.79,0.52
Research & Development,384.71,281.41,210.76,142.76,121.31,45.2,11.04,4.28
Operating Expenses,449.16,343.89,242.16,170.96,150.03,58.65,13.83,4.8
Operating Income,-449.16,-343.89,-242.16,-170.96,-150.03,-58.65,-13.83,-4.8
Interest Expense,-3,-,-,-,-,-0.4,-,-
Interest & Investment Income,29.79,26.92,7.64,2.92,0.74,0.06,0.29,0.01
Currency Exchange Gain (Loss),-1.46,-0.49,-1.39,-0.02,-,-,-,-
Other Non Operating Income (Expenses),-,-,-,-,-,-0.45,-,-
EBT Excluding Unusual Items,-423.82,-317.45,-235.91,-168.07,-149.28,-59.44,-13.54,-4.79
Gain (Loss) on Sale of Investments,0.02,0.04,-0.02,-0.03,-0.01,-,-,-
Other Unusual Items,-,-,-,-,-,-,-1.32,-0.02
Pretax Income,-423.8,-317.42,-235.94,-168.1,-149.29,-59.44,-14.86,-4.81
Net Income,-423.8,-317.42,-235.94,-168.1,-149.29,-59.44,-14.86,-4.81
Net Income to Common,-423.8,-317.42,-235.94,-168.1,-149.29,-59.44,-14.86,-4.81
Shares Outstanding (Basic),117,94,60,52,51,14,2,0
Shares Outstanding (Diluted),117,94,60,52,51,14,2,0
Shares Change (YoY),39.30%,57.74%,14.83%,2.13%,253.54%,489.30%,415.39%,-
EPS (Basic),-3.62,-3.37,-3.95,-3.23,-2.93,-4.13,-6.08,-10.15
EPS (Diluted),-3.62,-3.37,-3.95,-3.23,-2.93,-4.13,-6.08,-10.15
Free Cash Flow,-397.01,-294.75,-188.89,-156.71,-123.18,-47.67,-13.48,-4.3
Free Cash Flow Per Share,-3.39,-3.13,-3.17,-3.02,-2.42,-3.31,-5.52,-9.07
EBITDA,-447.19,-342.21,-240.49,-169.28,-148.94,-57.95,-13.56,-4.77
D&A For EBITDA,1.98,1.67,1.67,1.68,1.09,0.7,0.27,0.02
EBIT,-449.16,-343.89,-242.16,-170.96,-150.03,-58.65,-13.83,-4.8
