Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019"
Revenue,524.34,504.12,430.52,350.87,272.07,214.63,186.85,143.22
Revenue Growth (YoY),17.11%,17.09%,22.70%,28.96%,26.76%,14.87%,30.46%,-
Cost of Revenue,134.41,131.15,123.66,111.46,99.08,74.37,70.52,44.89
Gross Profit,389.93,372.97,306.86,239.41,172.99,140.26,116.33,98.33
"Selling, General & Admin",277.32,263.1,227.11,213.78,196.73,110.81,87.39,70.21
Research & Development,146.27,137.76,113.63,93.85,74.41,50.85,42.09,28.83
Operating Expenses,423.59,400.86,340.74,307.63,271.14,161.66,129.48,99.04
Operating Income,-33.66,-27.88,-33.88,-68.22,-98.16,-21.4,-13.15,-0.71
Interest Expense,-,-,-,-0.66,-1.25,-24.61,-27.86,-19.94
Interest & Investment Income,8.86,11.22,2.29,-,-,-,-,-
Currency Exchange Gain (Loss),-,-,-,-,-,1.28,-0.9,-0.9
EBT Excluding Unusual Items,-24.8,-16.67,-31.6,-68.88,-99.41,-44.74,-41.9,-21.55
Merger & Restructuring Charges,-0.5,-0.5,-1.6,-1.2,-1.94,-1.56,-3.66,-3.4
Asset Writedown,-,-,-,-1.6,-,-,-,-
Other Unusual Items,-0.4,1.03,3.29,1.76,-1.77,-,-,-
Pretax Income,-25.7,-16.14,-29.91,-69.92,-103.11,-46.29,-45.56,-24.95
Income Tax Expense,2.35,2.08,2.12,-0.5,-3.44,0.47,0.35,-7.81
Net Income,-28.05,-18.22,-32.02,-69.43,-99.68,-46.76,-45.92,-17.14
Preferred Dividends & Other Adjustments,-,-,-,-,-,15.58,14.05,12.04
Net Income to Common,-28.05,-18.22,-32.02,-69.43,-99.68,-62.35,-59.96,-29.18
Shares Outstanding (Basic),80,79,71,64,61,28,24,23
Shares Outstanding (Diluted),80,79,71,64,61,28,24,23
Shares Change (YoY),9.74%,10.10%,11.19%,4.94%,119.20%,15.93%,3.30%,-
EPS (Basic),-0.35,-0.23,-0.45,-1.08,-1.63,-2.23,-2.49,-1.25
EPS (Diluted),-0.35,-0.23,-0.45,-1.08,-1.63,-2.23,-2.49,-1.25
Free Cash Flow,111,121.86,64.77,25.28,13.68,-12.22,-4.05,-7.44
Free Cash Flow Per Share,1.38,1.55,0.91,0.39,0.22,-0.44,-0.17,-0.32
Gross Margin,74.37%,73.98%,71.28%,68.23%,63.58%,65.35%,62.26%,68.66%
Operating Margin,-6.42%,-5.53%,-7.87%,-19.44%,-36.08%,-9.97%,-7.04%,-0.49%
Profit Margin,-5.35%,-3.61%,-7.44%,-19.79%,-36.64%,-29.05%,-32.09%,-20.38%
Free Cash Flow Margin,21.17%,24.17%,15.04%,7.20%,5.03%,-5.69%,-2.17%,-5.19%
EBITDA,-19.84,-13.94,-20.77,-55.78,-83.31,-8.04,-0.38,8.35
EBITDA Margin,-3.78%,-2.77%,-4.83%,-15.90%,-30.62%,-3.74%,-0.21%,5.83%
D&A For EBITDA,13.82,13.95,13.11,12.45,14.84,13.37,12.77,9.05
EBIT,-33.66,-27.88,-33.88,-68.22,-98.16,-21.4,-13.15,-0.71
EBIT Margin,-6.42%,-5.53%,-7.87%,-19.44%,-36.08%,-9.97%,-7.04%,-0.49%
Revenue as Reported,524.34,504.12,430.52,350.87,272.07,214.63,186.85,143.22
Advertising Expenses,-,1.6,1.5,1.3,1.3,-,-,-
