Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019"
Market Capitalization,"3,418","4,179","2,693","2,825",911,"1,646",-,-
Market Cap Growth,-11.48%,55.19%,-4.67%,210.09%,-44.65%,-,-,-
Enterprise Value,"3,176","3,877","2,531","2,788",868,"1,994",-,-
Last Close Price,41.41,51.62,36.67,41.91,14.64,28.00,-,-
PS Ratio,6.34,8.29,6.25,8.05,3.35,7.67,-,-
PB Ratio,6.96,8.04,6.68,8.28,3.56,-122.52,-,-
P/TBV Ratio,27.98,30.91,42.40,322.42,-,-,-,-
P/FCF Ratio,30.86,34.29,41.57,111.76,66.58,-,-,-
P/OCF Ratio,30.35,33.83,40.05,102.77,63.99,-,-,-
EV/Sales Ratio,6.06,7.69,5.88,7.95,3.19,9.29,-,-
EV/FCF Ratio,28.61,31.82,39.08,110.30,63.46,-,-,-
Debt / Equity Ratio,0.05,0.04,0.06,0.06,-,-20.52,-10.54,256.77
Debt / EBITDA Ratio,-,-,-,-,-,-,-,32.15
Debt / FCF Ratio,0.21,0.19,0.40,0.83,-,-,-,-
Asset Turnover,0.67,0.62,0.63,0.63,0.57,0.51,0.50,-
Quick Ratio,1.15,1.22,1.06,0.91,0.57,0.55,0.64,0.64
Current Ratio,1.23,1.30,1.14,0.98,0.66,0.66,0.72,0.73
Return on Equity (ROE),-6.04%,-3.95%,-8.60%,-23.25%,-82.23%,-,-,-
Return on Assets (ROA),-2.69%,-2.14%,-3.11%,-7.59%,-12.86%,-3.20%,-2.21%,-
Return on Capital (ROIC),-4.31%,-3.59%,-5.35%,-13.80%,-23.68%,-5.19%,-3.15%,-
Return on Capital Employed (ROCE),-6.60%,-5.10%,-7.80%,-18.50%,-36.20%,-7.40%,-5.10%,-0.30%
Earnings Yield,-0.82%,-0.44%,-1.19%,-2.46%,-10.94%,-2.84%,-,-
FCF Yield,3.24%,2.92%,2.41%,0.90%,1.50%,-0.74%,-,-
Buyback Yield / Dilution,-9.74%,-10.10%,-11.19%,-4.94%,-119.20%,-15.93%,-3.30%,-
