Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019"
Cash & Equivalents,273.44,313.11,208.37,130.38,50.78,37.64,42.05,21.5
Cash & Short-Term Investments,273.44,313.11,208.37,130.38,50.78,37.64,42.05,21.5
Cash Growth,7.72%,50.27%,59.82%,156.73%,34.93%,-10.50%,95.58%,-
Accounts Receivable,78.53,109.13,108.4,103.63,73.71,55.41,31.58,36.8
Other Receivables,4.99,5.87,2.74,0.88,3.2,0.86,1.14,1.17
Receivables,83.52,115,111.15,104.51,76.91,56.27,32.73,37.97
Prepaid Expenses,11.31,11.97,9.03,7.34,5.98,9.59,3.68,3.22
Restricted Cash,0.2,0.2,0.2,0.81,3.53,3.83,1.11,1.12
Other Current Assets,15.81,15.61,13.91,11.81,10.19,6.55,4.84,3.69
Total Current Assets,384.28,455.88,342.65,254.84,147.39,113.88,84.4,67.5
"Property, Plant & Equipment",43.23,23.69,26.86,23.25,4.98,5.67,4.57,2.75
Goodwill,326.1,326.26,285.97,278.89,269.1,262.27,227.99,227.93
Other Intangible Assets,37.83,58.31,53.76,53.56,55.73,57.35,50.41,59.85
Long-Term Accounts Receivable,0.07,0.06,0.06,0.1,0.16,0.09,0.51,1.49
Long-Term Deferred Charges,20.04,20.76,18.5,16.53,14.76,10.41,8.24,5.98
Other Long-Term Assets,6.71,9.21,5.2,1.74,2.29,10.16,0.89,0.74
Total Assets,823.26,894.16,733,628.91,494.41,459.83,377.01,366.24
Accounts Payable,19.82,16.5,13.35,6.02,4.22,2.2,4.13,8.1
Accrued Expenses,38.57,64.3,54.11,51.39,48.78,41.37,21.69,19.06
Current Portion of Leases,7.63,6.48,6,4.7,-,-,-,-
Current Unearned Revenue,237.58,256.99,218.92,191.04,142.77,107.89,79.72,61.71
Other Current Liabilities,7.86,5.59,8.27,6.2,27.75,20.42,11.27,3.52
Total Current Liabilities,311.47,349.86,300.65,259.35,223.52,171.88,116.81,92.39
Long-Term Debt,-,-,-,-,-,275.59,279.46,268.32
Long-Term Leases,16.12,16.11,19.61,16.2,-,-,-,-
Long-Term Unearned Revenue,1.64,2,3.56,1.36,2.71,1.91,0.84,0.88
Long-Term Deferred Tax Liabilities,1.56,1.72,1.34,1.42,2.1,5.71,2.62,2.91
Other Long-Term Liabilities,6.12,4.71,4.61,9.38,10.2,18.17,3.81,0.69
Total Liabilities,336.9,374.4,329.76,287.7,238.53,473.26,403.53,365.19
Common Stock,0.08,0.08,0.08,0.07,0.06,0.03,0.02,0.02
Additional Paid-In Capital,"1,056","1,026",891.68,797.64,643.23,128.94,69.18,64.59
Retained Earnings,-,-505.4,-487.18,-455.16,-385.74,-286.06,-238.2,-189.92
Comprehensive Income & Other,-569.77,-0.63,-1.34,-1.34,-1.67,-0.49,-1.67,-1.34
Total Common Equity,486.36,519.77,403.24,341.21,255.88,-157.58,-170.66,-126.65
Shareholders' Equity,486.36,519.77,403.24,341.21,255.88,-13.43,-26.52,1.05
Total Liabilities & Equity,823.26,894.16,733,628.91,494.41,459.83,377.01,366.24
Total Debt,23.74,22.59,25.61,20.9,-,275.59,279.46,268.32
Net Cash (Debt),249.69,290.52,182.77,109.48,50.78,-237.96,-237.41,-246.82
Net Cash Growth,8.73%,58.96%,66.94%,115.59%,-,-,-,-
Net Cash Per Share,3.11,3.69,2.56,1.70,0.83,-8.51,-9.85,-10.58
Filing Date Shares Outstanding,81.93,82.12,74.7,69.24,62.96,60.68,24.33,23.34
Total Common Shares Outstanding,81.69,81.88,74.62,68.57,62.74,29.44,24.33,23.34
Working Capital,72.81,106.02,42.01,-4.51,-76.13,-58.01,-32.41,-24.9
Book Value Per Share,5.95,6.35,5.40,4.98,4.08,-5.35,-7.01,-5.43
Tangible Book Value,122.43,135.2,63.51,8.76,-68.95,-477.2,-449.06,-414.43
Tangible Book Value Per Share,1.50,1.65,0.85,0.13,-1.10,-16.21,-18.46,-17.76
Machinery,-,7.38,6.09,4.72,3.16,3.94,2.45,2.1
Construction In Progress,-,-,0.16,0.39,0.28,-,1.73,-
Leasehold Improvements,-,6.54,5.6,5.9,5.28,5.42,2.4,1.94
