Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,207","3,145","5,093","4,612","9,177","11,928","7,691","6,050","11,481","5,242","4,706"
Market Cap Growth,-10.98%,-38.25%,10.43%,-49.74%,-23.07%,55.09%,27.13%,-47.31%,119.01%,11.39%,20.37%
Enterprise Value,"2,370","2,142","3,977","3,399","7,699","10,672","6,682","4,975","10,485","4,511","4,076"
Last Close Price,76.50,72.72,108.54,94.67,172.14,223.79,144.92,113.29,214.13,98.71,89.16
PE Ratio,125.55,-,23.27,41.96,32.96,74.75,42.67,14.97,33.03,20.10,19.43
Forward PE,56.19,43.88,23.23,20.19,30.80,48.89,34.62,16.92,28.26,18.98,18.14
PS Ratio,3.37,3.22,3.96,3.23,6.28,9.93,5.85,4.14,8.15,5.21,5.22
PB Ratio,1.53,1.55,2.11,1.93,3.34,4.60,3.20,2.74,5.68,3.37,3.73
P/TBV Ratio,1.63,1.65,2.17,1.99,3.46,4.79,3.43,3.00,5.99,3.47,3.77
P/FCF Ratio,88.91,21.06,27.46,44.99,34.42,60.35,40.48,25.97,41.17,30.72,24.34
P/OCF Ratio,26.78,12.69,17.21,21.69,23.55,41.80,23.77,15.38,28.32,17.61,17.86
PEG Ratio,16.72,-,5.02,9.39,1.17,2.28,-,2.17,2.36,1.00,0.99
EV/Sales Ratio,2.46,2.19,3.09,2.38,5.27,8.89,5.08,3.41,7.44,4.48,4.52
EV/EBITDA Ratio,25.56,28.22,13.21,10.56,17.14,32.73,17.26,8.33,16.64,10.66,10.67
EV/EBIT Ratio,76.26,147.97,17.18,14.69,21.82,46.10,22.97,9.62,18.54,12.14,12.01
EV/FCF Ratio,65.37,14.34,21.44,33.16,28.88,54.00,35.17,21.36,37.60,26.44,21.08
Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02
Debt / EBITDA Ratio,0.19,0.22,0.06,0.12,0.13,0.19,0.17,0.08,0.08,0.10,0.05
Debt / FCF Ratio,0.48,0.12,0.10,0.37,0.22,0.32,0.36,0.20,0.18,0.24,0.10
Asset Turnover,0.41,0.39,0.47,0.48,0.48,0.42,0.50,0.59,0.68,0.62,0.68
Inventory Turnover,1.83,1.73,1.55,1.80,1.85,1.78,1.81,1.86,2.24,2.05,2.19
Quick Ratio,4.87,5.40,6.54,5.09,5.70,7.76,7.46,5.33,6.80,6.23,5.92
Current Ratio,6.72,6.98,8.91,7.23,7.49,10.01,9.88,7.35,8.82,8.22,7.78
Return on Equity (ROE),1.21%,-8.18%,9.12%,4.32%,10.40%,6.42%,7.82%,19.12%,19.42%,18.50%,20.98%
Return on Assets (ROA),0.82%,0.36%,5.32%,4.89%,7.22%,5.11%,6.85%,13.08%,17.01%,14.32%,15.93%
Return on Capital (ROIC),0.91%,0.40%,5.96%,5.53%,8.07%,5.64%,7.70%,14.96%,19.26%,16.14%,17.96%
Return on Capital Employed (ROCE),1.40%,0.70%,9.30%,9.40%,12.30%,8.50%,11.50%,22.20%,26.10%,22.80%,25.90%
Earnings Yield,0.80%,-5.77%,4.30%,2.38%,3.03%,1.34%,2.34%,6.68%,3.03%,4.97%,5.15%
FCF Yield,1.12%,4.75%,3.64%,2.22%,2.90%,1.66%,2.47%,3.85%,2.43%,3.26%,4.11%
Buyback Yield / Dilution,5.85%,6.31%,7.08%,5.57%,-0.27%,0.10%,1.62%,-0.05%,-1.68%,-0.69%,-1.14%
