Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,129.08,126.06,316.16,55.26,52.43,98.18,93.34,11.23
Short-Term Investments,432.09,313.9,262.71,132.91,98.29,106.45,-,-
Cash & Short-Term Investments,561.16,439.96,578.87,188.16,150.72,204.63,93.34,11.23
Cash Growth,5.60%,-24.00%,207.65%,24.84%,-26.35%,119.24%,730.83%,-
Prepaid Expenses,40.36,36.5,14.66,7.92,11.24,5.55,1.97,0.06
Restricted Cash,-,-,-,-,0.03,0.03,0.03,0.02
Total Current Assets,601.52,476.45,593.53,196.08,161.98,210.2,95.33,11.32
"Property, Plant & Equipment",1.33,1.6,2.34,0.46,0.15,0.17,0.16,0.03
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,0.02
Other Long-Term Assets,0.63,0.64,0.4,0.29,0.29,0.71,0.07,-
Total Assets,603.49,478.69,596.27,196.82,162.42,211.07,95.55,11.37
Accounts Payable,14.66,15.38,8.59,12.5,6.84,2.07,0.99,1.51
Accrued Expenses,24.17,20.02,20.53,11.94,10.19,6.05,4.62,1.17
Current Portion of Long-Term Debt,-,-,-,-,2.5,-,-,-
Current Portion of Leases,0.78,0.73,0.5,0.17,-,-,-,-
Total Current Liabilities,39.61,36.13,29.61,24.61,19.54,8.11,5.61,2.68
Long-Term Debt,36.16,35.73,24.8,20.19,16.9,-,-,-
Long-Term Leases,0.68,1.09,1.82,0.19,-,-,-,-
Other Long-Term Liabilities,5.31,4.95,3.74,-,0.03,-,-,-
Total Liabilities,81.75,77.9,59.96,44.99,36.47,8.11,5.61,2.68
Common Stock,0.15,0.12,0.09,0.05,0.02,0.02,0.01,0
Additional Paid-In Capital,"1,529","1,225",993.46,467.37,339.22,326.05,163.53,0.12
Retained Earnings,"-1,007",-824.51,-457.43,-315.24,-213.22,-123.1,-73.6,-16.18
Comprehensive Income & Other,0.12,0.56,0.19,-0.35,-0.06,-0.01,-,-
Total Common Equity,521.73,400.79,536.31,151.83,125.96,202.96,89.94,-16.06
Shareholders' Equity,521.73,400.79,536.31,151.83,125.96,202.96,89.94,8.69
Total Liabilities & Equity,603.49,478.69,596.27,196.82,162.42,211.07,95.55,11.37
Total Debt,37.62,37.55,27.11,20.55,19.4,-,-,-
Net Cash (Debt),523.55,402.41,551.76,167.61,131.32,204.63,93.34,11.23
Net Cash Growth,3.87%,-27.07%,229.19%,27.64%,-35.82%,119.24%,730.83%,-
Net Cash Per Share,3.97,3.84,7.75,4.82,6.53,12.72,39.82,25.32
Filing Date Shares Outstanding,148.31,145.98,93.5,52.23,20.35,19.95,13.79,0.61
Total Common Shares Outstanding,148.3,119.85,93.27,50.56,20.32,19.93,13.79,0.61
Working Capital,561.91,440.32,563.92,171.47,142.45,202.09,89.72,8.63
Book Value Per Share,3.52,3.34,5.75,3.00,6.20,10.18,6.52,-26.27
Tangible Book Value,521.73,400.79,536.31,151.83,125.96,202.96,89.94,-16.06
Tangible Book Value Per Share,3.52,3.34,5.75,3.00,6.20,10.18,6.52,-26.27
Machinery,-,-,-,-,-,-,0.18,0.01
