Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"6,592,927","8,950,699","11,240,292","5,278,101","565,230","252,651","177,671","120,410","84,137","29,173","20,329"
Interest Income on Investments,-,-,-,-,-,-,-,-,-,"5,809","4,323"
Total Interest Income,"6,592,927","8,950,699","11,240,292","5,278,101","565,230","252,651","177,671","120,410","84,137","34,982","24,652"
Interest Paid on Deposits,"2,710,927","3,359,593","7,155,627","4,155,211","352,366","136,851","130,254","69,087","38,181","13,069","8,511"
Interest Paid on Borrowings,-,-,-,-,-,-,-,-,-,"3,871","2,510"
Total Interest Expense,"2,710,927","3,359,593","7,155,627","4,155,211","352,366","136,851","130,254","69,087","38,181","16,939","11,020"
Net Interest Income,"3,882,000","5,591,106","4,084,665","1,122,890","212,864","115,800","47,417","51,324","45,956","18,043","13,631"
Net Interest Income Growth (YoY),-41.00%,36.88%,263.76%,427.51%,83.82%,144.21%,-7.61%,11.68%,154.71%,32.36%,33.62%
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,"7,933",754.38,-,170.87,10.14
Other Non-Interest Income,"3,141,794","2,842,465","4,198,905","4,273,380","392,386","211,257","170,477","85,098","71,374","9,387","7,145"
Total Non-Interest Income,"3,141,794","2,842,465","4,198,905","4,273,380","392,386","211,257","178,410","85,853","71,374","9,558","7,155"
Non-Interest Income Growth (YoY),-26.76%,-32.30%,-1.74%,989.08%,85.74%,18.41%,107.81%,20.29%,646.77%,33.58%,37.84%
Revenues Before Loan Losses,"7,023,794","8,433,571","8,283,569","5,396,270","605,250","327,057","225,827","137,176","117,330","27,601","20,787"
Provision for Loan Losses,"1,583,665","936,734","450,820","386,067","42,426","47,224","25,079","25,074","11,220","3,150","2,344"
Revenue,"5,440,129","7,496,837","7,832,749","5,010,203","562,824","279,833","200,748","112,102","106,110","24,451","18,443"
Revenue Growth (YoY),-46.88%,-4.29%,56.34%,790.19%,101.13%,39.40%,79.08%,5.65%,333.98%,32.57%,41.12%
Salaries and Employee Benefits,"1,150,534","1,119,867","830,935","713,356","90,470","48,037","33,285","26,192","26,288","9,669","7,086"
Occupancy Expenses,"241,168","204,183","199,255","205,243","28,240","12,504","6,895","2,541","2,214",302.63,222.04
Federal Deposit Insurance,-,-,-,-,-,-,-,-,-,314.52,497.26
Amortization of Goodwill & Intangibles,-,-,-,-,-,-,-,-,-,9.67,9.67
"Selling, General & Administrative","707,736","588,127","489,458","486,884","65,437","36,015","26,054","19,552","16,769","4,025","2,902"
Other Non-Interest Expense,"2,796,725","4,187,747","5,135,773","3,123,330","281,394","111,876","83,878","58,967","38,383",423.5,316.67
Total Non-Interest Expense,"4,115,561","5,319,062","6,648,494","4,532,062","465,689","208,621","150,112","107,252","83,160","14,664","10,934"
EBT Excluding Unusual Items,"1,324,568","2,177,775","1,184,255","478,140","97,136","71,212","50,636","4,850","22,950","9,786","7,509"
Asset Writedown,"72,533","222,930","99,551","4,399",32.2,220.44,298.8,340.95,-,-,-
Legal Settlements,-,-,-,-,-,-,-,-,-,-12.5,-4.31
Other Unusual Items,-,-,-,-,-,-566.5,-457.76,-,-,-,-
Pretax Income,"1,397,102","2,400,705","1,283,806","482,539","97,168","70,866","50,477","5,191","22,950","9,774","7,504"
Income Tax Expense,"292,413","636,881","486,656","124,930","33,025","31,596","20,558","10,634","11,259","3,353","2,801"
Earnings From Continuing Operations,"1,104,689","1,763,824","797,150","357,609","64,143","39,270","29,920","-5,443","11,691","6,421","4,703"
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-448.32,-494.97,-,-
Minority Interest in Earnings,-37.84,146.83,5.95,-0.07,-,-512.15,-152.91,559.47,-744.8,-403.17,-364.56
Net Income,"1,104,651","1,763,971","797,156","357,609","64,143","38,758","29,767","-5,332","10,451","6,018","4,338"
Net Income to Common,"1,104,651","1,763,971","797,156","357,609","64,143","38,758","29,767","-5,332","10,451","6,018","4,338"
Net Income Growth,-23.76%,121.28%,122.91%,457.52%,65.50%,30.20%,-,-,73.66%,38.71%,29.98%
Basic Shares Outstanding,"1,547","1,483","1,475","1,475","1,475","1,443","1,427","1,427","1,333","1,300","1,300"
Diluted Shares Outstanding,"1,547","1,483","1,475","1,475","1,475","1,443","1,427","1,427","1,333","1,300","1,300"
Shares Change (YoY),4.89%,0.57%,-,-,2.21%,1.12%,-,7.07%,2.49%,-,-
EPS (Basic),714.17,1189.39,540.56,242.50,43.50,26.86,20.86,-3.74,7.84,4.63,3.34
EPS (Diluted),714.17,1189.39,540.56,242.50,43.50,26.86,20.86,-3.74,7.84,4.63,3.34
EPS Growth,-27.31%,120.03%,122.91%,457.52%,61.93%,28.76%,-,-,69.40%,38.71%,29.98%
Dividend Per Share,-,-,-,26.446,7.460,1.020,1.190,1.402,0.841,0.185,0.115
Dividend Growth,-,-,-,254.51%,631.37%,-14.29%,-15.11%,66.66%,355.63%,59.97%,50.07%
Effective Tax Rate,20.93%,26.53%,37.91%,25.89%,33.99%,44.59%,40.73%,204.85%,49.06%,34.30%,37.33%
