Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"9,060","10,656","3,059","2,754","2,805","2,134","2,898","3,915","9,449","3,509","3,696"
Market Cap Growth,0.07%,248.36%,11.06%,-1.82%,31.48%,-26.37%,-25.98%,-58.57%,169.26%,-5.04%,31.40%
Last Close Price,52.81,61.18,15.73,8.18,7.63,7.01,12.93,21.69,51.46,20.98,21.08
PE Ratio,9.77,6.23,3.10,1.36,4.49,4.63,5.83,-,16.93,9.23,11.03
PS Ratio,1.98,1.47,0.32,0.10,0.51,0.64,0.86,1.32,1.67,2.27,2.59
PB Ratio,1.56,1.67,0.52,0.26,0.49,0.66,1.11,1.55,2.62,2.55,3.07
P/FCF Ratio,-,-,0.41,0.15,-,3.24,1.10,8.09,-,2.30,3.22
P/OCF Ratio,-,-,0.40,0.15,-,2.71,1.03,6.17,-,2.22,3.06
Debt / Equity Ratio,0.47,0.76,0.62,0.66,0.71,0.73,1.05,1.62,1.20,1.46,1.13
Debt / FCF Ratio,-,-,0.49,0.39,-,3.59,1.04,8.43,-,1.32,1.18
Return on Equity (ROE),20.59%,31.07%,23.91%,28.76%,14.90%,18.36%,23.80%,-6.69%,26.19%,34.33%,35.34%
Return on Assets (ROA),4.01%,5.93%,4.59%,5.18%,2.63%,3.10%,3.30%,-0.80%,3.19%,3.18%,3.50%
Earnings Yield,10.23%,16.06%,32.23%,73.31%,22.26%,21.60%,17.16%,-3.62%,5.91%,10.84%,9.07%
FCF Yield,-21.85%,-28.82%,244.33%,654.33%,-104.99%,30.89%,90.81%,12.36%,-27.41%,43.43%,31.11%
Dividend Yield,1.59%,-,-,1.82%,0.95%,0.17%,0.15%,0.17%,0.09%,0.06%,0.04%
Payout Ratio,139.81%,37.85%,53.17%,43.78%,5.85%,7.37%,12.17%,-,5.97%,2.49%,2.31%
Buyback Yield / Dilution,-4.89%,-0.57%,-,-,-2.21%,-1.12%,-,-7.07%,-2.49%,-,-
Total Shareholder Return,-3.30%,-0.57%,-,1.82%,-1.26%,-0.95%,0.15%,-6.89%,-2.40%,0.06%,0.04%
