Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"2,702,750","4,079,809","3,040,647","3,007,408","441,430","307,787","160,534","150,903","42,822","17,275","18,282"
Investment Securities,"5,515,405","6,416,623","7,632,873","1,996,176","589,162","127,138","67,309","26,316","19,851","7,118","5,062"
Trading Asset Securities,"1,656,026","1,688,138","1,430,979","241,886","115,366","47,378","15,582","11,945","22,235","8,697","1,343"
Total Investments,"7,171,431","8,104,761","9,063,852","2,238,063","704,528","174,517","82,891","38,261","42,086","15,815","6,405"
Gross Loans,"19,306,907","15,511,017","7,177,258","3,483,534","1,489,807","818,483","504,332","454,419","296,653","141,107","101,975"
Allowance for Loan Losses,"-1,269,025","-724,916","-314,862","-175,303","-83,900","-48,431","-29,060","-24,085","-9,235","-4,721","-3,578"
Other Adjustments to Gross Loans,-,-,-,-,-,-,-,-,"-3,398",-21.86,-0.58
Net Loans,"18,037,882","14,786,101","6,862,395","3,308,232","1,405,907","770,052","475,272","430,333","284,019","136,365","98,396"
"Property, Plant & Equipment","1,129,992","1,080,828","839,918","360,675","121,154","66,009","44,877","29,786","18,209","3,821","2,732"
Goodwill,-,-,-,-,-,-,-,-,-,5.64,15.32
Other Intangible Assets,"340,973","330,578","292,255","119,932","41,357","21,839","11,835","7,057","1,725",-,-
Investments in Real Estate,-,"12,582","12,535","5,114","1,670",876.47,593.29,447.49,296.42,-,-
Accrued Interest Receivable,"682,198","454,306","365,387","150,248","55,344","33,344","18,996","4,566",335.34,"1,228",889.94
Other Receivables,"2,526,037","139,972","43,647","34,164","31,386","15,421","8,727","8,389","3,005","10,055","7,049"
Restricted Cash,"3,371,750","3,961,270","1,940,130","765,777","374,742","154,862","102,844","183,354","72,784","51,390","23,107"
Other Current Assets,"18,769","148,666","86,505","34,317","2,665","4,612","2,314","1,852","11,333","2,819","2,216"
Long-Term Deferred Tax Assets,"473,444","442,983","448,623","22,582","8,350","15,506","3,810","1,497",762.57,-,-
Other Real Estate Owned & Foreclosed,-,475.9,475.9,312.76,15.22,7.81,5.18,50.54,54.79,2.26,-
Other Long-Term Assets,"1,240,826","1,762,148","1,156,846","494,776","82,673","32,048","22,655","19,876","12,209",899.56,644.88
Total Assets,"37,696,051","35,304,482","24,153,217","10,541,601","3,271,222","1,596,884","935,353","876,371","489,641","242,251","161,748"
Accounts Payable,-,-,-,"2,416",739.63,897.32,601.97,-,-,-,-
Accrued Expenses,"34,434","444,912","372,595","142,663","34,770","18,596","12,004","8,983","5,076",41.99,38.71
Interest Bearing Deposits,"21,403,341","19,975,428","13,153,042","6,530,421","1,998,234","1,011,875","437,118","486,435","245,338","123,803","80,001"
Non-Interest Bearing Deposits,-,-,-,-,-,-,"91,984","61,309","48,899","26,972","19,121"
Total Deposits,"21,403,341","19,975,428","13,153,042","6,530,421","1,998,234","1,011,875","529,102","547,744","294,237","150,776","99,122"
Short-Term Borrowings,"17,231","457,415","89,889","5,276","75,974","14,753","26,528","27,411","9,630","12,496","3,916"
Current Portion of Long-Term Debt,-,-,-,-,"3,906","3,162","16,720","5,247",881.1,"4,012","1,342"
Current Portion of Leases,-,"26,571","13,503","5,720","2,588","2,528","1,060",-,-,-,-
Current Income Taxes Payable,"312,380","174,578","644,020","27,404","18,815","22,985","14,042","5,319","3,579",-,-
Accrued Interest Payable,"164,894","255,700","341,522","139,861","19,640","9,011","6,931","6,202","2,131","1,364","1,475"
Other Current Liabilities,"775,388","563,185","599,732","212,174","63,478","35,223","29,398","19,811","16,301",-,-
Long-Term Debt,"3,180,447","4,491,187","2,791,052","1,221,039","331,966","174,642","115,191","120,984","70,216","15,223","12,303"
Long-Term Leases,"58,365","31,748","56,149","18,182","5,947","4,058","4,070",-,-,-,-
Long-Term Unearned Revenue,-,"8,485","8,565","8,665","4,194","2,036","1,655","1,649","1,061",-,-
Pension & Post-Retirement Benefits,-,"1,647","1,139","1,107",232.49,136.74,100.94,57.22,-,-,-
Long-Term Deferred Tax Liabilities,"8,014","148,912","41,032","20,546","8,526",206.69,"1,801","2,928","2,089",-,-
Other Long-Term Liabilities,"4,814,080","2,141,362","1,271,725","308,581","112,833","25,292","19,906","34,893","16,962","36,523","27,958"
Total Liabilities,"30,768,573","28,721,129","19,383,967","8,644,055","2,681,843","1,325,401","779,112","781,229","422,163","220,436","146,156"
Common Stock,"1,606","1,589","1,475","1,475","1,475","1,475","1,427","1,427","1,427","1,300","1,300"
Additional Paid-In Capital,"797,658","697,388","17,281","17,281","17,281","17,281","10,951","10,951","10,951",219.6,219.6
Retained Earnings,"4,210,706","567,659","-441,099","1,161,589","353,439","150,441","79,213","38,868","29,579","18,555","12,687"
Comprehensive Income & Other,"1,917,246","5,316,546","5,191,383","717,201","217,184","102,287","60,709","41,246","22,568",278.13,278.13
Total Common Equity,"6,927,217","6,583,181","4,769,040","1,897,547","589,379","271,483","152,301","92,492","64,525","20,353","14,485"
Minority Interest,260.38,172.06,209.78,0.06,0.01,0.01,"3,940","2,650","2,953","1,462","1,107"
Shareholders' Equity,"6,927,478","6,583,353","4,769,250","1,897,547","589,379","271,483","156,241","95,142","67,478","21,815","15,592"
Total Liabilities & Equity,"37,696,051","35,304,482","24,153,217","10,541,601","3,271,222","1,596,884","935,353","876,371","489,641","242,251","161,748"
Total Debt,"3,256,043","5,006,921","2,950,593","1,250,216","420,381","199,143","163,569","153,642","80,727","31,731","17,561"
Net Cash (Debt),"1,102,733","761,027","4,287,585","2,717,204","532,246","248,090","53,492","12,386","-1,384","-5,759","2,079"
Net Cash Growth,-29.65%,-82.25%,57.79%,410.52%,114.54%,363.79%,331.86%,-,-,-,-
Net Cash Per Share,712.93,513.14,2907.44,1842.56,360.92,171.96,37.49,8.68,-1.04,-4.43,1.60
Filing Date Shares Outstanding,"1,606","1,589","1,475","1,475","1,475","1,475","1,427","1,427","1,427","1,300","1,300"
Total Common Shares Outstanding,"1,606","1,589","1,475","1,475","1,475","1,475","1,427","1,427","1,427","1,300","1,300"
Book Value Per Share,4312.65,4144.24,3233.92,1286.74,399.66,184.09,106.75,64.83,45.22,15.65,11.14
Tangible Book Value,"6,586,245","6,252,603","4,476,785","1,777,614","548,021","249,644","140,466","85,435","62,800","20,347","14,470"
Tangible Book Value Per Share,4100.38,3936.13,3035.74,1205.41,371.62,169.29,98.45,59.88,44.02,15.65,11.13
