Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Total Investments,26.01,37.79,115.91,-,-,-,-
Cash & Equivalents,618.07,432.86,202.9,409.55,466.6,207.31,86.48
Other Receivables,219.84,153.9,119.75,92.89,58.51,40.14,35.63
"Property, Plant & Equipment",74.36,74.96,61.86,42.99,38.21,37.03,27.44
Goodwill,32.06,34.83,34.83,34.81,29.3,29.3,29.3
Other Intangible Assets,4.55,4.55,5.25,5.48,5.81,5.34,5.67
Other Current Assets,121.41,37.08,44.97,42.11,27.75,17.23,5.24
Other Long-Term Assets,6.33,6.09,6.41,6.04,4.71,2.15,3.68
Total Assets,"1,103",782.06,591.88,633.86,630.9,338.5,193.44
Accounts Payable,33.1,20,21.79,28.09,13.73,12.32,15.35
Accrued Expenses,577.08,329.72,239.51,197.67,149.81,137.78,114.91
Current Portion of Leases,-,1.21,1.72,4.2,3.71,3.35,-
Long-Term Debt,322.74,321.43,161.81,160.9,150.62,144.17,137.96
Long-Term Leases,6.92,7.84,8.97,3.7,6.98,10.27,-
Other Current Liabilities,0.91,0.91,-,-,-,-,-
Other Long-Term Liabilities,-,-,-,-,-,-,3.94
Total Liabilities,940.74,681.11,433.81,394.56,324.84,307.89,272.15
Common Stock,0.2,0.19,0.19,0.19,0.19,0.16,-
Additional Paid-In Capital,"1,160","1,108","1,037",970.18,888.55,410.02,-
Retained Earnings,-998.01,"-1,008",-880.26,-732.24,-582.69,-379.57,-78.71
Total Common Equity,161.87,99.85,156.95,238.13,306.04,30.61,-78.71
Minority Interest,-,1.1,1.13,1.18,0.02,-,-
Shareholders' Equity,161.87,100.96,158.07,239.3,306.06,30.61,-78.71
Total Liabilities & Equity,"1,103",782.06,591.88,633.86,630.9,338.5,193.44
Filing Date Shares Outstanding,200.09,191.83,188.98,187.28,187.07,152.13,135.86
Total Common Shares Outstanding,199.99,191.78,188.95,187.28,187.19,152.13,135.86
Total Debt,329.66,330.48,172.5,168.8,161.3,157.79,137.96
Net Cash (Debt),288.41,102.38,30.4,240.75,305.3,49.52,-51.47
Net Cash Growth,140.12%,236.79%,-87.37%,-21.14%,516.50%,-,-
Net Cash Per Share,1.47,0.54,0.16,1.33,1.78,0.33,-0.38
Book Value Per Share,0.81,0.52,0.83,1.27,1.63,0.20,-139.02
Tangible Book Value,125.26,60.48,116.87,197.84,270.92,-4.03,-113.68
Tangible Book Value Per Share,0.63,0.32,0.62,1.06,1.45,-0.03,-200.78
Machinery,18,16.91,15.84,15.44,13.58,12.67,12.25
Construction In Progress,0.75,14.05,4.53,1.03,0.75,1.89,0.59
Leasehold Improvements,6.22,6.23,6.35,6.56,6.2,6.08,6.31
