Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"3,240","2,157","1,628","2,202","2,633",-,-
Market Cap Growth,36.32%,32.46%,-26.07%,-16.35%,-,-,-
Enterprise Value,"2,961","2,038","1,409","1,800","2,289",-,-
PS Ratio,0.86,0.80,0.89,1.54,2.25,-,-
PB Ratio,19.82,21.36,10.30,9.20,8.60,-,-
P/OCF Ratio,17.89,62.02,-,-,-,-,-
EV/Sales Ratio,0.81,0.75,0.77,1.25,1.96,-,-
Debt / Equity Ratio,2.04,3.27,1.09,0.71,0.53,5.16,-1.75
Debt / EBITDA Ratio,8.60,-,-,-,-,11.38,-
Quick Ratio,1.41,1.78,1.67,2.19,3.14,1.61,0.94
Current Ratio,1.61,1.88,1.84,2.37,3.31,1.73,0.98
Asset Turnover,4.05,3.94,2.98,2.27,2.41,3.61,-
Return on Equity (ROE),-15.16%,-98.89%,-74.58%,-54.88%,-116.01%,-,-
Return on Assets (ROA),0.46%,-8.96%,-13.04%,-12.71%,-22.96%,-1.24%,-
Return on Capital (ROIC),1.00%,-16.15%,-21.63%,-18.37%,-33.94%,-2.66%,-
Earnings Yield,-0.64%,-5.94%,-9.09%,-6.79%,-7.42%,-,-
FCF Yield,4.63%,-0.31%,-5.85%,-3.14%,-3.74%,-,-
Buyback Yield / Dilution,-3.06%,-2.46%,-2.76%,-5.38%,-13.03%,-11.97%,-
