Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"3,957","3,530","4,435","7,098","2,997","10,915","5,935","4,586",733.01,964.21,"1,589"
Short-Term Investments,114.49,941.61,941.74,818.27,"1,370","3,416","4,713","6,186",825.95,959.57,214.1
Cash & Short-Term Investments,"4,071","4,471","5,376","7,916","4,367","14,331","10,648","10,772","1,559","1,924","1,803"
Cash Growth,-2.55%,-16.83%,-32.09%,81.27%,-69.53%,34.59%,-1.15%,590.98%,-18.96%,6.71%,-
Accounts Receivable,"2,517","3,637","4,037","3,997","4,494","4,950","5,610","4,482","2,245","1,843","1,485"
Other Receivables,-,451.17,534.72,369.73,324.33,304.35,-,-,-,-,1.13
Receivables,"2,517","4,129","6,009","4,367","4,819","5,254","5,715","4,585","2,245","2,053","1,682"
Prepaid Expenses,-,-,-,-,61.59,58.15,-,-,-,-,-
Restricted Cash,1.85,-,6.12,13.62,77.65,25.23,974.93,"2,174",-,-,-
Other Current Assets,"2,768",926.86,"1,244","1,489","2,199","2,621","2,935","2,322","1,896","1,178",989
Total Current Assets,"9,358","9,527","12,635","13,786","11,524","22,290","20,273","19,853","5,701","5,154","4,474"
"Property, Plant & Equipment","1,354","1,488","1,548","1,779","2,252","2,395","2,477","1,618","1,249",539.21,486.74
Long-Term Investments,"1,962","2,108","2,261","2,454","3,035","3,203","2,982","2,572",567.89,183.76,19.87
Goodwill,"3,821","3,821","3,821","3,826","3,888","3,888","3,888","3,888","3,276","3,276","3,276"
Other Intangible Assets,"6,523","7,220","7,276","7,277","7,803","7,062","7,101","8,319","4,986","2,830","1,557"
Long-Term Accounts Receivable,-,-,-,-,-,-,-,52.8,-,-,-
Long-Term Deferred Tax Assets,16.65,23.54,-,-,31.35,51.35,34.92,23.87,11.38,3.85,8.87
Other Long-Term Assets,"22,753","21,573","17,054","16,927","13,938","9,295","8,036","8,432","4,410","1,645",602.84
Total Assets,"45,788","45,761","44,594","46,048","42,472","48,185","44,793","44,760","20,201","13,632","10,425"
Accounts Payable,"6,746","6,482","5,671","5,993","8,896","7,562","8,212","10,162","7,041","4,185","2,477"
Accrued Expenses,"2,589","4,016","3,899","3,685","3,627","3,265","3,582","3,118","2,159","1,581","1,128"
Short-Term Debt,"2,232","3,837","3,622","4,048","4,168","3,016","2,668","3,096",349.37,"4,782","1,327"
Current Portion of Long-Term Debt,"2,098",410.45,"2,804","8,305",-,"5,661",736.81,83.72,10,-,-
Current Portion of Leases,83.36,96.68,119.47,134.38,214.39,219.07,132.1,-,-,-,-
Current Income Taxes Payable,-,-,-,-,-,-,-,-,-,127.17,200.03
Current Unearned Revenue,"4,108","4,425","4,394","4,253","3,696","3,610","3,251","2,290","1,634",20.78,13.9
Other Current Liabilities,"3,430","2,210","1,832","1,710","1,874","1,522","1,591","1,062",431.82,"1,194",716.86
Total Current Liabilities,"21,287","21,477","22,342","28,130","22,476","24,855","20,173","19,812","11,626","11,890","5,863"
Long-Term Debt,"9,979","9,387","8,242","9,568","13,302","12,577","13,827","6,006",284,-,-
Long-Term Leases,349.65,461.97,523.75,525.08,668.8,779.19,413.08,-,-,-,-
Long-Term Unearned Revenue,-,55.15,76.43,97.72,127.59,325.23,410.19,631.37,-,-,-
Long-Term Deferred Tax Liabilities,-,-,0.82,1.83,3.13,4.59,30.14,96.41,2.26,6.94,11.49
Other Long-Term Liabilities,839.42,"1,005","1,225","1,382",220.9,200.83,223.9,57.55,6.43,0.35,2.66
Total Liabilities,"32,455","32,387","32,409","39,705","36,799","38,741","35,078","26,604","11,918","11,897","5,877"
Common Stock,0.43,0.43,0.43,0.39,0.36,0.35,0.33,0.32,0.02,0.02,0.02
Additional Paid-In Capital,"55,941","55,624","54,971","50,886","49,642","47,687","41,298","39,666",600.83,325.73,263.34
Retained Earnings,"-44,010","-43,809","-44,573","-46,499","-47,164","-40,974","-33,834","-23,509","-15,017","-15,990","-8,041"
Comprehensive Income & Other,"1,408","1,551","1,688","1,863","2,709","2,543","2,107","1,880",93.13,359.37,161.14
Total Common Equity,"13,340","13,365","12,087","6,251","5,188","9,257","9,571","18,037","-14,323","-15,305","-7,617"
Minority Interest,-6.31,8.34,98.4,92.81,485.51,187.64,143.92,118.63,3.82,-,-
Shareholders' Equity,"13,333","13,374","12,185","6,343","5,673","9,444","9,715","18,156","8,283","1,734","4,548"
