Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,109","1,929","4,669","4,364","3,599","12,996","15,307","10,761",-,-,-
Market Cap Growth,-10.67%,-58.68%,6.98%,21.25%,-72.31%,-15.10%,42.25%,-,-,-,-
Enterprise Value,"3,603","3,288","6,071","6,422","5,529","14,840","16,176","9,576",-,-,-
Last Close Price,2.24,2.01,4.88,5.30,4.56,17.48,21.11,14.87,-,-,-
PE Ratio,-,18.43,17.19,-,-,-,-,-,-,-,-
Forward PE,19.30,7.38,12.17,18.27,-,-,-,-,-,-,-
PS Ratio,0.57,0.48,1.04,1.04,0.75,2.86,3.68,2.96,-,-,-
PB Ratio,1.15,1.05,2.72,4.75,4.03,8.98,10.97,4.08,-,-,-
P/TBV Ratio,5.00,6.06,33.45,-,-,-,-,12.70,-,-,-
P/FCF Ratio,30.55,6.93,9.99,-,-,-,33.66,32.57,-,-,-
P/OCF Ratio,25.93,6.67,9.88,-,-,-,27.29,25.66,-,-,-
EV/Sales Ratio,0.95,0.82,1.35,1.53,1.15,3.26,3.89,2.64,-,-,-
EV/EBITDA Ratio,3.04,2.49,3.99,4.58,5.40,13.77,22.83,14.94,-,-,-
EV/EBIT Ratio,46.25,12.59,13.28,32.10,-,-,-,-,-,-,-
EV/FCF Ratio,52.31,11.82,12.99,-,-,-,35.58,28.99,-,-,-
Debt / Equity Ratio,1.11,1.06,1.26,3.56,3.24,2.36,1.83,0.51,0.08,2.76,0.29
Debt / EBITDA Ratio,1.69,1.42,1.37,2.23,2.61,2.90,3.25,2.08,0.12,1.96,2.69
Debt / FCF Ratio,30.07,6.99,4.62,-,-,-,5.62,4.04,0.22,2.16,1.71
Asset Turnover,0.60,0.65,0.70,0.66,0.67,0.64,0.65,0.77,1.03,0.93,-
Quick Ratio,0.31,0.40,0.45,0.44,0.41,0.79,0.81,0.77,0.33,0.32,0.56
Current Ratio,0.44,0.44,0.57,0.49,0.51,0.90,1.00,1.00,0.49,0.43,0.76
Return on Equity (ROE),-2.88%,6.19%,21.08%,-1.96%,-80.81%,-73.15%,-73.75%,-68.55%,-74.61%,-97.86%,-
Return on Assets (ROA),0.77%,2.64%,4.47%,1.95%,-5.71%,-7.02%,-12.78%,-15.98%,-13.16%,-13.39%,-
Return on Capital (ROIC),1.26%,4.33%,7.18%,3.26%,-9.29%,-11.02%,-20.88%,-28.63%,-28.84%,-26.00%,-
Return on Capital Employed (ROCE),2.30%,7.90%,14.60%,7.70%,-20.70%,-22.40%,-37.20%,-33.30%,-41.50%,-148.00%,-53.20%
Earnings Yield,-2.60%,5.43%,5.82%,-0.45%,-27.07%,-8.30%,-9.69%,-12.31%,-,-,-
FCF Yield,3.27%,14.42%,10.01%,-0.81%,-27.18%,-6.66%,2.97%,3.07%,-,-,-
Buyback Yield / Dilution,1.06%,0.35%,-13.96%,-7.49%,-7.62%,-1.40%,-31.98%,-19.27%,-846.77%,-,-
