Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,309","3,799","2,408","3,777","5,041","4,500","3,868","4,705","4,277","2,406","1,802"
Market Cap Growth,-22.79%,57.79%,-36.25%,-25.08%,12.01%,16.33%,-17.78%,10.01%,77.73%,33.55%,43.18%
Enterprise Value,"4,385","5,134","3,892","5,241","4,549","4,189","3,567","4,350","4,042","2,034","1,408"
Last Close Price,134.52,155.17,99.74,157.48,237.34,214.49,187.12,229.63,216.00,147.35,112.78
PE Ratio,-,-,-,-,48.88,51.80,38.29,163.41,62.30,38.14,40.05
Forward PE,167.89,-,-,-,47.09,49.80,33.37,31.09,54.59,33.78,32.73
PS Ratio,1.43,1.60,1.07,1.66,3.83,3.54,3.06,3.36,3.31,6.34,5.31
PB Ratio,1.56,1.93,1.13,1.81,3.12,3.00,2.81,3.72,3.57,3.65,3.11
P/TBV Ratio,-,-,-,-,3.64,3.54,3.41,4.20,4.10,3.81,3.28
P/FCF Ratio,45.98,30.48,29.25,-,25.33,34.42,839.86,69.71,53.50,36.14,35.18
P/OCF Ratio,20.75,18.62,14.49,-,18.84,20.20,37.96,29.37,27.70,26.75,28.07
PEG Ratio,15.32,-,-,-,4.28,4.98,3.71,2.83,3.92,2.18,2.52
EV/Sales Ratio,1.89,2.15,1.72,2.30,3.46,3.30,2.82,3.11,3.13,5.36,4.14
EV/EBITDA Ratio,13.20,16.20,14.07,22.63,19.68,19.02,15.98,16.00,19.66,17.23,14.09
EV/EBIT Ratio,33.91,52.71,81.36,-,32.17,31.12,24.39,22.07,29.08,20.54,17.20
EV/FCF Ratio,60.94,41.19,47.29,-,22.86,32.04,774.48,64.46,50.56,30.55,27.49
Debt / Equity Ratio,0.65,0.84,0.80,0.83,0.03,0.04,0.03,-,-,-,-
Debt / EBITDA Ratio,3.92,4.85,5.67,6.84,0.19,0.23,0.16,-,-,-,-
Debt / FCF Ratio,19.18,13.18,20.71,-,0.24,0.40,7.87,-,-,-,-
Asset Turnover,0.55,0.56,0.51,0.71,0.72,0.74,0.77,0.91,1.17,0.57,0.58
Inventory Turnover,2.24,2.41,2.16,3.21,2.73,2.48,2.45,2.77,4.74,3.83,3.94
Quick Ratio,1.00,0.91,0.92,0.95,3.38,2.76,2.02,2.35,2.58,12.39,10.21
Current Ratio,2.45,2.59,2.54,2.50,5.13,4.71,3.55,3.72,4.11,14.04,11.85
Return on Equity (ROE),-0.35%,-5.76%,-1.41%,-4.01%,6.62%,6.03%,7.65%,2.34%,7.39%,10.17%,8.27%
Return on Assets (ROA),1.92%,1.42%,0.67%,-0.07%,4.85%,4.87%,5.58%,8.00%,7.89%,9.30%,8.76%
Return on Capital (ROIC),2.24%,1.64%,0.78%,-0.08%,5.49%,5.67%,6.83%,10.01%,9.35%,9.98%,9.40%
Return on Capital Employed (ROCE),3.60%,2.70%,1.20%,-0.10%,8.40%,8.60%,10.10%,14.80%,10.80%,14.90%,14.00%
Earnings Yield,-0.22%,-3.10%,-1.23%,-1.97%,2.05%,1.93%,2.61%,0.61%,1.60%,2.62%,2.50%
FCF Yield,2.17%,3.28%,3.42%,-4.04%,3.95%,2.90%,0.12%,1.44%,1.87%,2.77%,2.84%
Buyback Yield / Dilution,-1.20%,-1.23%,-0.93%,-9.58%,-0.88%,-0.21%,0.26%,-3.56%,-20.89%,-4.59%,-5.43%
