Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,299.73,308.57,254.22,208.78,552.83,396.1,268.67,344.78,290.07,445.08,336.16
Short-Term Investments,-,1.21,1.7,5.55,15.76,16.04,25.34,38.42,32,-,41.23
Trading Asset Securities,3.98,11.04,23.07,28.43,-,-,-,-,-,-,-
Cash & Short-Term Investments,303.71,320.81,278.98,242.77,568.59,412.14,294.01,383.2,322.07,445.08,377.4
Cash Growth,-6.50%,14.99%,14.92%,-57.30%,37.96%,40.18%,-23.27%,18.98%,-27.64%,17.94%,8.83%
Accounts Receivable,191.54,182.83,161.57,221.72,105.89,124.09,202.22,196.44,149.12,56.16,57.85
Other Receivables,-,4.45,2.75,3.55,4.16,3.68,4.42,5.07,70.48,1.02,-
Receivables,191.54,187.27,164.31,225.27,110.05,127.77,206.64,201.51,219.6,57.18,57.85
Inventory,622.44,584.68,709.36,696.01,290.24,314.93,337.64,311.16,288.66,49.26,43.63
Prepaid Expenses,55.03,25.71,27.38,37.96,21.07,21.14,19.23,15.14,6.79,4.6,7.63
Other Current Assets,34.57,318.01,35.41,29.37,35.62,41.26,23.41,14.85,26.22,12.98,18.5
Total Current Assets,"1,207","1,442","1,221","1,235","1,030",920.78,882.2,927.04,864.66,569.1,505.01
"Property, Plant & Equipment",512.57,499.3,685.53,713.58,510.89,516.11,490.55,432.64,398.68,85.7,74.32
Long-Term Investments,134.09,8.76,8,57.2,7.86,12.97,-,2.03,14.58,-,-
Goodwill,"1,499","1,433","1,472","1,449",43.44,33,31.25,11.2,12.36,5.58,6.46
Other Intangible Assets,664.83,740.79,870.59,982.77,188.31,197.23,211.41,133.42,143.75,22.38,23.94
Long-Term Deferred Tax Assets,23.98,24.21,37.3,31.47,42.6,31.03,28,38.65,24.78,21.94,17.1
Long-Term Deferred Charges,-,1.72,3.44,5.16,2.83,-,-,-,-,-,-
Other Long-Term Assets,61.39,54.4,79.88,41.02,55.01,52.56,48.98,40.42,38.14,-,-
Total Assets,"4,103","4,204","4,378","4,516","1,881","1,764","1,692","1,585","1,497",704.69,626.83
Accounts Payable,171.75,148.02,150.03,215.9,81.13,71.86,128.63,120.47,78.23,14.64,13.67
Accrued Expenses,217.45,181.59,152.26,149.66,94.7,77.71,70.6,113.23,100.01,22.71,20.81
