Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"2,320","2,382","2,259","2,280","1,316","1,271","1,266","1,400","1,292",379.34,339.25
Other Revenue,-,-,-,-,-,-,-,-,0.45,0.03,0.41
Revenue,"2,320","2,382","2,259","2,280","1,316","1,271","1,266","1,400","1,293",379.37,339.67
Revenue Growth (YoY),-0.84%,5.44%,-0.92%,73.21%,3.56%,0.38%,-9.56%,8.31%,240.72%,11.69%,10.51%
Cost of Revenue,"1,474","1,557","1,519","1,582",824.82,809.51,794.34,830.01,800.22,177.97,158.87
Gross Profit,846.31,824.78,739.87,697.76,491.49,461.5,471.86,570.03,492.4,201.4,180.8
"Selling, General & Admin",628.25,638.76,606.69,608.35,302.58,283.95,276.98,320,302.17,89.43,83.22
Research & Development,88.76,88.62,85.34,92.98,47.5,42.95,48.61,52.87,51.25,12.96,15.71
Operating Expenses,717.01,727.38,692.04,701.33,350.08,326.9,325.59,372.87,353.42,102.38,98.93
Operating Income,129.3,97.41,47.84,-3.57,141.41,134.6,146.27,197.16,138.97,99.02,81.87
Interest Expense,-96.75,-106.54,-102.73,-70.81,-0.86,-1.75,-0.55,-0.71,-2.05,-0.12,-0.04
Interest & Investment Income,10.9,10.79,7.51,4.43,2.84,3.68,6.8,5.4,-,-,-
Currency Exchange Gain (Loss),-2.62,-9.79,-5.92,-5.78,-1.02,-,0.7,-8.1,-1.8,-,-
Other Non Operating Income (Expenses),-2.56,-4.92,-2.43,3.2,0.63,2.81,0.4,-0.07,-2.47,0.89,1.17
EBT Excluding Unusual Items,39.57,-13.06,-55.74,-72.53,143,139.33,153.62,193.68,132.66,99.78,83
Merger & Restructuring Charges,-55.82,-59.84,-41.26,-71.42,-18.04,-28.41,-80.57,-105.39,-144.27,-15.35,-8.45
Gain (Loss) on Sale of Assets,41.52,-1.61,-0.15,-2.55,-1.65,1.77,-,-3.9,-,-0.73,-3.05
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-1.8
Other Unusual Items,1.41,5.4,16.25,32.09,-0.13,-15.2,41.66,-62.01,62.89,1.46,-
Pretax Income,29.77,-66.01,-78.3,-114.41,123.19,97.49,114.71,22.37,51.28,85.16,69.7
Income Tax Expense,37.14,51.68,-48.64,-40.12,20.05,10.62,13.67,-6.42,-17.36,22.08,24.71
Net Income,-7.36,-117.69,-29.66,-74.29,103.14,86.87,101.04,28.79,68.64,63.08,44.99
Net Income to Common,-7.36,-117.69,-29.66,-74.29,103.14,86.87,101.04,28.79,68.64,63.08,44.99
Net Income Growth,-,-,-,-,18.72%,-14.02%,250.90%,-58.05%,8.81%,40.23%,70.82%
Shares Outstanding (Basic),25,24,24,24,21,21,21,20,20,16,16
Shares Outstanding (Diluted),25,24,24,24,22,22,22,22,21,17,16
Shares Change (YoY),1.20%,1.23%,0.93%,9.58%,0.88%,0.21%,-0.26%,3.56%,20.89%,4.59%,5.43%
EPS (Basic),-0.30,-4.83,-1.23,-3.11,4.86,4.16,4.90,1.41,3.50,3.90,2.84
EPS (Diluted),-0.31,-4.83,-1.23,-3.11,4.74,4.02,4.69,1.33,3.29,3.66,2.73
EPS Growth,-,-,-,-,17.91%,-14.29%,252.63%,-59.57%,-10.11%,34.07%,62.50%
Free Cash Flow,71.96,124.66,82.31,-152.44,199,130.75,4.61,67.5,79.94,66.58,51.21
Free Cash Flow Per Share,2.93,5.11,3.42,-6.39,9.14,6.06,0.21,3.13,3.83,3.86,3.10
Gross Margin,36.47%,34.63%,32.75%,30.60%,37.34%,36.31%,37.27%,40.72%,38.09%,53.09%,53.23%
Operating Margin,5.57%,4.09%,2.12%,-0.16%,10.74%,10.59%,11.55%,14.08%,10.75%,26.10%,24.10%
Profit Margin,-0.32%,-4.94%,-1.31%,-3.26%,7.83%,6.83%,7.98%,2.06%,5.31%,16.63%,13.24%
Free Cash Flow Margin,3.10%,5.23%,3.64%,-6.69%,15.12%,10.29%,0.36%,4.82%,6.19%,17.55%,15.08%
EBITDA,332.21,316.92,276.61,231.58,231.11,220.23,223.19,271.89,205.54,118.07,99.94
EBITDA Margin,14.32%,13.30%,12.24%,10.16%,17.56%,17.33%,17.63%,19.42%,15.90%,31.12%,29.42%
D&A For EBITDA,202.91,219.51,228.77,235.15,89.7,85.63,76.92,74.74,66.57,19.05,18.07
EBIT,129.3,97.41,47.84,-3.57,141.41,134.6,146.27,197.16,138.97,99.02,81.87
EBIT Margin,5.57%,4.09%,2.12%,-0.16%,10.74%,10.59%,11.55%,14.08%,10.75%,26.10%,24.10%
Effective Tax Rate,124.73%,-,-,-,16.28%,10.90%,11.92%,-,-,25.93%,35.46%
Revenue as Reported,-,-,-,-,-,-,-,-,"1,293",379.37,341.67
Advertising Expenses,-,-,-,-,-,-,0.1,0.6,0.2,0.1,0.2
