Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Cash & Equivalents,398.47,315.33,245.88,101.95,114.31,160.22,118.64,36.58,68.36,97.72,43.57
Short-Term Investments,34.57,43.06,33.13,14.55,19.67,18.71,6.04,13.17,26.83,-,-
Cash & Short-Term Investments,433.04,358.39,279.01,116.51,133.98,178.92,124.68,49.75,95.19,97.72,43.57
Cash Growth,15.77%,28.45%,139.48%,-13.04%,-25.12%,43.50%,150.59%,-47.73%,-2.59%,124.29%,-57.75%
Accounts Receivable,344.64,317.23,267.21,194.46,132.5,120.95,167.47,175.09,105.41,167.15,101.78
Other Receivables,-,0.06,0.1,0.11,0.16,0.47,0.23,6.9,8.22,1.71,1.23
Receivables,344.64,317.29,267.31,194.57,132.66,121.42,167.7,182,113.63,168.87,103.02
Inventory,88.53,85.87,63.87,50.42,29.84,28.97,29.2,21.35,18.45,26.52,137.68
Prepaid Expenses,7.23,7.49,5.42,4.68,4.38,4.4,4.34,3.78,3.7,4.57,5
Restricted Cash,-,-,-,-,-,-,-,19.15,15.1,-,-
Other Current Assets,6.72,7.44,6.38,3.81,1.6,1.95,2.65,0.63,0.46,2.46,3.92
Total Current Assets,880.16,776.48,621.99,369.98,302.46,335.66,328.57,276.66,250.07,304.14,297.1
"Property, Plant & Equipment",110.6,104.64,99.06,100.81,112.91,119.59,120.81,128.76,139.42,144.98,154.59
Goodwill,-,1,1,1,1,1,1,1,1,1,1
Other Intangible Assets,1.5,0.5,-,-,-,0.16,0.33,0.51,0.72,1.06,1.39
Long-Term Accounts Receivable,0.5,1,-,-,-,-,-,-,-,-,-
Long-Term Deferred Tax Assets,31.3,27.25,17.06,9.16,4.64,3.64,5.12,5.94,0.23,-,2.29
Other Long-Term Assets,18.16,17.31,13.13,12.43,15.18,12.23,11.58,17.07,23.55,11.34,12.45
Total Assets,"1,042",928.18,752.24,493.38,436.19,472.28,467.41,429.95,414.99,462.52,468.82
Accounts Payable,66.2,73.63,56.67,63.42,45.25,35.03,51.18,40.71,33.27,34.99,48.01
Accrued Expenses,28.44,33.78,29.95,24.79,20.4,21.74,20.18,22.27,14.98,30.76,26.74
Current Portion of Long-Term Debt,-,-,-,-,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Current Portion of Leases,0.61,0.6,0.77,1.78,1.42,2.35,-,-,-,-,-
Current Income Taxes Payable,6.45,8.98,6.52,1.72,1.08,1.86,0.91,0.9,1.22,1.46,0.78
Current Unearned Revenue,299.51,287.76,279.8,79.86,42.43,79.45,71.46,43.17,26.17,43.97,42.06
Other Current Liabilities,26.13,23.26,21.99,14.81,10.19,12.12,13.76,10.39,9.54,6.67,6.96
Total Current Liabilities,427.35,428.02,395.69,186.37,121.16,152.95,157.9,117.85,85.58,118.25,124.95
Long-Term Debt,-,-,-,-,-,0.4,0.8,1.2,1.6,2,2.4
Long-Term Leases,0.61,0.62,0.66,0.55,2.41,3.43,-,-,-,-,-
Pension & Post-Retirement Benefits,-,0.3,0.5,0.4,0.9,0.9,0.9,-,-,-,-
Long-Term Deferred Tax Liabilities,3.91,2.71,-,-,-,-,-,-,-,0.14,-
Other Long-Term Liabilities,15.44,13.46,10.37,8.86,10.5,7.97,8.66,9.26,6.51,6.81,8.21
Total Liabilities,447.31,445.11,407.22,196.17,134.97,165.65,168.26,128.31,93.69,127.2,135.56
Common Stock,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12
Additional Paid-In Capital,62.09,70.11,71.53,67.44,63.95,62,59.15,56.77,54.33,52,48.51
Retained Earnings,581.7,462.19,325.28,283.64,282.51,294.02,289.42,291.53,310.6,331.96,328.29
Treasury Stock,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-21.26
Comprehensive Income & Other,-24.01,-24.36,-26.91,-29,-20.36,-24.51,-24.55,-21.78,-18.75,-23.77,-22.4
Shareholders' Equity,594.91,483.07,345.03,297.21,301.22,306.63,299.15,301.64,321.3,335.32,333.26
Total Liabilities & Equity,"1,042",928.18,752.24,493.38,436.19,472.28,467.41,429.95,414.99,462.52,468.82
Total Debt,1.22,1.22,1.44,2.32,4.23,6.59,1.2,1.6,2,2.4,2.8
Net Cash (Debt),431.82,357.18,277.57,114.19,129.75,172.34,123.48,48.15,93.19,95.32,40.77
Net Cash Growth,15.73%,28.68%,143.09%,-12.00%,-24.71%,39.56%,156.43%,-48.33%,-2.24%,133.81%,-59.20%
Net Cash Per Share,35.46,29.31,22.90,9.56,11.01,14.74,10.61,4.18,8.14,8.34,3.42
Filing Date Shares Outstanding,12.07,12.02,11.96,11.82,11.72,11.65,11.59,11.5,11.43,11.41,11.41
Total Common Shares Outstanding,12.07,11.99,11.86,11.78,11.69,11.62,11.57,11.47,11.43,11.39,11.43
Working Capital,452.81,348.47,226.3,183.61,181.31,182.71,170.67,158.81,164.49,185.89,172.15
