Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Revenue,"1,081","1,012",699.31,532.58,470.56,518.5,517.18,448.72,395.91,565.24,661.86
Revenue Growth (YoY),14.32%,44.77%,31.30%,13.18%,-9.25%,0.26%,15.26%,13.34%,-29.96%,-14.60%,2.17%
Cost of Revenue,770.11,739.27,551.76,447.56,395.5,423.92,430.2,383.36,345.14,459.04,553.6
Gross Profit,311.29,273.09,147.55,85.02,75.06,94.58,86.98,65.36,50.77,106.21,108.26
"Selling, General & Admin",89.93,84.89,78.81,70.83,67.22,67.66,69.95,66.77,61.52,74.92,76.8
Research & Development,10.63,9.43,6.22,6.96,6.67,6.27,6.33,6.72,6.91,6.73,6.98
Amortization of Goodwill & Intangibles,-,-,-,-,0.16,0.18,0.18,0.21,0.36,0.35,0.44
Operating Expenses,100.56,94.32,85.03,77.79,74.04,74.1,76.45,73.69,68.79,82.01,84.22
Operating Income,210.73,178.77,62.52,7.22,1.02,20.47,10.52,-8.34,-18.02,24.2,24.05
Interest Expense,-,-,-,-,-,-,-0.23,-0.21,-0.17,-0.15,-0.15
Interest & Investment Income,15.78,17.32,6.43,0.33,0.07,0.75,1.1,0.88,0.56,0.16,0.09
Other Non Operating Income (Expenses),-,-,-,0.28,-,0.51,-,0.75,-,-,-0.03
EBT Excluding Unusual Items,226.51,196.09,68.95,7.84,1.09,21.73,11.4,-6.91,-17.63,24.21,23.96
Merger & Restructuring Charges,-,-,-,-,-,-1.4,-0.01,-0.79,-1.32,-8.44,-3.4
Gain (Loss) on Sale of Assets,-,-,-,2.01,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,2.03,2.03,2.03
Pretax Income,226.51,196.09,68.95,9.84,1.09,20.33,12.33,-7.7,-16.92,17.79,22.99
Income Tax Expense,51.13,46.24,14.43,-3.89,0.46,3.67,2.44,-0.55,-7.43,2.28,13.55
Earnings From Continuing Operations,175.38,149.85,54.53,13.74,0.63,16.66,9.89,-7.15,-9.49,15.51,9.44
Net Income,175.38,149.85,54.53,13.74,0.63,16.66,9.89,-7.15,-9.49,15.51,9.44
Net Income to Common,175.38,149.85,54.53,13.74,0.63,16.66,9.89,-7.15,-9.49,15.51,9.44
Net Income Growth,34.67%,174.82%,296.92%,2077.02%,-96.21%,68.45%,-,-,-,64.32%,-67.70%
Shares Outstanding (Basic),12,12,12,12,12,12,12,12,11,11,12
Shares Outstanding (Diluted),12,12,12,12,12,12,12,12,11,11,12
Shares Change (YoY),0.02%,0.56%,1.48%,1.31%,0.82%,0.51%,1.10%,0.47%,0.19%,-4.01%,-1.24%
EPS (Basic),14.56,12.51,4.59,1.16,0.05,1.43,0.85,-0.62,-0.83,1.36,0.80
EPS (Diluted),14.40,12.29,4.50,1.15,0.05,1.42,0.85,-0.62,-0.83,1.36,0.79
EPS Growth,34.62%,173.11%,291.30%,2200.00%,-96.48%,67.06%,-,-,-,72.15%,-67.31%
Free Cash Flow,81.04,96.68,174.73,-6.03,-33.39,67.23,64.5,-32.96,33.19,71.86,-21.8
Free Cash Flow Per Share,6.65,7.93,14.42,-0.51,-2.83,5.75,5.54,-2.86,2.90,6.29,-1.83
Dividend Per Share,1.065,1.058,1.048,1.040,1.040,1.040,1.040,1.040,1.040,1.040,1.040
Dividend Growth,0.95%,0.95%,0.72%,-,-,-,-,-,-,-,4.00%
Gross Margin,28.79%,26.97%,21.10%,15.96%,15.95%,18.24%,16.82%,14.56%,12.82%,18.79%,16.36%
Operating Margin,19.49%,17.66%,8.94%,1.36%,0.22%,3.95%,2.03%,-1.86%,-4.55%,4.28%,3.63%
Profit Margin,16.22%,14.80%,7.80%,2.58%,0.13%,3.21%,1.91%,-1.59%,-2.40%,2.74%,1.43%
Free Cash Flow Margin,7.49%,9.55%,24.99%,-1.13%,-7.10%,12.97%,12.47%,-7.34%,8.38%,12.71%,-3.29%
EBITDA,217.74,185.64,71.13,16.58,11.35,31.01,22.55,4.57,-5.26,37.53,37.6
EBITDA Margin,20.14%,18.34%,10.17%,3.11%,2.41%,5.98%,4.36%,1.02%,-1.33%,6.64%,5.68%
D&A For EBITDA,7.01,6.87,8.61,9.36,10.34,10.54,12.03,12.9,12.76,13.33,13.56
EBIT,210.73,178.77,62.52,7.22,1.02,20.47,10.52,-8.34,-18.02,24.2,24.05
EBIT Margin,19.49%,17.66%,8.94%,1.36%,0.22%,3.95%,2.03%,-1.86%,-4.55%,4.28%,3.63%
Effective Tax Rate,22.57%,23.58%,20.92%,-,42.22%,18.05%,19.81%,-,-,12.83%,58.95%
