Period Ending,"Nov '25Nov 18, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Market Capitalization,"3,905","2,661",983,248,287,280,453,416,343,456,353
Market Cap Growth,27.74%,170.65%,295.89%,-13.54%,2.50%,-38.11%,8.88%,21.34%,-24.89%,29.35%,-28.14%
Enterprise Value,"3,404","2,288",775,152,163,124,376,362,257,369,292
Last Close Price,317.81,220.96,81.84,20.31,22.73,21.55,33.83,30.40,24.33,31.52,22.93
PE Ratio,22.57,17.76,18.03,18.08,455.25,16.82,45.79,-,-,29.42,37.38
Forward PE,22.38,17.87,22.26,34.84,-,21.84,26.25,38.78,-,113.07,17.28
PS Ratio,3.54,2.63,1.41,0.47,0.61,0.54,0.88,0.93,0.87,0.81,0.53
PB Ratio,6.45,5.51,2.85,0.84,0.95,0.91,1.51,1.38,1.07,1.36,1.06
P/TBV Ratio,6.46,5.53,2.86,0.84,0.96,0.92,1.52,1.39,1.07,1.37,1.07
P/FCF Ratio,47.33,27.53,5.63,-,-,4.17,7.02,-,10.33,6.35,-
P/OCF Ratio,38.02,24.49,5.39,-,-,3.87,6.59,-,9.31,6.09,27.31
PEG Ratio,1.56,1.62,2.02,3.17,-,1.56,2.19,3.23,-,10.60,1.47
EV/Sales Ratio,3.15,2.26,1.11,0.28,0.35,0.24,0.73,0.81,0.65,0.65,0.44
EV/EBITDA Ratio,15.63,12.33,10.90,9.16,14.36,4.00,16.67,79.29,-,9.84,7.77
EV/EBIT Ratio,16.15,12.80,12.40,21.04,159.98,6.05,35.74,-,-,15.26,12.15
EV/FCF Ratio,42.00,23.67,4.44,-,-,1.84,5.83,-,7.74,5.14,-
Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01
Debt / EBITDA Ratio,0.01,0.01,0.02,0.12,0.29,0.19,0.05,0.35,-,0.06,0.07
Debt / FCF Ratio,0.02,0.01,0.01,-,-,0.10,0.02,-,0.06,0.03,-
Asset Turnover,1.13,1.21,1.12,1.15,1.04,1.10,1.15,1.06,0.90,1.21,1.31
Inventory Turnover,8.87,9.87,9.66,11.15,13.45,14.58,17.02,19.26,15.35,5.59,4.16
Quick Ratio,1.82,1.58,1.38,1.67,2.20,1.96,1.85,1.97,2.44,2.25,1.17
Current Ratio,2.06,1.81,1.57,1.99,2.50,2.19,2.08,2.35,2.92,2.57,2.38
Return on Equity (ROE),34.00%,36.19%,16.98%,4.59%,0.21%,5.50%,3.29%,-2.30%,-2.89%,4.64%,2.68%
Return on Assets (ROA),13.78%,13.30%,6.27%,0.97%,0.14%,2.72%,1.47%,-1.23%,-2.57%,3.25%,2.97%
Return on Capital (ROIC),25.48%,26.90%,12.10%,1.49%,0.21%,4.17%,2.18%,-1.66%,-3.41%,4.49%,4.23%
Return on Capital Employed (ROCE),34.30%,35.70%,17.50%,2.40%,0.30%,6.40%,3.40%,-2.70%,-5.50%,7.00%,7.00%
Earnings Yield,4.57%,5.63%,5.54%,5.53%,0.22%,5.94%,2.18%,-1.72%,-2.77%,3.40%,2.68%
FCF Yield,2.11%,3.63%,17.77%,-2.43%,-11.62%,23.99%,14.24%,-7.92%,9.68%,15.75%,-6.18%
Dividend Yield,0.33%,0.48%,1.28%,5.12%,4.58%,4.83%,3.07%,3.42%,4.27%,3.30%,4.54%
Payout Ratio,7.43%,8.44%,22.75%,89.05%,1924.25%,72.42%,121.31%,-,-,76.37%,130.93%
Buyback Yield / Dilution,-0.02%,-0.56%,-1.48%,-1.31%,-0.82%,-0.51%,-1.10%,-0.47%,-0.19%,4.01%,1.24%
Total Shareholder Return,0.32%,-0.08%,-0.20%,3.81%,3.75%,4.32%,1.97%,2.95%,4.08%,7.31%,5.78%
