Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021"
Market Capitalization,868,371,920,114,217,-
Market Cap Growth,73.44%,-59.69%,704.86%,-47.44%,-,-
Enterprise Value,869,377,920,114,217,-
Last Close Price,8.30,3.58,11.27,10.69,9.99,-
PS Ratio,1553.23,661.58,7819.86,1027.86,-,-
PB Ratio,9.47,4.04,-83.15,3.61,7.16,-
P/TBV Ratio,9.47,4.04,-,3.61,7.16,-
EV/Sales Ratio,1550.70,672.08,7818.48,1026.64,-,-
Debt / Equity Ratio,0.06,0.06,-0.39,0.00,-,-
Asset Turnover,0.01,0.01,0.00,0.00,-,-
Quick Ratio,0.11,0.11,0.04,0.07,0.58,0.52
Current Ratio,0.13,0.13,0.07,0.07,0.59,0.53
Return on Equity (ROE),-128.31%,-128.31%,-1353.01%,-17.57%,-0.97%,-
Return on Assets (ROA),-25.68%,-25.68%,-4.28%,-0.63%,-0.55%,-
Return on Capital (ROIC),-65.18%,-65.18%,-16.16%,-0.66%,-0.56%,-
Return on Capital Employed (ROCE),-44.40%,-44.40%,-81.50%,-1.00%,-0.90%,-1.90%
Earnings Yield,-5.96%,-13.99%,-15.16%,-4.77%,-0.13%,-
FCF Yield,-1.78%,-4.19%,-1.76%,-4.70%,-2.86%,-
Buyback Yield / Dilution,-250.83%,-250.83%,-,-,-,-
