Period Ending,"Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021"
Cash & Equivalents,7.3,1.26,0.14,0.14,0.18
Cash & Short-Term Investments,7.3,1.26,0.14,0.14,0.18
Cash Growth,479.50%,816.14%,1.00%,-26.11%,-
Other Receivables,0.04,0.83,0.09,0.04,0.11
Receivables,0.04,0.83,0.09,0.04,0.11
Prepaid Expenses,0.96,1.65,-,-,-
Other Current Assets,0,0,0,0,0
Total Current Assets,8.31,3.74,0.23,0.18,0.3
"Property, Plant & Equipment",39.74,35.25,34.73,30.48,28.58
Long-Term Investments,108.21,5.34,-,-,-
Other Long-Term Assets,15.47,15.02,0.02,0.02,0.02
Total Assets,171.72,59.35,34.99,30.68,28.9
Accounts Payable,2.91,6.41,3.24,0.3,0.55
Accrued Expenses,15.17,6.18,0.03,-,-
Short-Term Debt,5.85,4.27,0.03,-,-
Current Portion of Leases,0.01,0.01,-,-,-
Other Current Liabilities,40.84,38.53,0,0,0.01
Total Current Liabilities,64.79,55.39,3.31,0.3,0.57
Long-Term Leases,0.01,0.02,-,-,-
Other Long-Term Liabilities,15,15,-,-,-
Total Liabilities,79.8,70.42,3.31,0.3,0.57
Common Stock,0.14,0.12,0.04,0.04,0.04
Additional Paid-In Capital,197.59,51.39,-,-,-
Retained Earnings,-200.56,-148.69,-9.24,-3.79,-3.5
Comprehensive Income & Other,94.75,86.11,40.88,34.13,31.8
Shareholders' Equity,91.92,-11.07,31.68,30.38,28.33
Total Liabilities & Equity,171.72,59.35,34.99,30.68,28.9
Total Debt,5.88,4.3,0.03,-,-
Net Cash (Debt),1.42,-3.04,0.1,0.14,0.18
Net Cash Growth,-,-,-24.43%,-26.11%,-
Net Cash Per Share,0.02,-0.11,-,-,-
Filing Date Shares Outstanding,104.91,80.99,-,-,-
Total Common Shares Outstanding,104.91,80.99,-,-,-
Working Capital,-56.48,-51.65,-3.07,-0.12,-0.27
Book Value Per Share,0.88,-0.14,-,-,-
Tangible Book Value,91.92,-11.07,31.68,30.38,28.33
Tangible Book Value Per Share,0.88,-0.14,-,-,-
Machinery,0.04,0.03,0.06,0.05,0.04
