Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,534","2,514","3,076","2,688","6,146","4,548","3,352","2,968","5,025","1,700","2,326"
Market Cap Growth,-19.20%,-18.26%,14.44%,-56.27%,35.14%,35.70%,12.91%,-40.93%,195.66%,-26.93%,100.14%
Enterprise Value,"1,334","1,818","2,274","1,917","5,279","4,303","3,139","2,708","4,990","1,658","2,372"
Last Close Price,14.65,14.41,18.11,14.78,35.08,32.02,25.07,23.09,39.42,13.57,-
PE Ratio,5.43,66.65,30.53,-,-,-,-,-,-,145.29,-
PS Ratio,4.21,3.99,3.67,6.30,17.26,19.95,16.36,13.86,20.83,7.87,13.05
PB Ratio,2.04,3.26,4.14,4.22,5.91,8.76,10.71,7.20,10.36,8.33,22.74
P/TBV Ratio,2.06,3.31,4.21,4.40,6.23,9.46,11.78,7.70,10.97,9.41,29.28
P/FCF Ratio,-,-,16.48,-,-,-,-,-,-,-,-
P/OCF Ratio,-,5059.34,14.03,-,-,-,-,-,-,-,-
EV/Sales Ratio,2.22,2.89,2.71,4.50,14.82,18.87,15.32,12.65,20.69,7.67,13.31
EV/EBITDA Ratio,-,-,85.55,-,-,-,-,-,-,-,-
EV/EBIT Ratio,-,-,123.76,-,-,-,-,-,-,-,-
EV/FCF Ratio,-,-,12.18,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.08,0.12,0.12,0.04,0.04,0.07,0.11,0.07,0.07,0.28,0.62
Debt / EBITDA Ratio,-,-,2.68,-,-,-,-,-,-,-,-
Debt / FCF Ratio,-,-,0.46,-,-,-,-,-,-,-,-
Asset Turnover,0.40,0.49,0.73,0.36,0.34,0.38,0.41,0.38,0.51,0.76,0.81
Inventory Turnover,11.56,11.15,12.84,15.10,20.08,20.20,20.92,21.42,20.43,19.95,22.66
Quick Ratio,4.47,2.68,2.58,2.15,3.73,3.18,2.63,4.14,4.02,1.61,0.88
Current Ratio,4.65,2.83,2.72,2.37,3.89,3.35,2.80,4.34,4.13,1.76,1.10
Return on Equity (ROE),46.90%,5.04%,14.65%,-43.00%,-21.44%,-27.77%,-28.59%,-15.89%,-6.67%,9.50%,10.42%
Return on Assets (ROA),-0.81%,-2.14%,1.00%,-21.21%,-19.57%,-20.67%,-18.35%,-10.25%,-7.10%,-10.20%,-2.77%
Return on Capital (ROIC),-1.13%,-3.23%,1.54%,-29.25%,-25.12%,-27.25%,-23.25%,-12.09%,-8.57%,-13.66%,-3.74%
Return on Capital Employed (ROCE),-1.40%,-4.90%,2.10%,-60.40%,-30.90%,-34.80%,-41.60%,-20.70%,-10.80%,-18.90%,-6.60%
Earnings Yield,18.42%,1.50%,3.28%,-13.42%,-3.17%,-2.76%,-3.16%,-2.52%,-0.53%,0.69%,-1.50%
FCF Yield,-1.96%,-0.69%,6.07%,-11.36%,-3.59%,-1.54%,-2.67%,-1.32%,-0.28%,-0.82%,-0.55%
Buyback Yield / Dilution,-2.18%,-0.42%,-2.60%,-6.87%,-13.58%,-4.84%,-0.21%,-7.63%,-2.91%,-9.72%,-3.99%
