Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,110.72,153.96,283.59,313.28,377.54,235.63,121.16,86.04,85.27,79.43,31.94
Short-Term Investments,"1,255",684.8,605.43,320.06,636.92,203.41,98.54,216.72,273.03,25.45,0.8
Cash & Short-Term Investments,"1,366",838.76,889.02,633.34,"1,014",439.04,219.7,302.76,358.3,104.88,32.74
Cash Growth,69.96%,-5.65%,40.37%,-37.57%,131.06%,99.83%,-27.43%,-15.50%,241.63%,220.33%,-36.39%
Accounts Receivable,146.97,155.54,116.89,97.99,83.58,47.87,43.25,42.96,42.27,45.79,35.45
Other Receivables,17.99,13.94,33.56,29.54,64.15,16.1,34.09,8.27,19.84,2.82,3.34
Receivables,164.95,169.47,150.46,127.53,147.73,63.97,77.35,51.23,62.11,48.61,45.79
Inventory,48.45,50.4,50.26,56.69,35.76,19.77,16.21,12.31,11.79,12.82,9.56
Prepaid Expenses,11.56,7.92,7.11,22.33,14.13,7.04,3.77,4.25,-,0.7,1.18
Other Current Assets,1.72,-,-,-,-,0.93,-,-,-,-,-
Total Current Assets,"1,592","1,067","1,097",839.89,"1,212",530.74,317.02,370.54,432.2,167.38,89.51
"Property, Plant & Equipment",94.57,97,104.39,84.67,53.15,32.19,26.37,16.62,14.22,9.95,8.51
Long-Term Investments,8.65,82.77,48.41,73.78,76.48,139.51,98.94,138.32,144.24,158.51,119.76
Goodwill,-,-,-,-,-,3.31,3.11,3.19,3.31,3.14,3.33
Other Intangible Assets,-,-,-,-,-,0.23,0.28,0.35,0.43,0.47,0.57
Long-Term Deferred Tax Assets,-,12.45,15.46,15.37,9.4,1.52,0.82,0.58,0.63,-,-
Long-Term Deferred Charges,-,-,-,-,-,1.17,0.18,-,-,-,4.45
Other Long-Term Assets,80.4,15.43,14.68,15.75,21.55,15.47,18.4,2.53,2.91,2.99,3.48
Total Assets,"1,776","1,274","1,280","1,029","1,373",724.12,465.12,532.12,597.93,342.44,229.6
Accounts Payable,43.73,42.52,36.33,71.12,41.18,31.61,23.96,25.63,24.37,35.54,24.09
Accrued Expenses,188.66,214.5,233.06,224.63,182.17,110.75,73.54,48.45,39.33,30.32,22.88
Short-Term Debt,25.6,-,-,-,-,-,0.37,0.43,30.44,20.11,25.63
Current Portion of Long-Term Debt,-,23.37,31.16,-,26.91,-,-,-,1.55,2.09,1.78
