Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,855","8,861","6,195","3,705","4,197","6,180","3,745","2,028","1,409",804,490
Market Cap Growth,15.85%,43.02%,67.20%,-11.71%,-32.09%,65.03%,84.64%,43.97%,75.30%,64.17%,-
Enterprise Value,"8,694","8,571","6,048","3,623","4,095","6,039","3,777","1,983","1,366",786,450
Last Close Price,246.50,246.72,173.24,105.38,121.06,180.04,109.95,59.22,41.50,23.85,14.60
PE Ratio,44.14,43.42,2292.90,-,4082.59,39.02,103.22,101.58,145.00,-,-
Forward PE,40.78,48.39,54.69,-,292.91,218.68,177.34,50.54,76.15,-,-
PS Ratio,9.82,11.16,9.99,7.85,11.68,19.93,14.63,10.67,9.80,7.61,6.53
PB Ratio,17.75,17.06,20.84,13.95,14.11,21.62,28.38,22.08,16.56,11.53,6.73
P/TBV Ratio,25.34,24.72,28.51,21.88,22.29,34.73,169.27,40.63,23.88,18.14,9.52
P/FCF Ratio,41.84,47.60,120.91,196.83,153.80,211.22,121.58,59.37,51.88,110.73,-
P/OCF Ratio,41.44,47.09,102.77,146.08,118.59,127.96,96.31,55.93,47.97,69.88,-
PEG Ratio,-,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,-,-
EV/Sales Ratio,9.59,10.79,9.75,7.68,11.39,19.48,14.75,10.43,9.50,7.45,6.00
EV/EBITDA Ratio,61.26,60.39,195.32,-,-,347.24,267.87,85.35,104.77,-,-
EV/EBIT Ratio,65.37,62.86,255.57,-,-,617.25,584.58,100.87,146.29,-,-
EV/FCF Ratio,41.08,46.05,118.03,192.46,150.06,206.37,122.62,58.03,50.29,108.30,-
Debt / Equity Ratio,0.08,0.08,0.15,0.20,0.19,0.15,0.64,0.54,-,-,-
Debt / EBITDA Ratio,0.27,0.28,1.21,-,24.83,1.74,4.18,2.14,-,-,-
Debt / FCF Ratio,0.19,0.22,0.87,2.85,2.11,1.44,2.75,1.46,-,-,-
Asset Turnover,1.56,1.53,1.57,1.20,0.90,0.96,1.18,1.33,1.42,1.15,1.29
Quick Ratio,2.65,4.78,3.33,2.88,2.57,3.59,0.97,3.41,2.06,1.34,1.44
Current Ratio,3.02,5.30,3.90,3.28,3.01,4.00,1.30,3.83,2.25,1.51,1.63
Return on Equity (ROE),44.70%,49.98%,0.96%,-24.20%,0.35%,75.81%,32.42%,22.57%,12.56%,-11.63%,-37.13%
Return on Assets (ROA),14.29%,16.46%,3.74%,-7.97%,-1.86%,1.88%,1.85%,8.59%,5.75%,-5.75%,-16.18%
Return on Capital (ROIC),16.75%,18.87%,4.47%,-9.34%,-2.17%,2.25%,2.25%,10.84%,7.54%,-7.40%,-22.22%
Return on Capital Employed (ROCE),24.60%,24.20%,7.00%,-,-,2.90%,3.00%,13.30%,10.80%,-,-
Earnings Yield,2.30%,2.30%,0.04%,-1.84%,0.02%,2.56%,0.97%,0.98%,0.69%,-1.03%,-3.20%
FCF Yield,2.39%,2.10%,0.83%,0.51%,0.65%,0.47%,0.82%,1.68%,1.93%,0.90%,-2.15%
Buyback Yield / Dilution,2.18%,-1.00%,-4.02%,1.94%,0.03%,-0.41%,-0.01%,-1.17%,-4.74%,-57.30%,-143.65%
