Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,906.29,794.2,620.45,471.88,359.37,310.06,256.01,190.07,143.8,105.59,74.98
Revenue Growth (YoY),18.88%,28.01%,31.48%,31.31%,15.90%,21.11%,34.69%,32.17%,36.20%,40.83%,57.28%
Cost of Revenue,330.99,282.07,235.71,191.83,143.94,119.03,101.64,73.55,55.28,44.63,33.9
Gross Profit,575.3,512.14,384.74,280.06,215.43,191.03,154.37,116.52,88.52,60.96,41.07
"Selling, General & Admin",232.66,195.87,184.13,186.17,130.48,105.93,86.01,58.18,49.91,46.81,40.42
Research & Development,186.77,160.38,147.96,111.12,65.98,48.53,39.51,24.11,16.58,12.64,9.55
Operating Expenses,442.31,375.79,361.07,330.41,227.3,181.24,147.91,96.87,79.19,69.38,56.08
Operating Income,133,136.34,23.67,-50.35,-11.88,9.78,6.46,19.66,9.34,-8.42,-15
Interest Expense,-,-,-,-,-,-1.85,-1.65,-0.21,-0.17,-0.25,-0.8
Interest & Investment Income,9.61,13.98,7.03,1.18,0.5,-,-,1,0.7,0.5,0.2
Other Non Operating Income (Expenses),0.74,0.7,0,0.31,-0.04,1.24,0.02,-0.06,-0.1,-0.04,0.01
EBT Excluding Unusual Items,143.35,151.02,30.7,-48.85,-11.41,9.17,4.82,20.39,9.77,-8.21,-15.59
Merger & Restructuring Charges,-0.7,-0.7,-12.08,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,12.77,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,4.16,0.38,187.66,-,-,-,-,-
Asset Writedown,-,-,-,-22.02,-,-,-,-,-,-,-
Other Unusual Items,-,-,-10.62,-,-,-,-,-,-,-,-
Pretax Income,142.65,150.32,8,-66.72,1.73,196.83,4.82,20.39,9.77,-8.21,-15.59
Income Tax Expense,-61.1,-53.75,5.3,1.4,0.71,38.43,-31.46,0.42,0.06,0.07,0.08
Net Income,203.74,204.07,2.7,-68.12,1.03,158.4,36.28,19.97,9.72,-8.28,-15.67
Net Income to Common,203.75,204.07,2.7,-68.12,1.03,158.4,36.28,19.97,9.72,-8.28,-15.67
Net Income Growth,54.82%,7452.48%,-,-,-99.35%,336.59%,81.71%,105.51%,-,-,-
Shares Outstanding (Basic),36,36,36,35,35,34,34,34,34,34,21
Shares Outstanding (Diluted),36,37,36,35,36,36,36,36,35,34,21
Shares Change (YoY),-2.18%,1.00%,4.02%,-1.94%,-0.03%,0.41%,0.01%,1.17%,4.74%,57.30%,143.65%
EPS (Basic),5.64,5.63,0.08,-1.95,0.03,4.62,1.07,0.59,0.29,-0.25,-0.73
EPS (Diluted),5.58,5.55,0.07,-1.95,0.03,4.44,1.02,0.56,0.28,-0.25,-0.73
EPS Growth,58.16%,7828.57%,-,-,-99.33%,335.29%,82.14%,100.00%,-,-,-
Free Cash Flow,211.65,186.14,51.24,18.83,27.29,29.26,30.8,34.17,27.16,7.26,-10.54
Free Cash Flow Per Share,5.80,5.06,1.41,0.54,0.76,0.82,0.87,0.96,0.77,0.22,-0.49
Gross Margin,63.48%,64.48%,62.01%,59.35%,59.95%,61.61%,60.30%,61.30%,61.56%,57.73%,54.78%
Operating Margin,14.67%,17.17%,3.81%,-10.67%,-3.31%,3.16%,2.52%,10.34%,6.49%,-7.98%,-20.01%
Profit Margin,22.48%,25.70%,0.43%,-14.44%,0.29%,51.09%,14.17%,10.51%,6.76%,-7.84%,-20.90%
Free Cash Flow Margin,23.35%,23.44%,8.26%,3.99%,7.59%,9.44%,12.03%,17.97%,18.88%,6.87%,-14.06%
EBITDA,141.92,141.93,30.97,-43.13,-4.35,17.39,14.1,23.23,13.03,-4.69,-12.4
EBITDA Margin,15.66%,17.87%,4.99%,-9.14%,-1.21%,5.61%,5.51%,12.22%,9.06%,-4.44%,-16.54%
D&A For EBITDA,8.92,5.59,7.3,7.22,7.53,7.61,7.64,3.58,3.7,3.74,2.6
EBIT,133,136.34,23.67,-50.35,-11.88,9.78,6.46,19.66,9.34,-8.42,-15
EBIT Margin,14.67%,17.17%,3.81%,-10.67%,-3.31%,3.16%,2.52%,10.34%,6.49%,-7.98%,-20.01%
Effective Tax Rate,-,-,66.21%,-,40.72%,19.52%,-,2.06%,0.59%,-,-
Advertising Expenses,-,10.6,8.6,9.2,9.4,7,5.8,4.5,3.6,3.6,3.6
