Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,196.25,476.27,144.73,231.36,372.09,44.75,-
Short-Term Investments,-,-,-,26.58,6.67,6.11,-
Trading Asset Securities,6.09,4.54,1,60.96,1.25,-,-
Cash & Short-Term Investments,202.34,480.81,145.73,318.9,380.01,50.86,-
Cash Growth,-39.22%,229.93%,-54.30%,-16.08%,647.10%,-,-
Accounts Receivable,17.63,15.8,17.46,18.38,8.65,2.04,-
Other Receivables,11.42,9.34,-,2.55,-,441.12,-
Receivables,29.05,25.14,17.46,21.25,9.74,611.45,-
Inventory,231.54,64.89,0.35,-,-,-,-
Prepaid Expenses,564.75,291.93,71.88,-,-,-,-
Restricted Cash,14.71,9.14,9.54,11.49,10.31,7.34,-
Other Current Assets,246.18,77.54,15.37,28.88,15.21,7.86,-
Total Current Assets,"1,289",949.45,260.32,380.52,415.27,677.51,-
"Property, Plant & Equipment",899.69,387.97,276.96,226.42,208.03,135.13,-
Long-Term Investments,40.77,37.98,36.78,-,-,-,-
Goodwill,35.82,35.82,-,-,-,-,-
Other Intangible Assets,99.14,83.24,4.78,0.32,0.12,0.08,-
Long-Term Deferred Tax Assets,8.33,6.22,0.99,4.86,4.62,30.1,-
Other Long-Term Assets,64.76,57.18,59.56,39.29,18.95,10.49,-
Total Assets,"2,437","1,558",639.39,651.41,646.97,853.3,-
Accounts Payable,78.05,31.47,32.48,15.77,17.74,3.06,-
Accrued Expenses,-,-,-,16.97,16.15,6.8,-
Short-Term Debt,-,193.22,-,-,-,24.76,-
Current Portion of Long-Term Debt,562.16,14.91,-,29.81,-,-,-
Current Portion of Leases,8.13,5.46,5.29,4.97,3.29,5.11,-
Current Income Taxes Payable,8.56,2.73,3.37,0.66,10.45,0.06,-
Current Unearned Revenue,52.51,39.03,49.51,-,-,-,-
Other Current Liabilities,726.3,813.3,30.53,5.53,1.13,638.35,-
Total Current Liabilities,"1,436","1,100",121.18,73.7,48.76,678.12,-
Long-Term Debt,262.1,-,22.62,-,29.46,0.88,-
Long-Term Leases,83.56,72.67,64.92,65.45,59.68,16.85,-
Long-Term Unearned Revenue,65.13,90.2,94.83,182.3,213.45,11.55,-
Long-Term Deferred Tax Liabilities,14.27,16.61,1.62,11.63,7.55,-,-
Other Long-Term Liabilities,2.49,1.65,1.66,-,-,-,-
Total Liabilities,"1,863","1,281",306.82,333.07,358.9,707.4,-
Common Stock,-,-,-,-,0,145.9,-
Retained Earnings,-653.95,-649,-49.85,6.8,67.17,-,-
Treasury Stock,-290.61,-160.93,-2.6,-,-,-,-
Comprehensive Income & Other,"1,518","1,087",385.02,311.54,220.91,-,-
Shareholders' Equity,573.81,276.6,332.57,318.34,288.08,145.9,-
Total Liabilities & Equity,"2,437","1,558",639.39,651.41,646.97,853.3,-
Total Debt,915.95,286.26,92.83,100.23,92.43,47.58,-
Net Cash (Debt),-713.62,194.55,52.9,218.67,287.58,3.28,-
Net Cash Growth,-,267.77%,-75.81%,-23.96%,8667.65%,-,-
Net Cash Per Share,-3.77,1.42,0.48,2.01,2.59,0.00,-
Filing Date Shares Outstanding,208.62,196.75,115.71,111.29,"10,017","12,662","12,662"
Total Common Shares Outstanding,208.62,192.32,111.25,"10,017","10,017","12,662","12,662"
Working Capital,-147.15,-150.67,139.15,306.82,366.51,-0.61,-
Book Value Per Share,2.75,1.44,2.99,0.03,0.03,0.01,-
Tangible Book Value,438.85,157.55,327.79,318.02,287.96,145.83,-
Tangible Book Value Per Share,2.10,0.82,2.95,0.03,0.03,0.01,-
Land,-,3.13,2.06,0.48,0.48,0.48,-
Buildings,-,28.77,27.36,23.45,23.45,22.56,-
Machinery,-,268,232.44,165.6,144.1,140.43,-
Construction In Progress,-,144.1,30.1,16.51,33.59,1.16,-
Leasehold Improvements,-,120.34,117.81,104.52,48.43,28.93,-
