Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,464.44,349.78,368.55,333.34,394.66,186.39,88.77
Revenue Growth (YoY),17.40%,-5.09%,10.56%,-15.54%,111.74%,109.96%,-
Cost of Revenue,408.92,283.38,290.75,250.09,153.26,209.56,98.84
Gross Profit,55.52,66.4,77.81,83.25,241.41,-23.18,-10.07
"Selling, General & Admin",79.56,72.36,74.7,105.14,98.18,25.84,10.69
Research & Development,141.58,76.95,29.53,35.43,29.5,9.79,4.75
Other Operating Expenses,298.58,500.45,-4.91,2.81,-13.77,-0.52,3.22
Operating Expenses,519.72,649.76,99.33,143.37,113.92,35.1,18.65
Operating Income,-464.2,-583.36,-21.52,-60.12,127.49,-58.28,-28.72
Interest Expense,-70.25,-17.92,-5.08,-5.2,-2.44,-0.82,-0.96
Interest & Investment Income,7.87,7.87,7.95,4.29,2.95,0.42,1.17
Currency Exchange Gain (Loss),-1.59,-1.59,-1.02,-2.88,-0.23,0.62,0.39
Other Non Operating Income (Expenses),-0.3,-0.3,-0.58,-0.39,-0.22,-0.59,-0.14
EBT Excluding Unusual Items,-528.46,-595.29,-20.24,-64.3,127.55,-58.66,-28.25
Gain (Loss) on Sale of Investments,1.97,1.97,3.53,-0.63,-2.03,-,-
Gain (Loss) on Sale of Assets,0.1,0.1,-1.58,0.17,0.02,-2.92,-2.58
Asset Writedown,-,-,-,-,-,-2.21,-
Other Unusual Items,-8.37,-8.37,-32.67,-,5.35,-,-
Pretax Income,-534.76,-601.59,-50.97,-64.77,130.89,-63.79,-30.83
Income Tax Expense,2.1,-2.44,5.69,-4.4,48.25,-7.96,-2.93
Net Income,-536.86,-599.15,-56.66,-60.37,82.64,-55.83,-27.9
Net Income to Common,-536.86,-599.15,-56.66,-60.37,82.64,-55.83,-27.9
Shares Outstanding (Basic),189,137,110,109,109,"12,662","12,662"
Shares Outstanding (Diluted),189,137,110,109,111,"12,662","12,662"
Shares Change (YoY),52.58%,24.37%,1.67%,-2.30%,-99.12%,-,-
EPS (Basic),-2.84,-4.36,-0.51,-0.56,0.76,-0.00,-0.00
EPS (Diluted),-4.24,-4.36,-0.51,-0.56,0.75,-0.00,-0.00
Free Cash Flow,"-1,730",-749.29,-398.13,-331.24,-141.96,-253.06,-122.9
Free Cash Flow Per Share,-9.13,-5.45,-3.60,-3.05,-1.28,-0.02,-0.01
Gross Margin,11.95%,18.98%,21.11%,24.98%,61.17%,-12.44%,-11.34%
Operating Margin,-99.95%,-166.78%,-5.84%,-18.04%,32.30%,-31.27%,-32.35%
Profit Margin,-115.59%,-171.29%,-15.37%,-18.11%,20.94%,-29.95%,-31.43%
Free Cash Flow Margin,-372.39%,-214.22%,-108.03%,-99.37%,-35.97%,-135.77%,-138.44%
EBITDA,-354.43,-510.67,47.4,0.93,185.91,49.78,14.63
EBITDA Margin,-76.31%,-146.00%,12.86%,0.28%,47.11%,26.71%,16.48%
D&A For EBITDA,109.77,72.69,68.92,61.05,58.42,108.05,43.35
EBIT,-464.2,-583.36,-21.52,-60.12,127.49,-58.28,-28.72
EBIT Margin,-99.95%,-166.78%,-5.84%,-18.04%,32.30%,-31.27%,-32.35%
Effective Tax Rate,-,-,-,-,36.86%,-,-
Revenue as Reported,349.78,349.78,368.55,333.34,-,-,-
Advertising Expenses,-,3,1.38,0.74,0.88,2.19,0.8
