Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,798.33,803.55,639.14,945.92,922.1,539.52,457.25,530.35,523.4,556.15,361.3
Revenue Growth (YoY),-2.02%,25.72%,-32.43%,2.58%,70.91%,17.99%,-13.78%,1.33%,-5.89%,53.93%,24.88%
Cost of Revenue,420.03,434.79,368.75,480.09,461.31,279.37,235.08,269.54,272.21,281.54,176.77
Gross Profit,378.3,368.77,270.39,465.83,460.8,260.16,222.17,260.81,251.19,274.61,184.53
"Selling, General & Admin",62.49,58.8,54.84,62.98,50.64,40.41,42.99,46.91,42.8,45.43,37.98
Research & Development,236.79,217.82,174.36,188.53,164.29,121.78,110.31,102.03,102.05,89.81,68.71
Amortization of Goodwill & Intangibles,-,-,-,-,-,-,0.77,2.96,2.53,2.1,1.05
Operating Expenses,299.28,276.63,229.2,251.52,214.93,162.19,154.06,151.9,147.39,137.35,107.74
Operating Income,79.01,92.14,41.19,214.32,245.87,97.96,68.12,108.9,103.81,137.26,76.79
Interest Expense,-,-,-,-0.07,-,-0.01,-0,-0.38,-0.42,-0.13,-0.05
Interest & Investment Income,27.35,15.07,20.25,3.6,1.28,4.64,6.75,6.3,4.27,2.16,2.03
Earnings From Equity Investments,-,-,-,-,-,-,-,-0.47,-,-,-
Currency Exchange Gain (Loss),-1.31,1.39,0.91,-4.88,0.19,0.62,0.15,-0.62,-0.16,-0.69,0.08
Other Non Operating Income (Expenses),0,-,0.01,0,-0.08,-0.04,0.1,0.06,-0.02,0.04,0.01
EBT Excluding Unusual Items,105.06,108.6,62.36,212.97,247.26,103.17,75.11,113.8,107.48,138.64,78.86
Merger & Restructuring Charges,0.05,-,-,-,-,-,-,-,-,-,-0.36
Impairment of Goodwill,-,-,-,-,-,-17.49,-15.72,-0.63,-10.34,-,-
Gain (Loss) on Sale of Investments,0.41,0.06,-,-,-,0.17,0.52,0.13,-0.02,-0.01,0
Gain (Loss) on Sale of Assets,-,-,-,-,-,-0.29,12.41,-,1.88,-,-
Asset Writedown,-,-,-,-,-,-,-0.26,-3.44,-,-,-
Legal Settlements,-,-1.25,-1.31,-0.39,-,-,-,-,-,-,-
Pretax Income,105.52,107.41,61.05,212.58,247.26,85.56,72.07,109.86,99,138.63,78.5
Income Tax Expense,9.06,18.16,8.18,40.07,47.26,5.81,7.68,11.79,24.05,27.69,18.25
Net Income,96.46,89.25,52.87,172.51,200,79.75,64.4,98.07,74.96,110.94,60.25
Net Income to Common,96.46,89.25,52.87,172.51,200,79.75,64.4,98.07,74.96,110.94,60.25
Net Income Growth,8.65%,68.80%,-69.35%,-13.75%,150.80%,23.83%,-34.34%,30.84%,-32.44%,84.13%,35.50%
Shares Outstanding (Basic),34,34,33,33,35,35,35,36,36,35,35
Shares Outstanding (Diluted),34,34,33,33,35,35,35,36,36,36,35
Shares Change (YoY),0.08%,0.75%,0.24%,-4.58%,0.04%,-0.90%,-2.30%,0.63%,1.09%,1.73%,2.08%
EPS (Basic),2.87,2.65,1.59,5.19,5.74,2.29,1.83,2.72,2.10,3.15,1.75
EPS (Diluted),2.87,2.64,1.59,5.16,5.72,2.28,1.83,2.72,2.08,3.12,1.72
EPS Growth,8.75%,66.54%,-69.28%,-9.79%,150.88%,24.54%,-32.70%,30.77%,-33.33%,81.39%,30.30%
Free Cash Flow,-4.44,32.74,98.77,50.95,150.04,97.68,66.68,33.39,92.2,113.35,42.28
Free Cash Flow Per Share,-0.13,0.97,2.95,1.53,4.29,2.79,1.89,0.92,2.57,3.19,1.21
Dividend Per Share,-,2.000,0.500,1.500,1.550,1.400,1.250,1.200,0.900,0.650,0.600
Dividend Growth,-,300.00%,-66.67%,-3.23%,10.71%,12.00%,4.17%,33.33%,38.46%,8.33%,-
Gross Margin,47.39%,45.89%,42.30%,49.25%,49.97%,48.22%,48.59%,49.18%,47.99%,49.38%,51.08%
Operating Margin,9.90%,11.47%,6.44%,22.66%,26.66%,18.16%,14.90%,20.53%,19.83%,24.68%,21.25%
Profit Margin,12.08%,11.11%,8.27%,18.24%,21.69%,14.78%,14.08%,18.49%,14.32%,19.95%,16.68%
Free Cash Flow Margin,-0.56%,4.08%,15.45%,5.39%,16.27%,18.11%,14.58%,6.30%,17.61%,20.38%,11.70%
EBITDA,108.98,117.47,63,233.25,263.03,111.53,81.33,123.7,116.94,148.85,85.78
EBITDA Margin,13.65%,14.62%,9.86%,24.66%,28.52%,20.67%,17.79%,23.32%,22.34%,26.76%,23.74%
D&A For EBITDA,29.97,25.33,21.81,18.93,17.16,13.56,13.21,14.8,13.13,11.59,8.99
EBIT,79.01,92.14,41.19,214.32,245.87,97.96,68.12,108.9,103.81,137.26,76.79
EBIT Margin,9.90%,11.47%,6.44%,22.66%,26.66%,18.16%,14.90%,20.53%,19.83%,24.68%,21.25%
Effective Tax Rate,8.59%,16.91%,13.39%,18.85%,19.11%,6.79%,10.65%,10.73%,24.29%,19.97%,23.25%
