Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,198.58,276.07,314.3,232.18,360.08,342.96,323.17,284.99,359.45,274.48,180.52
Short-Term Investments,-,-,-,-,-,-,2.01,3.61,6.94,3.3,4.68
Cash & Short-Term Investments,198.58,276.07,314.3,232.18,360.08,342.96,325.18,288.6,366.39,277.79,185.2
Cash Growth,-36.74%,-12.16%,35.37%,-35.52%,4.99%,5.47%,12.67%,-21.23%,31.90%,49.99%,-4.98%
Receivables,201.58,233.74,194.7,206.11,208.57,115.83,108.73,91.76,79.14,73.6,58.98
Inventory,337.97,199.23,216.95,287.96,163.1,110.16,88.44,81.52,94.19,71.89,47.11
Prepaid Expenses,57.04,31.19,17.64,12.18,37.85,13.92,8.36,6.88,9.57,5.87,4.56
Restricted Cash,-,54.65,49.66,49.49,48.51,24.1,24.09,19.16,19.52,44.39,19.33
Other Current Assets,70.23,-,-,-,-,11.12,10.41,10.58,-,3.36,-
Total Current Assets,865.39,794.87,793.25,787.92,818.11,618.09,565.2,498.49,568.8,476.9,315.18
"Property, Plant & Equipment",211.08,195.9,176.95,143.75,123.62,105.97,103.47,96.51,45.94,43.8,35.2
Long-Term Investments,32.71,17.33,17.12,9.27,8.54,5,3,4.24,-,0.12,0.13
Goodwill,-,-,-,-,-,-,17.49,58.33,58.96,68.66,68.66
Other Intangible Assets,-,7.17,4.6,3.83,6.48,6.24,3.63,5.72,12.42,8.84,10.41
Long-Term Deferred Tax Assets,-,8.88,8.46,8.88,6.36,4.62,3.95,5.07,3.4,3.98,0.61
Other Long-Term Assets,27.85,7.19,7.59,7.59,8.22,2.15,1,4.25,4.21,3.73,15.44
Total Assets,"1,137","1,031","1,008",961.25,971.33,742.06,697.73,672.61,693.73,606.03,445.63
Accounts Payable,74.98,17.77,55.59,36.02,80.77,44.54,30.69,27.66,56.42,31.74,22.54
Accrued Expenses,157.5,77.27,72.14,74.47,72.69,52.65,43.48,36.88,41.28,40.54,29.62
Short-Term Debt,-,-,-,-,-,-,-,-,25,25,-
Current Portion of Leases,-,2.53,2.34,3.2,2.9,3.06,3.05,-,-,-,-
Current Income Taxes Payable,19.23,13.11,7.54,42.11,44.2,6.89,2.47,4.16,11.49,20.27,13.4
Current Unearned Revenue,-,5.03,3.66,6.91,2.4,-,-,-,-,-,-
Other Current Liabilities,-,83.8,71.54,21.15,78.57,51.61,51.81,44.95,43.05,28.43,22.73
Total Current Liabilities,251.72,199.5,212.81,183.87,281.52,158.74,131.49,113.65,177.24,145.99,88.29
Long-Term Leases,-,12.41,12.7,4.91,2.99,3.88,-,-,-,-,-
Other Long-Term Liabilities,51.51,47.14,47.76,39.87,29.19,21.69,29.46,26.69,22.44,17.28,12.84
Total Liabilities,303.22,259.05,273.27,228.65,313.7,184.32,160.95,140.34,199.68,163.26,101.13
Common Stock,833.8,1.35,1.34,1.32,1.4,1.38,1.39,1.45,1.43,1.41,1.4
Additional Paid-In Capital,-,337.98,321.05,303.56,294.66,275.13,265.21,263.23,242.49,226.66,209.24
Retained Earnings,-,432.62,411.16,425.12,412.13,281.58,270.97,301.86,247.49,215.72,133.23
Treasury Stock,-,-,-,-,-50.01,-,-,-34.76,-,-,-
Comprehensive Income & Other,-,0.34,1.15,2.6,-0.54,-0.35,-0.79,0.5,2.64,-1.03,0.63
Shareholders' Equity,833.8,772.28,734.7,732.6,657.63,557.74,536.78,532.28,494.05,442.76,344.5
Total Liabilities & Equity,"1,137","1,031","1,008",961.25,971.33,742.06,697.73,672.61,693.73,606.03,445.63
Total Debt,-,14.94,15.04,8.11,5.89,6.94,3.05,-,25,25,-
Net Cash (Debt),198.58,271.95,309.88,226.83,354.2,336.02,322.13,288.6,341.39,252.79,185.2
Net Cash Growth,-36.74%,-12.24%,36.61%,-35.96%,5.41%,4.31%,11.62%,-15.47%,35.05%,36.49%,-4.98%
Net Cash Per Share,5.89,8.06,9.26,6.79,10.12,9.61,9.13,7.99,9.51,7.12,5.31
Filing Date Shares Outstanding,33.56,33.98,33.68,33.41,34.44,34.93,35.15,36.52,36.11,35.74,35.27
Total Common Shares Outstanding,33.56,33.69,33.42,33.05,34.38,34.54,34.78,36.17,35.79,35.33,34.88
Working Capital,613.68,595.37,580.44,604.05,536.59,459.35,433.71,384.84,391.55,330.91,226.89
Book Value Per Share,24.85,22.92,21.98,22.16,19.13,16.15,15.43,14.72,13.80,12.53,9.88
Tangible Book Value,833.8,765.11,730.1,728.77,651.15,551.51,515.67,468.22,422.67,365.27,265.42
Tangible Book Value Per Share,24.85,22.71,21.85,22.05,18.94,15.97,14.83,12.95,11.81,10.34,7.61
Land,-,67.64,67.64,68.24,68.24,68.24,68.24,68.24,9.31,9.31,8.81
Buildings,-,28.51,28.67,29.31,30.01,18.13,18.13,18.13,30.29,29.23,21.25
Machinery,-,84.83,71.1,65.73,52.38,43.41,33.35,35.44,29.41,24.88,22.44
Construction In Progress,-,63.25,48.06,19.92,6.27,0.49,0.19,-,-,-,-
Leasehold Improvements,-,9.59,8.36,9.06,8.68,8.02,7.96,7.66,5.5,4.91,4.66
