Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,895","1,820","2,047","2,238","3,319","1,692","1,852","1,246","1,893","1,498","1,079"
Market Cap Growth,60.99%,-11.06%,-8.54%,-32.56%,96.12%,-8.62%,48.68%,-34.18%,26.33%,38.86%,35.31%
Enterprise Value,"2,679","1,507","1,751","2,039","2,955","1,349","1,539",941,"1,560","1,264",895
Last Close Price,85.47,52.41,57.56,60.54,86.96,43.09,43.89,28.91,43.22,34.00,24.70
PE Ratio,29.78,20.40,38.71,12.97,16.60,21.22,28.76,12.70,25.25,13.50,17.91
Forward PE,18.10,15.03,21.31,10.77,13.72,16.56,16.81,10.41,17.83,11.33,13.66
PS Ratio,3.60,2.27,3.20,2.37,3.60,3.14,4.05,2.35,3.62,2.69,2.99
PB Ratio,3.44,2.36,2.79,3.06,5.05,3.03,3.45,2.34,3.83,3.38,3.13
P/TBV Ratio,3.45,2.38,2.80,3.07,5.10,3.07,3.59,2.66,4.48,4.10,4.07
P/FCF Ratio,-,55.60,20.72,43.93,22.12,17.32,27.77,37.31,20.53,13.22,25.52
P/OCF Ratio,53.66,23.61,13.73,26.68,19.00,14.44,23.84,11.51,18.22,11.93,16.36
PEG Ratio,0.86,0.88,1.58,0.54,0.95,1.18,2.40,0.52,0.89,0.57,0.68
EV/Sales Ratio,3.36,1.88,2.74,2.15,3.20,2.50,3.37,1.78,2.98,2.27,2.48
EV/EBITDA Ratio,24.58,12.83,27.80,8.74,11.23,12.10,18.93,7.61,13.34,8.49,10.44
EV/EBIT Ratio,33.90,16.35,42.52,9.51,12.02,13.77,22.60,8.64,15.03,9.21,11.66
EV/FCF Ratio,-,46.01,17.73,40.02,19.69,13.81,23.08,28.19,16.92,11.15,21.17
Debt / Equity Ratio,-,0.02,0.02,0.01,0.01,0.01,0.01,-,0.05,0.06,-
Debt / EBITDA Ratio,-,0.12,0.22,0.03,0.02,0.06,0.04,-,0.21,0.17,-
Debt / FCF Ratio,-,0.46,0.15,0.16,0.04,0.07,0.05,-,0.27,0.22,-
Asset Turnover,0.73,0.79,0.65,0.98,1.08,0.75,0.67,0.78,0.81,1.06,0.89
Inventory Turnover,1.52,2.09,1.46,2.13,3.38,2.81,2.77,3.07,3.28,4.73,3.88
Quick Ratio,1.59,2.56,2.39,2.38,2.02,2.89,3.30,3.35,2.51,2.41,2.77
Current Ratio,3.44,3.98,3.73,4.29,2.91,3.89,4.30,4.39,3.21,3.27,3.57
Return on Equity (ROE),11.74%,11.85%,7.21%,24.82%,32.91%,14.57%,12.05%,19.11%,16.00%,28.18%,18.58%
Return on Assets (ROA),4.52%,5.65%,2.61%,13.86%,17.94%,8.51%,6.21%,9.96%,9.98%,16.31%,11.82%
Return on Capital (ROIC),6.01%,7.49%,3.45%,19.08%,25.02%,11.09%,7.94%,12.95%,13.15%,21.12%,14.80%
Return on Capital Employed (ROCE),8.90%,11.10%,5.20%,27.60%,35.60%,16.80%,12.00%,19.50%,20.10%,29.80%,21.50%
Earnings Yield,3.35%,4.90%,2.58%,7.71%,6.03%,4.71%,3.48%,7.87%,3.96%,7.41%,5.58%
FCF Yield,-0.15%,1.80%,4.83%,2.28%,4.52%,5.77%,3.60%,2.68%,4.87%,7.57%,3.92%
Dividend Yield,2.34%,3.82%,0.87%,2.48%,1.78%,3.25%,2.85%,4.15%,2.08%,1.91%,2.43%
Payout Ratio,69.34%,75.36%,31.57%,28.95%,27.02%,61.32%,68.37%,44.13%,42.85%,20.64%,34.46%
Buyback Yield / Dilution,-0.08%,-0.75%,-0.24%,4.58%,-0.04%,0.90%,2.30%,-0.63%,-1.09%,-1.73%,-2.08%
Total Shareholder Return,2.28%,3.06%,0.63%,7.06%,1.74%,4.15%,5.15%,3.52%,0.99%,0.18%,0.35%
