Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,867",294,72,54,85,88,127,65,138,173,235
Market Cap Growth,7504.29%,309.50%,32.57%,-36.04%,-3.62%,-30.74%,94.55%,-52.61%,-20.64%,-26.35%,-
Enterprise Value,"6,451",171,27,3,54,52,65,-13,83,94,121
Last Close Price,217.91,26.88,15.88,15.13,25.40,40.00,76.80,47.00,136.00,208.00,343.20
PS Ratio,-,230.62,3.08,2.31,1.71,7.28,6.07,-,-,-,-
PB Ratio,15.13,1.80,-8.75,-3.75,3.93,8.20,3.35,1.10,2.30,1.97,2.27
P/TBV Ratio,16.26,1.80,-,-,3.93,8.20,3.35,1.10,2.30,1.97,2.27
EV/Sales Ratio,-,133.80,1.18,0.12,1.10,4.28,3.11,-,-,-,-
Debt / Equity Ratio,0.01,0.02,-0.59,-0.08,0.24,0.74,0.31,0.17,0.17,0.11,-
Asset Turnover,-,0.01,0.41,0.38,0.73,0.19,0.28,-,-,-,-
Quick Ratio,4.40,3.87,0.74,0.93,1.91,1.22,1.67,3.88,6.26,11.74,18.00
Current Ratio,4.62,4.25,0.90,1.09,2.11,1.48,2.18,3.88,6.43,11.83,18.11
Return on Equity (ROE),-68.70%,-219.59%,-,-608.89%,-263.05%,-297.06%,-84.75%,-99.28%,-75.35%,-50.15%,-51.50%
Return on Assets (ROA),-29.35%,-40.46%,-29.54%,-22.29%,-38.91%,-69.41%,-35.22%,-50.02%,-37.45%,-27.91%,-30.07%
Return on Capital (ROIC),-36.75%,-69.72%,-,-204.17%,-116.57%,-131.62%,-43.96%,-57.04%,-41.56%,-29.99%,-32.31%
Return on Capital Employed (ROCE),-37.80%,-55.20%,6974.20%,-359.80%,-102.30%,-328.70%,-107.60%,-106.90%,-83.20%,-49.40%,-31.10%
Earnings Yield,-2.69%,-57.76%,-31.94%,-62.00%,-50.14%,-82.06%,-32.39%,-90.49%,-40.49%,-27.78%,-13.67%
FCF Yield,-1.94%,-60.08%,-31.94%,-52.79%,-29.84%,-62.13%,-22.52%,-87.22%,-36.49%,-23.17%,-11.52%
Buyback Yield / Dilution,-229.65%,-45.26%,-25.15%,-33.18%,-26.22%,-38.83%,-15.71%,-47.82%,-20.79%,-46.05%,-1110.01%
