Period Ending,"Nov '25Nov 13, 2025","Mar '25Mar 29, 2025","Mar '24Mar 30, 2024","Apr '23Apr 1, 2023","Apr '22Apr 2, 2022","Apr '21Apr 3, 2021","Mar '20Mar 28, 2020","Mar '19Mar 30, 2019","Mar '18Mar 31, 2018","Apr '17Apr 1, 2017","Apr '16Apr 2, 2016"
Market Capitalization,"7,965","6,678","11,087","10,146","13,176","21,848","9,335","8,808","8,911","8,670","6,561"
Market Cap Growth,-16.26%,-39.77%,9.27%,-23.00%,-39.70%,134.06%,5.98%,-1.17%,2.79%,32.14%,-44.26%
Enterprise Value,"8,411","7,458","12,045","11,275","14,235","22,363","9,879","8,872","9,159","9,163","6,524"
Last Close Price,86.20,71.50,114.83,101.57,121.51,192.90,80.69,71.73,70.45,68.56,50.82
PE Ratio,37.51,120.07,-,98.36,12.75,29.78,27.92,66.16,-,-,-
Forward PE,13.31,13.91,16.05,33.57,9.43,18.72,13.24,13.36,12.25,13.29,11.32
PS Ratio,2.20,1.80,2.94,2.84,2.84,5.44,2.88,2.85,3.00,2.86,2.51
PB Ratio,2.27,1.97,3.12,2.60,2.89,4.72,2.17,2.02,1.87,1.77,1.31
P/TBV Ratio,8.89,9.16,21.64,16.79,11.95,15.88,10.74,4.96,5.12,6.56,6.24
P/FCF Ratio,14.90,13.78,15.70,14.83,15.76,19.60,11.94,14.94,15.29,38.68,17.62
P/OCF Ratio,11.71,10.73,13.31,12.03,12.56,16.78,9.87,10.87,10.45,11.16,9.54
PEG Ratio,1.52,1.51,0.67,3.06,0.67,1.17,1.13,1.02,0.86,0.92,0.78
EV/Sales Ratio,2.30,2.01,3.20,3.16,3.06,5.57,3.05,2.87,3.08,3.02,2.50
EV/EBITDA Ratio,11.70,11.08,16.57,17.39,8.56,16.09,10.43,9.60,10.67,11.29,9.02
EV/EBIT Ratio,19.11,19.83,29.67,36.41,10.93,23.95,20.65,33.95,63.52,85.59,134.05
EV/FCF Ratio,15.74,15.39,17.06,16.48,17.03,20.06,12.64,15.05,15.72,40.88,17.52
Debt / Equity Ratio,0.44,0.48,0.58,0.55,0.47,0.39,0.38,0.21,0.21,0.20,0.20
Debt / EBITDA Ratio,2.06,2.29,2.70,3.13,1.25,1.28,1.69,1.00,1.15,1.22,1.37
Debt / FCF Ratio,2.90,3.33,2.91,3.12,2.55,1.63,2.11,1.56,1.69,4.41,2.65
Asset Turnover,0.58,0.60,0.57,0.50,0.63,0.58,0.52,0.51,0.46,0.46,0.39
Inventory Turnover,3.15,3.19,3.00,2.87,3.73,4.16,3.72,3.81,4.05,4.42,4.03
Quick Ratio,2.07,1.81,1.18,2.05,2.34,2.77,2.05,2.57,2.98,2.31,2.61
Current Ratio,2.95,2.77,1.99,3.65,3.63,3.64,3.14,3.87,4.18,3.49,4.04
Return on Equity (ROE),6.30%,1.60%,-1.88%,2.44%,22.51%,16.45%,7.73%,2.91%,-0.83%,-0.34%,-0.52%
Return on Assets (ROA),4.37%,3.77%,3.83%,2.73%,11.05%,8.47%,4.83%,2.68%,1.40%,1.02%,0.45%
Return on Capital (ROIC),5.27%,4.43%,4.36%,3.04%,12.40%,9.43%,5.33%,2.96%,1.55%,1.13%,0.50%
Return on Capital Employed (ROCE),8.30%,7.30%,7.60%,5.00%,19.10%,14.30%,7.90%,4.90%,2.40%,1.80%,0.80%
Earnings Yield,2.74%,0.83%,-0.63%,1.02%,7.84%,3.36%,3.58%,1.51%,-0.45%,-0.19%,-0.44%
FCF Yield,6.71%,7.26%,6.37%,6.74%,6.34%,5.10%,8.37%,6.69%,6.54%,2.58%,5.67%
Buyback Yield / Dilution,1.34%,2.16%,5.30%,7.64%,3.85%,2.75%,6.33%,-0.32%,0.14%,10.44%,-52.28%
