Period Ending,"Sep '25Sep 27, 2025","Mar '25Mar 29, 2025","Mar '24Mar 30, 2024","Apr '23Apr 1, 2023","Apr '22Apr 2, 2022","Apr '21Apr 3, 2021","Mar '20Mar 28, 2020","Mar '19Mar 30, 2019","Mar '18Mar 31, 2018","Apr '17Apr 1, 2017","Apr '16Apr 2, 2016"
Revenue,"3,663","3,719","3,770","3,569","4,646","4,015","3,239","3,090","2,974","3,033","2,611"
Revenue Growth (YoY),-7.22%,-1.34%,5.61%,-23.17%,15.70%,23.96%,4.82%,3.93%,-1.95%,16.16%,52.59%
Cost of Revenue,"2,044","2,156","2,259","2,226","2,356","2,132","1,913","1,874","1,827","1,897","1,561"
Gross Profit,"1,619","1,563","1,511","1,344","2,290","1,884","1,326","1,217","1,147","1,136","1,050"
"Selling, General & Admin",396.15,403.62,389.14,358.79,349.72,367.24,343.57,476.07,527.75,545.59,534.1
Research & Development,736.73,747.71,682.25,649.84,623.64,570.4,484.41,450.48,445.1,470.84,448.76
Other Operating Expenses,46.29,35.86,33.56,25.24,14.35,12.01,19.66,28.61,29.93,12.03,18.02
Operating Expenses,"1,179","1,187","1,105","1,034",987.7,949.64,847.65,955.16,"1,003","1,028","1,001"
Operating Income,440.2,376.13,405.95,309.67,"1,302",933.93,478.32,261.37,144.18,107.06,48.67
Interest Expense,-75.91,-78.33,-69.25,-68.46,-63.33,-75.2,-60.39,-43.96,-59.55,-58.88,-23.32
Interest & Investment Income,42.5,47.1,38.3,21.1,2.7,-,-,-,7.02,1.21,2.07
Earnings From Equity Investments,12.5,-,-,-,12,21.5,-,-,-,-,-
Currency Exchange Gain (Loss),-0.3,-0.3,0.4,-,-,-,-,-,-,-,-
Other Non Operating Income (Expenses),2.49,1.3,10.6,-11.18,3.64,-45.55,-10.74,9.49,0.32,-3.09,-
EBT Excluding Unusual Items,421.48,345.9,386.01,251.13,"1,257",834.68,407.18,226.9,91.97,46.31,27.42
Merger & Restructuring Charges,-284.25,-280.6,-92.8,-114.09,-28,-27.3,-55.1,-44.9,-73.9,-19,-36.7
Impairment of Goodwill,113.07,-,-221.41,-12.41,-48,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,43.01,-,-,-,6.42
Gain (Loss) on Sale of Assets,-,-,-0.04,-,-,-,-,-,-,-,-
Other Unusual Items,0.6,0.6,1.8,-,-,-,-,-90.2,-0.93,-,-
Pretax Income,250.9,65.9,73.56,124.63,"1,181",807.38,395.09,91.79,17.15,27.31,-2.86
Income Tax Expense,33.07,10.28,143.88,21.48,147.73,73.77,60.76,-41.33,57.43,43.86,25.98
Net Income,217.83,55.62,-70.32,103.15,"1,033",733.61,334.33,133.13,-40.29,-16.56,-28.85
Net Income to Common,217.83,55.62,-70.32,103.15,"1,033",733.61,334.33,133.13,-40.29,-16.56,-28.85
Net Income Growth,-,-,-,-90.02%,40.86%,119.43%,151.14%,-,-,-,-
Shares Outstanding (Basic),93,95,98,102,110,114,117,125,127,127,142
Shares Outstanding (Diluted),95,95,98,103,112,116,119,127,127,127,142
Shares Change (YoY),-1.34%,-2.16%,-5.30%,-7.64%,-3.85%,-2.75%,-6.33%,0.32%,-0.14%,-10.44%,52.28%
EPS (Basic),2.33,0.59,-0.72,1.01,9.38,6.43,2.86,1.07,-0.32,-0.13,-0.20
EPS (Diluted),2.30,0.58,-0.72,1.00,9.26,6.32,2.80,1.05,-0.32,-0.13,-0.20
EPS Growth,-,-,-,-89.20%,46.52%,125.71%,166.67%,-,-,-,-
Free Cash Flow,534.51,484.6,705.96,684.28,835.78,"1,115",781.54,589.43,582.69,224.12,372.3
Free Cash Flow Per Share,5.64,5.08,7.24,6.64,7.49,9.61,6.55,4.63,4.59,1.76,2.62
Gross Margin,44.21%,42.04%,40.08%,37.64%,49.29%,46.91%,40.94%,39.37%,38.57%,37.44%,40.20%
Operating Margin,12.02%,10.11%,10.77%,8.68%,28.03%,23.26%,14.77%,8.46%,4.85%,3.53%,1.86%
Profit Margin,5.95%,1.49%,-1.87%,2.89%,22.24%,18.27%,10.32%,4.31%,-1.35%,-0.55%,-1.10%
Free Cash Flow Margin,14.59%,13.03%,18.73%,19.17%,17.99%,27.77%,24.13%,19.07%,19.60%,7.39%,14.26%
EBITDA,718.97,672.97,726.88,648.52,"1,663","1,390",947.25,924.47,858.4,811.64,723.62
EBITDA Margin,19.63%,18.10%,19.28%,18.17%,35.81%,34.62%,29.24%,29.92%,28.87%,26.76%,27.72%
D&A For EBITDA,278.77,296.84,320.93,338.85,361.42,456.1,468.93,663.1,714.22,704.58,674.95
EBIT,440.2,376.13,405.95,309.67,"1,302",933.93,478.32,261.37,144.18,107.06,48.67
EBIT Margin,12.02%,10.11%,10.77%,8.68%,28.03%,23.26%,14.77%,8.46%,4.85%,3.53%,1.86%
Effective Tax Rate,13.18%,15.61%,195.60%,17.23%,12.51%,9.14%,15.38%,-,334.98%,160.64%,-
