Period Ending,"Sep '25Sep 27, 2025","Mar '25Mar 29, 2025","Mar '24Mar 30, 2024","Apr '23Apr 1, 2023","Apr '22Apr 2, 2022","Apr '21Apr 3, 2021","Mar '20Mar 28, 2020","Mar '19Mar 30, 2019","Mar '18Mar 31, 2018","Apr '17Apr 1, 2017","Apr '16Apr 2, 2016"
Cash & Equivalents,"1,103","1,021","1,029",808.76,972.59,"1,398",714.94,711.04,926.04,545.46,425.88
Short-Term Investments,-,-,-,1.09,2.91,3.8,0.46,0.9,-,-,186.81
Cash & Short-Term Investments,"1,103","1,021","1,029",809.85,975.5,"1,402",715.4,711.94,926.04,545.46,612.69
Cash Growth,0.62%,-0.78%,27.09%,-16.98%,-30.40%,95.93%,0.49%,-23.12%,69.77%,-10.97%,12.49%
Accounts Receivable,543.39,386.72,412.96,304.52,568.85,457.43,367.17,378.17,345.96,357.95,316.36
Other Receivables,16.85,11.02,14.43,26.54,32.15,27.32,20.42,28.13,44.8,65.25,47.38
Receivables,560.24,397.74,427.39,331.05,601,484.76,387.59,406.31,390.75,423.2,363.74
Inventory,605.34,640.99,710.56,796.6,755.75,507.79,517.2,511.79,472.29,430.45,427.55
Prepaid Expenses,33.52,32.81,40.56,46.68,49.84,41.57,37.87,25.77,23.91,36.23,63.85
Other Current Assets,74.46,74.56,238.27,45.61,67.78,48.01,32.45,29.04,30.82,26.26,41.38
Total Current Assets,"2,377","2,167","2,446","2,030","2,450","2,484","1,691","1,685","1,844","1,462","1,509"
"Property, Plant & Equipment",780.91,860.41,932.28,"1,233","1,327","1,329","1,324","1,367","1,374","1,392","1,047"
Long-Term Investments,17.49,23.43,23.25,20.41,31.09,35.37,22.52,97.79,63.77,35.49,26.05
Goodwill,"2,390","2,390","2,535","2,761","2,776","2,643","2,614","2,174","2,174","2,174","2,136"
Other Intangible Assets,224.5,273.48,509.38,537.7,674.79,611.16,808.89,408.21,860.34,"1,401","1,813"
Long-Term Deferred Tax Assets,-,101.44,25.4,38.06,36.82,59.06,45.75,30.02,22.39,17.55,18.34
Other Long-Term Assets,306.42,117.36,83.69,71.83,213.6,60.42,54.44,46.77,43.22,41.27,48.12
Total Assets,"6,096","5,933","6,555","6,692","7,509","7,221","6,561","5,808","6,382","6,522","6,597"
Accounts Payable,284.84,260.66,252.99,210.7,327.92,313.87,246.95,233.31,213.19,216.25,205.36
Accrued Expenses,287.47,287.98,336.77,222.46,240.19,255.06,217.8,151.9,161.08,168.98,136.29
Current Portion of Long-Term Debt,-,-,438.74,0.31,0.79,5.09,6.89,0.08,-,-,-
Current Portion of Leases,-,16.56,15.6,19.36,17.39,15.07,15.92,-,-,-,-
Current Income Taxes Payable,-,54.7,59.9,63.6,87.8,86.7,50.8,41.6,60,31.7,29.9
Other Current Liabilities,232.27,163.28,126.09,39.33,1.04,5.79,0.64,8.73,7,1.9,2.25
Total Current Liabilities,804.58,783.18,"1,230",555.76,675.13,681.58,539,435.61,441.28,418.83,373.8
Long-Term Debt,"1,549","1,549","1,549","2,046","2,045","1,741","1,565",919.19,983.29,989.15,988.13
Long-Term Leases,-,45.28,50.58,70.82,64.09,54.79,60.33,1.75,-,-,-
Long-Term Deferred Tax Liabilities,-,10.81,34.21,14.65,84.63,41.91,39.35,0.33,63.08,131.51,152.16
Other Long-Term Liabilities,232.29,152.33,134.12,101.47,87.49,72.83,64.36,91.46,118.3,86.11,83.06
Total Liabilities,"2,586","2,541","2,998","2,789","2,956","2,592","2,268","1,448","1,606","1,626","1,597"
Common Stock,"3,431","3,431","3,651","3,821","4,036","4,245","4,290","4,687","5,237","5,357","5,443"
Retained Earnings,72.89,-33.98,-89.6,84.5,512.14,355.04,-,-321.15,-458.77,-456.37,-439.81
Comprehensive Income & Other,5.48,-5.01,-5.1,-3.18,5.23,29.65,2.29,-6.62,-2.75,-4.31,-3.13
Shareholders' Equity,"3,510","3,392","3,556","3,903","4,553","4,629","4,293","4,360","4,776","4,897","5,000"
Total Liabilities & Equity,"6,096","5,933","6,555","6,692","7,509","7,221","6,561","5,808","6,382","6,522","6,597"
Total Debt,"1,549","1,611","2,054","2,137","2,127","1,816","1,648",921.02,983.29,989.15,988.13
Net Cash (Debt),-445.9,-589.88,"-1,025","-1,327","-1,151",-414.2,-932.72,-209.08,-57.25,-443.69,-375.44
Net Cash Per Share,-4.71,-6.18,-10.51,-12.88,-10.32,-3.57,-7.82,-1.64,-0.45,-3.49,-2.65
Filing Date Shares Outstanding,92.4,93.03,95.63,98.74,106.03,112.59,114.73,119.15,126.49,127.1,127.53
Total Common Shares Outstanding,92.58,92.92,95.8,98.65,106.3,112.56,114.63,119.06,126.32,126.46,127.39
Working Capital,"1,572","1,384","1,216","1,474","1,775","1,802","1,151","1,249","1,403","1,043","1,135"
Book Value Per Share,37.91,36.51,37.12,39.56,42.83,41.13,37.45,36.62,37.80,38.72,39.25
Tangible Book Value,895.61,729.09,512.39,604.28,"1,103","1,376",869.5,"1,778","1,741","1,322","1,051"
Tangible Book Value Per Share,9.67,7.85,5.35,6.13,10.37,12.22,7.59,14.93,13.78,10.46,8.25
Land,-,23.04,23.04,25.84,25.84,25.84,25.84,26,23.78,25.03,25.26
Buildings,-,366.06,354.04,463.89,432.31,411.18,404.08,416.21,389.23,384.78,337.88
Machinery,-,"2,160","2,091","2,430","2,402","2,282","2,146","2,025","1,660","1,659","1,254"
Construction In Progress,-,98.22,86.23,130.09,128.32,108.56,99.17,117.71,212.87,304.05,181.82
