Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"3,342","1,630",305,901,"1,043","1,225",-,-,-
Market Cap Growth,244.01%,434.82%,-66.18%,-13.58%,-14.88%,-,-,-,-
Enterprise Value,"3,259","1,508",283,626,681,"1,039",-,-,-
Last Close Price,26.17,13.93,3.23,14.80,20.74,28.13,-,-,-
PS Ratio,10.40,8.30,5.11,244.56,-,-,-,-,-
PB Ratio,19.91,10.35,3.44,4.30,3.50,4.53,-,-,-
P/TBV Ratio,23.38,11.01,3.71,4.45,3.50,4.53,-,-,-
EV/Sales Ratio,10.25,7.67,4.75,169.88,-,-,-,-,-
Debt / Equity Ratio,0.72,0.70,2.32,0.97,0.26,0.02,0.00,-,0.45
Asset Turnover,0.79,0.57,0.15,0.01,-,-,-,-,-
Inventory Turnover,1.75,1.38,0.48,-,-,-,-,-,-
Quick Ratio,3.07,3.72,6.38,11.06,11.61,12.61,19.36,19.06,4.94
Current Ratio,3.50,4.14,7.08,11.57,12.09,12.96,20.33,19.12,5.52
Return on Equity (ROE),-28.17%,-113.76%,-175.79%,-122.80%,-72.62%,-72.93%,-56.10%,-76.37%,-
Return on Assets (ROA),-5.91%,-23.25%,-38.12%,-43.97%,-36.55%,-42.14%,-34.10%,-44.92%,-
Return on Capital (ROIC),-7.51%,-28.52%,-42.64%,-47.89%,-39.67%,-45.26%,-35.94%,-48.00%,-
Return on Capital Employed (ROCE),-14.10%,-47.90%,-81.80%,-73.30%,-55.10%,-49.60%,-42.40%,-40.80%,-131.30%
Earnings Yield,-1.33%,-8.59%,-85.99%,-34.55%,-19.78%,-11.07%,-,-,-
FCF Yield,-1.00%,-6.89%,-81.18%,-28.63%,-16.84%,-9.25%,-,-,-
Buyback Yield / Dilution,-11.93%,-74.53%,-25.94%,-11.39%,-38.52%,-1835.11%,-48.68%,-78.29%,-
