Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2017 - 2019
Cash & Equivalents,47.12,71.34,88.4,53.64,96.45,65.08,Upgrade
Short-Term Investments,143.95,156.62,183.46,355.95,290.61,219.36,Upgrade
Cash & Short-Term Investments,191.07,227.96,271.86,409.59,387.06,284.44,Upgrade
Cash Growth,-42.20%,-16.15%,-33.63%,5.82%,36.08%,180.89%,Upgrade
Accounts Receivable,115.12,73.07,25.81,8.46,-,-,Upgrade
Other Receivables,-,-,-,-,-,0.51,Upgrade
Receivables,115.12,73.07,25.81,8.46,-,0.51,Upgrade
Inventory,22.42,14.53,13.13,7.51,-,-,Upgrade
Prepaid Expenses,11.05,12.29,10.1,7.39,14.17,6.33,Upgrade
Restricted Cash,0.31,0.62,0.93,1.23,1.54,1.54,Upgrade
Other Current Assets,9.26,7.37,8.61,3.23,-,-,Upgrade
Total Current Assets,349.22,335.82,330.43,437.41,402.77,292.83,Upgrade
"Property, Plant & Equipment",5.78,2.99,3.9,4.6,5.3,5.37,Upgrade
Other Intangible Assets,15.38,9.48,6.44,7.19,-,-,Upgrade
Other Long-Term Assets,0.6,0.6,0.6,0.08,0.08,0.08,Upgrade
Total Assets,370.98,348.89,341.37,449.27,408.15,298.27,Upgrade
Accounts Payable,5.8,14.22,11.99,8.83,7.35,7.14,Upgrade
Accrued Expenses,92.98,65.97,33.94,28.32,25.54,15.29,Upgrade
Current Portion of Leases,-,0.82,0.74,0.66,0.43,-,Upgrade
Other Current Liabilities,-,-,-,-,-,0.18,Upgrade
Total Current Liabilities,99.77,81.01,46.67,37.81,33.33,22.6,Upgrade
Long-Term Debt,107.5,107.2,201.8,197.77,72.35,-,Upgrade
Long-Term Leases,5.28,2.56,3.38,4.12,4.77,4.96,Upgrade
Other Long-Term Liabilities,0.36,0.57,0.85,-,0.03,0.08,Upgrade
Total Liabilities,212.9,191.35,252.7,239.69,110.48,27.65,Upgrade
Common Stock,0.01,0.01,0.01,0.01,0.01,0,Upgrade
Additional Paid-In Capital,"1,314","1,279","1,071",930.43,706.23,472.57,Upgrade
Retained Earnings,"-1,155","-1,122",-981.9,-719.76,-408.31,-201.95,Upgrade
Comprehensive Income & Other,-0.06,-0.01,0,-1.09,-0.26,-0,Upgrade
Total Common Equity,158.07,157.54,88.67,209.58,297.68,270.62,Upgrade
Shareholders' Equity,158.07,157.54,88.67,209.58,297.68,270.62,Upgrade
Total Liabilities & Equity,370.98,348.89,341.37,449.27,408.15,298.27,Upgrade
Total Debt,113.77,110.59,205.92,202.54,77.56,4.96,Upgrade
Net Cash (Debt),77.29,117.37,65.95,207.05,309.5,279.48,Upgrade
Net Cash Growth,-36.84%,77.98%,-68.15%,-33.10%,10.74%,176.83%,Upgrade
Net Cash Per Share,0.61,0.97,0.95,3.76,6.26,7.84,Upgrade
Filing Date Shares Outstanding,122.49,118.64,96.81,61.08,50.38,50.08,Upgrade
Total Common Shares Outstanding,120.29,117.85,96.79,61.04,50.26,43.34,Upgrade
Working Capital,249.45,254.81,283.76,399.6,369.45,270.22,Upgrade
Book Value Per Share,1.31,1.34,0.92,3.43,5.92,6.24,Upgrade
Tangible Book Value,142.7,148.06,82.23,202.39,297.68,270.62,Upgrade
Tangible Book Value Per Share,1.19,1.26,0.85,3.32,5.92,6.24,Upgrade
Machinery,-,1.93,1.79,1.36,1.12,0.52,Upgrade
Construction In Progress,-,-,-,-,-,0.3,Upgrade
Leasehold Improvements,-,1.57,1.57,1.57,1.57,1.28,Upgrade
