Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Operating Revenue,313.93,166.54,29.19,3.69,-,-,-,-,-
Other Revenue,4,30,30.42,-,-,-,-,-,-
Revenue,317.93,196.54,59.61,3.69,-,-,-,-,-
Revenue Growth (YoY),129.21%,229.73%,1517.09%,-,-,-,-,-,-
Cost of Revenue,31.91,19.13,4.99,0.75,-,-,-,-,-
Gross Profit,286.02,177.41,54.62,2.93,-,-,-,-,-
"Selling, General & Admin",253.18,229.39,185.15,122.12,60.97,21.34,6.61,1.8,0.7
Research & Development,71.08,76.42,110.58,182.44,145.56,115.31,36.52,17.94,3.41
Operating Expenses,324.26,305.81,295.72,304.56,206.53,136.65,43.13,19.74,4.11
Operating Income,-38.25,-128.4,-241.1,-301.63,-206.53,-136.65,-43.13,-19.74,-4.11
Interest Expense,-14.63,-27.17,-29.71,-15.65,-,-,-,-,-
Interest & Investment Income,9.58,16.17,11.79,5.82,0.17,0.97,1.14,0.48,-
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-0.87
Pretax Income,-43.3,-139.39,-259.03,-311.46,-206.36,-135.68,-42,-19.26,-4.98
Income Tax Expense,1.02,0.65,3.11,-,-,-,-,-,-
Net Income,-44.32,-140.04,-262.14,-311.46,-206.36,-135.68,-42,-19.26,-4.98
Net Income to Common,-44.32,-140.04,-262.14,-311.46,-206.36,-135.68,-42,-19.26,-4.98
Shares Outstanding (Basic),126,121,69,55,49,36,2,1,1
Shares Outstanding (Diluted),126,121,69,55,49,36,2,1,1
Shares Change (YoY),11.93%,74.53%,25.94%,11.39%,38.52%,1835.11%,48.68%,78.29%,-
EPS (Basic),-0.35,-1.16,-3.78,-5.66,-4.18,-3.80,-22.78,-15.53,-7.16
EPS (Diluted),-0.35,-1.16,-3.78,-5.66,-4.18,-3.80,-22.78,-15.53,-7.16
Free Cash Flow,-33.24,-112.3,-247.49,-258.05,-175.62,-113.35,-43.13,-14.09,-3.78
Free Cash Flow Per Share,-0.26,-0.93,-3.57,-4.69,-3.56,-3.18,-23.40,-11.36,-5.43
Gross Margin,89.96%,90.27%,91.63%,79.54%,-,-,-,-,-
Operating Margin,-12.03%,-65.33%,-404.49%,-8183.04%,-,-,-,-,-
Profit Margin,-13.94%,-71.25%,-439.79%,-8449.76%,-,-,-,-,-
Free Cash Flow Margin,-10.46%,-57.14%,-415.20%,-7000.76%,-,-,-,-,-
EBITDA,-33.19,-125.8,-239.58,-300.69,-206.08,-136.52,-43.06,-,-
EBITDA Margin,-10.44%,-64.01%,-,-,-,-,-,-,-
D&A For EBITDA,5.06,2.6,1.52,0.93,0.45,0.12,0.07,-,-
EBIT,-38.25,-128.4,-241.1,-301.63,-206.53,-136.65,-43.13,-19.74,-4.11
EBIT Margin,-12.03%,-65.33%,-,-,-,-,-,-,-
Revenue as Reported,317.93,196.54,59.61,3.69,-,-,-,-,-
Advertising Expenses,-,6.9,11.2,1.5,-,-,-,-,-
