Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,349",486,368,304,197,94,109,244,191,-,-
Market Cap Growth,664.68%,32.17%,21.13%,54.26%,108.63%,-13.54%,-55.24%,27.56%,-,-,-
Enterprise Value,"4,217",319,271,261,121,81,89,221,159,-,-
Last Close Price,94.23,13.09,14.57,14.01,13.19,9.16,10.64,23.99,18.95,-,-
PB Ratio,34.86,4.20,2.63,2.27,2.86,8.06,5.65,9.61,6.09,-,-
P/TBV Ratio,37.20,4.20,2.63,2.27,2.86,8.06,5.65,9.61,6.09,-,-
Debt / Equity Ratio,2.74,0.85,0.27,0.26,0.22,0.02,0.01,0.00,-,-,-
Quick Ratio,11.73,7.46,12.78,24.50,33.77,10.00,20.79,37.62,41.91,13.16,17.87
Current Ratio,12.26,7.71,13.43,25.46,34.06,10.27,21.12,38.08,42.36,13.28,18.06
Return on Equity (ROE),-122.04%,-87.54%,-46.63%,-39.88%,-73.63%,-61.12%,-32.97%,-26.37%,-33.79%,-62.30%,-
Return on Assets (ROA),-26.60%,-32.45%,-22.56%,-18.82%,-35.85%,-35.94%,-21.07%,-17.10%,-19.57%,-36.63%,-
Return on Capital (ROIC),-29.13%,-36.23%,-23.91%,-19.49%,-37.09%,-37.90%,-21.72%,-17.47%,-20.11%,-39.15%,-
Return on Capital Employed (ROCE),-36.50%,-53.10%,-37.40%,-23.30%,-34.00%,-81.20%,-40.30%,-31.30%,-19.00%,-59.30%,-45.10%
Earnings Yield,-3.74%,-23.00%,-17.34%,-13.30%,-15.04%,-10.04%,-6.75%,-3.07%,-3.27%,-,-
FCF Yield,-3.33%,-17.22%,-14.66%,-11.91%,-10.36%,-7.67%,-5.85%,-2.75%,-2.71%,-,-
Buyback Yield / Dilution,-23.22%,-66.60%,-53.58%,-15.21%,-30.35%,-0.40%,-1.00%,-35.71%,-18.18%,97.30%,-
