Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,243","1,015",829.25,660.12,443.31,267.59,195.99,151.86,316.61,146.69,135.06
Revenue Growth (YoY),31.19%,22.44%,25.62%,48.91%,65.66%,36.53%,29.06%,-52.03%,115.84%,8.61%,79.28%
Cost of Revenue,262.09,238.47,268.72,205.91,117.09,77.6,186.35,160.39,181.8,184.05,122.48
Gross Profit,980.76,776.86,560.53,454.21,326.23,189.99,9.64,-8.53,134.82,-37.36,12.58
"Selling, General & Admin",172.31,154.34,149.18,121.63,50.32,45.74,77.25,60.8,53.82,45.85,40.03
Amortization of Goodwill & Intangibles,71.05,71.05,71.27,43.15,-,-,-,-,-,-,-
Operating Expenses,243.36,225.38,220.46,164.77,50.32,45.74,77.25,60.8,53.82,45.85,40.03
Operating Income,737.4,551.48,340.07,289.43,275.9,144.26,-67.61,-69.33,81,-83.21,-27.45
Interest Expense,-17.76,-18.1,-18.76,-16.95,-7.53,-20.38,-11.63,-18.04,-21.98,-19.98,-5.2
Interest & Investment Income,20.77,12.83,10,3.88,3.36,5.43,4.52,4.49,2.29,14.51,0.42
EBT Excluding Unusual Items,740.41,546.21,331.31,276.36,271.74,129.3,-74.72,-82.88,61.31,-88.68,-32.23
Merger & Restructuring Charges,-,-,-,-21.9,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,5.53,10.93,6.32,-2.83,-2.26,-,2.47,3.09,0.3,-13.18,-
Asset Writedown,-,-,-2.5,-,-,-,-,-,-,-,-
Other Unusual Items,-,-,13.2,-2.71,-20.96,-,-,-,-,-,-
Pretax Income,745.94,557.13,348.33,248.92,248.52,129.3,-72.25,-79.79,61.61,-101.86,-32.23
Income Tax Expense,150.45,113.04,66.74,46.79,-154.19,0.22,-0.01,0.54,-1.36,1.16,-
Net Income,595.49,444.09,281.59,202.13,402.71,129.09,-72.24,-80.33,62.97,-103.02,-32.23
Net Income to Common,595.49,444.09,281.59,202.13,402.71,129.09,-72.24,-80.33,62.97,-103.02,-32.23
Net Income Growth,51.73%,57.71%,39.31%,-49.81%,211.97%,-,-,-,-,-,-
Shares Outstanding (Basic),122,127,132,137,141,136,144,144,136,128,127
Shares Outstanding (Diluted),126,129,134,141,147,141,144,144,139,128,127
Shares Change (YoY),-3.31%,-3.56%,-4.56%,-4.21%,3.77%,-1.99%,0.51%,3.26%,8.68%,0.99%,3.27%
EPS (Basic),4.88,3.50,2.13,1.48,2.86,0.95,-0.50,-0.56,0.46,-0.81,-0.25
EPS (Diluted),4.74,3.43,2.10,1.44,2.74,0.91,-0.50,-0.56,0.45,-0.81,-0.25
EPS Growth,56.68%,63.33%,45.83%,-47.45%,201.10%,-,-,-,-,-,-
Free Cash Flow,602.4,468.37,373.28,235.3,297.98,52.95,-89.46,-54.16,132.7,-53.52,-39.44
Free Cash Flow Per Share,4.80,3.62,2.78,1.67,2.03,0.37,-0.62,-0.38,0.95,-0.42,-0.31
Gross Margin,78.91%,76.51%,67.59%,68.81%,73.59%,71.00%,4.92%,-5.61%,42.58%,-25.47%,9.31%
Operating Margin,59.33%,54.32%,41.01%,43.84%,62.24%,53.91%,-34.50%,-45.65%,25.58%,-56.73%,-20.33%
Profit Margin,47.91%,43.74%,33.96%,30.62%,90.84%,48.24%,-36.86%,-52.90%,19.89%,-70.23%,-23.86%
Free Cash Flow Margin,48.47%,46.13%,45.01%,35.64%,67.22%,19.79%,-45.65%,-35.67%,41.91%,-36.48%,-29.20%
EBITDA,813.28,627.09,416.93,336.07,277.3,145.84,-65.34,-66.94,83.16,-80.8,-25.78
EBITDA Margin,65.44%,61.76%,50.28%,50.91%,62.55%,54.50%,-33.34%,-44.08%,26.27%,-55.08%,-19.08%
D&A For EBITDA,75.89,75.61,76.86,46.64,1.4,1.58,2.27,2.39,2.16,2.41,1.68
EBIT,737.4,551.48,340.07,289.43,275.9,144.26,-67.61,-69.33,81,-83.21,-27.45
EBIT Margin,59.33%,54.32%,41.01%,43.84%,62.24%,53.91%,-34.50%,-45.65%,25.58%,-56.73%,-20.33%
Effective Tax Rate,20.17%,20.29%,19.16%,18.80%,-,0.17%,-,-,-,-,-
Revenue as Reported,"1,243","1,015",829.25,660.12,443.31,267.59,195.99,151.86,-,146.69,135.06
