Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,372","6,083","4,882","7,694","5,659","5,765","2,591","2,103","2,858","1,271","2,198"
Market Cap Growth,30.97%,24.59%,-36.54%,35.96%,-1.84%,122.48%,23.18%,-26.40%,124.79%,-42.17%,83.94%
Enterprise Value,"9,209","6,951","5,929","8,940","5,722","5,817","2,425","1,886","2,748","1,262","2,124"
Last Close Price,71.19,47.81,36.96,56.90,40.21,42.71,17.73,14.63,20.26,9.88,17.33
PE Ratio,15.03,13.70,17.34,38.06,14.05,44.66,-,-,45.38,-,-
Forward PE,9.54,10.38,9.77,21.92,17.89,25.20,163.86,-,149.30,-,-
PS Ratio,6.99,5.99,5.89,11.66,12.76,21.54,13.22,13.85,9.03,8.67,16.28
PB Ratio,16.60,16.72,58.26,45.31,28.73,38.17,28.24,8.45,13.72,-39.14,51.13
P/TBV Ratio,-,-,-,-,28.73,38.17,28.24,8.45,13.72,-,51.13
P/FCF Ratio,13.90,12.99,13.08,32.70,18.99,108.87,-,-,21.54,-,-
P/OCF Ratio,13.70,12.70,12.57,32.04,18.90,103.95,-,-,21.32,-,-
PEG Ratio,-,0.41,0.41,0.41,0.46,0.55,-,-,-,-,-
EV/Sales Ratio,7.41,6.85,7.15,13.54,12.91,21.74,12.38,12.42,8.68,8.61,15.73
EV/EBITDA Ratio,11.32,11.09,14.22,26.60,20.63,39.89,-,-,33.04,-,-
EV/EBIT Ratio,12.49,12.61,17.43,30.89,20.74,40.33,-,-,33.92,-,-
EV/FCF Ratio,15.29,14.84,15.88,37.99,19.20,109.86,-,-,20.71,-,-
Debt / Equity Ratio,3.05,4.22,18.27,9.07,4.47,2.66,4.46,0.51,0.97,-6.67,1.16
Debt / EBITDA Ratio,1.87,2.42,3.59,4.54,3.15,2.71,-,-,2.43,-,-
Debt / FCF Ratio,2.56,3.28,4.10,6.55,2.95,7.59,-,-,1.53,-,-
Asset Turnover,0.57,0.54,0.46,0.45,0.53,0.47,0.39,0.32,0.81,0.66,0.78
Inventory Turnover,1.65,1.77,2.36,2.67,2.04,1.72,7.17,11.55,18.39,15.27,15.41
Quick Ratio,1.25,6.50,5.07,4.54,7.10,1.11,5.61,2.58,3.74,4.04,2.25
Current Ratio,1.59,7.80,6.64,5.65,7.91,1.32,6.35,2.87,3.89,4.70,2.75
Return on Equity (ROE),124.50%,198.42%,222.07%,110.23%,231.44%,106.33%,-42.41%,-35.14%,71.60%,-1958.98%,-76.42%
Return on Assets (ROA),21.24%,18.16%,11.89%,12.28%,20.47%,15.74%,-8.40%,-9.03%,12.96%,-23.46%,-9.87%
Return on Capital (ROIC),22.87%,19.61%,12.78%,12.98%,21.16%,17.11%,-9.65%,-11.03%,17.02%,-37.55%,-18.64%
Return on Capital Employed (ROCE),53.30%,28.70%,21.00%,16.90%,27.90%,91.00%,-,-,20.80%,-,-
Earnings Yield,7.11%,7.30%,5.77%,2.63%,7.12%,2.24%,-2.79%,-3.82%,2.20%,-8.10%,-1.47%
FCF Yield,7.20%,7.70%,7.65%,3.06%,5.27%,0.92%,-3.45%,-2.57%,4.64%,-4.21%,-1.79%
Buyback Yield / Dilution,3.31%,3.56%,4.56%,4.21%,-3.77%,1.99%,-0.51%,-3.26%,-8.68%,-0.99%,-3.27%
