Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,207.16,439.6,84.01,79.07,16.02,60.13,31.33,18.16,38.09,-,-
Cash & Short-Term Investments,207.16,439.6,84.01,79.07,16.02,60.13,31.33,18.16,38.09,-,-
Cash Growth,161.27%,423.29%,6.25%,393.44%,-73.35%,91.92%,72.50%,-52.31%,-,-,-
Accounts Receivable,123.63,86.3,44.16,26.75,0.53,0.12,0.52,0.48,-,-,-
Other Receivables,-,6.21,4.84,4.46,14.63,10.82,8.62,5.84,0.38,-,-
Receivables,123.63,92.51,49,31.21,15.16,10.95,9.14,6.32,0.38,-,-
Inventory,35.23,23.61,11.8,5.76,2.51,0.49,0.38,0.45,-,-,-
Prepaid Expenses,-,6.86,8.47,1.7,0.88,0.66,0.37,0.33,0.23,-,-
Other Current Assets,32,5.89,5.22,-,-,-,-,-,-,-,-
Total Current Assets,398.01,568.45,158.49,117.74,34.57,72.23,41.22,25.27,38.7,-,-
"Property, Plant & Equipment",74.18,33.62,20.79,12.8,4.6,3.72,1.33,0.16,0,-,-
Long-Term Investments,4.06,3.77,8.36,-,-,-,-,-,-,-,-
Goodwill,185.81,66,3.3,3.75,2.98,3.26,2.97,2.21,0.26,-,-
Other Intangible Assets,398.36,191.53,71.45,36.34,37.54,42.4,26.5,25.59,0.92,-,-
Long-Term Deferred Tax Assets,75.77,28.92,13.94,2.7,-,-,-,-,-,-,-
Other Long-Term Assets,53.76,46.16,0.4,0.22,0.15,0.14,0.06,0.83,0.03,-,-
Total Assets,"1,190",938.44,276.73,173.56,79.85,121.76,72.09,54.07,39.91,-,-
Accounts Payable,51.69,42.51,22.38,11.42,8.64,4.48,4.89,2.29,0.22,-,-
Accrued Expenses,59.09,47.89,38.2,25.23,8.48,1.92,0.96,0.49,0.2,-,-
Short-Term Debt,-,-,-,-,0.01,-,-,-,0.27,-,-
Current Portion of Long-Term Debt,12.69,11.75,0.66,-,-,0.2,0.33,0.8,-,-,-
Current Portion of Leases,8.37,1.54,0.41,0.44,0.45,0.39,0.01,-,-,-,-
Current Income Taxes Payable,51.74,30.06,13.06,4.98,-,-,-,-,-,-,-
Current Unearned Revenue,5.3,7.54,7.89,3.63,4.51,2.55,-,-,0.31,-,-
Other Current Liabilities,109.71,63.49,29.92,12.46,5.53,5.85,1.27,2.23,0.15,-,-
Total Current Liabilities,298.58,204.78,112.52,58.15,27.62,15.4,7.46,5.81,1.15,-,-
Long-Term Debt,371.48,341.49,5.6,2.25,-,0.07,0.21,0.4,-,-,-
Long-Term Leases,25.71,5.04,5.23,4.41,1.39,1.04,0.95,0.02,-,-,-
Long-Term Unearned Revenue,1.02,3.32,9.71,16.77,17.84,21.99,0.46,-,-,-,-
Pension & Post-Retirement Benefits,0.36,0.31,0.22,0.15,0.1,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,39.19,5.81,-,-,-,-,2.23,3.08,0.26,-,-
Other Long-Term Liabilities,31.68,26.06,41.93,37.45,31.33,22.31,11.55,7.47,-,-,-
Total Liabilities,768.01,586.8,175.22,119.18,78.28,60.8,22.85,16.78,1.41,-,-
Common Stock,473.11,369.31,304.2,252.14,124.22,128.88,81.45,50.78,43.4,-,-
Retained Earnings,-150.98,-131.79,-179.73,-185.42,-126.13,-71.72,-33.77,-14.24,-4.98,-,-
Comprehensive Income & Other,99.81,114.12,-22.97,-12.34,3.48,3.79,1.55,0.75,0.09,-,-
Shareholders' Equity,421.94,351.64,101.51,54.38,1.57,60.96,49.23,37.29,38.5,-,-
Total Liabilities & Equity,"1,190",938.44,276.73,173.56,79.85,121.76,72.09,54.07,39.91,-,-
Total Debt,418.25,359.83,11.89,7.1,1.85,1.7,1.5,1.22,0.27,-,-
Net Cash (Debt),-211.1,79.77,72.11,71.97,14.18,58.43,29.83,16.95,37.82,-,-
Net Cash Growth,-,10.61%,0.21%,407.61%,-75.74%,95.85%,76.07%,-55.19%,-,-,-
Net Cash Per Share,-0.81,0.23,0.22,0.23,0.05,0.23,0.13,0.08,0.30,-,-
Filing Date Shares Outstanding,338.4,329.55,323.96,316.71,308.2,280.41,253.44,228.74,197.44,-,-
Total Common Shares Outstanding,338.4,334.73,323.73,316.34,285.07,280.41,253.28,218.37,197.44,-,-
Working Capital,99.43,363.67,45.97,59.59,6.95,56.84,33.76,19.46,37.55,-,-
Book Value Per Share,1.25,1.05,0.31,0.17,0.01,0.22,0.19,0.17,0.20,-,-
Tangible Book Value,-162.23,94.11,26.75,14.29,-38.95,15.3,19.76,9.48,37.33,-,-
Tangible Book Value Per Share,-0.48,0.28,0.08,0.05,-0.14,0.05,0.08,0.04,0.19,-,-
Land,18.53,16.24,14.15,6.68,1.71,1.9,-,-,-,-,-
Machinery,20.96,11.49,1.7,1.16,1.34,0.49,0.28,0.13,0,-,-
Leasehold Improvements,3.35,2.02,1.3,1.05,0.27,0.18,0.16,0.02,-,-,-
