Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,095","5,098","2,224","1,563","1,606",818,276,100,96,-,-
Market Cap Growth,-37.81%,129.18%,42.30%,-2.70%,96.45%,196.48%,175.69%,4.62%,-,-,-
Enterprise Value,"3,304","5,038","2,144","1,482","1,572",801,270,71,91,-,-
Last Close Price,9.16,15.40,-,-,-,-,-,-,-,-,-
PE Ratio,213.41,165.02,626.21,-,-,-,-,-,-,-,-
PS Ratio,4.66,10.52,6.49,14.37,290.85,203.33,112.65,727.89,-,-,-
PB Ratio,7.33,14.50,21.91,28.75,1023.78,13.41,5.60,2.68,2.48,-,-
P/TBV Ratio,-,54.17,83.14,109.40,-,53.46,13.96,10.55,2.56,-,-
P/FCF Ratio,321.14,286.95,229.72,-,-,619.12,-,-,-,-,-
P/OCF Ratio,136.77,191.44,136.63,-,-,540.78,-,-,-,-,-
EV/Sales Ratio,4.97,10.39,6.26,13.62,284.54,199.24,110.26,514.16,-,-,-
EV/EBITDA Ratio,90.76,92.95,55.00,-,-,-,-,-,-,-,-
EV/EBIT Ratio,117.59,99.41,60.60,-,-,-,-,-,-,-,-
EV/FCF Ratio,342.87,283.58,221.37,-,-,606.68,-,-,-,-,-
Debt / Equity Ratio,0.99,1.02,0.12,0.13,1.18,0.03,0.03,0.03,0.01,-,-
Debt / EBITDA Ratio,10.42,6.47,0.30,-,-,-,-,-,-,-,-
Debt / FCF Ratio,43.40,20.26,1.23,-,-,1.29,-,-,-,-,-
Asset Turnover,0.79,0.82,1.52,0.88,0.06,0.04,0.04,0.00,-,-,-
Inventory Turnover,10.97,10.79,15.36,10.92,1.25,3.45,4.29,-,-,-,-
Quick Ratio,1.11,2.60,1.18,1.90,1.13,4.62,5.42,4.22,33.54,-,-
Current Ratio,1.33,2.78,1.41,2.03,1.25,4.69,5.52,4.35,33.74,-,-
Return on Equity (ROE),3.14%,13.92%,4.55%,-253.34%,-198.36%,-60.21%,-45.32%,-27.07%,-,-,-
Return on Assets (ROA),2.08%,5.33%,9.81%,-25.37%,-37.95%,-23.64%,-28.06%,-27.04%,-,-,-
Return on Capital (ROIC),3.12%,7.78%,25.26%,-97.35%,-118.20%,-40.13%,-39.67%,-33.14%,-,-,-
Return on Capital Employed (ROCE),3.20%,6.90%,21.50%,-43.60%,-113.10%,-35.70%,-43.80%,-40.40%,-13.10%,-,-
Earnings Yield,0.35%,0.61%,0.16%,-4.53%,-3.64%,-4.23%,-7.10%,-9.74%,-5.21%,-,-
FCF Yield,0.31%,0.35%,0.43%,-3.09%,-2.75%,0.16%,-6.05%,-14.62%,-4.93%,-,-
Buyback Yield / Dilution,37.99%,-6.64%,-4.21%,-10.08%,-9.69%,-10.21%,-15.49%,-57.92%,-,-,-
